,term,count
0,jerónimo,1
1,coyula,1
2,mexico,12
3,this,6
4,ragged,1
5,town,2
6,at,4
7,the,55
8,foot,1
9,of,26
10,smoking,1
11,popocatépetl,1
12,volcano,2
13,is,7
14,communities,1
15,in,21
16,with,6
17,deep,3
18,ties,1
19,to,29
20,united,9
21,states,9
22,since,1
23,1980s,1
24,thousands,3
25,its,1
26,residents,2
27,have,12
28,trekked,1
29,what,4
30,they,4
31,call,1
32,el,1
33,norte,1
34,particularly,1
35,new,3
36,york,2
37,city,1
38,and,24
39,hamptons,1
40,long,3
41,island,3
42,for,14
43,decades,1
44,migrants,5
45,mixed,1
46,cement,3
47,laid,2
48,bricks,1
49,painted,1
50,walls,1
51,grand,1
52,houses,2
53,there,5
54,many,1
55,families,2
56,here,4
57,depend,1
58,on,11
59,remittances,2
60,sent,3
61,them,2
62,by,2
63,relatives,1
64,who,3
65,migrated,1
66,north,3
67,buy,1
68,medicine,1
69,old,3
70,schoolbooks,1
71,young,2
72,family,2
73,members,1
74,use,1
75,their,2
76,earnings,1
77,help,1
78,fund,1
79,a,19
80,free,2
81,festival,1
82,every,2
83,september,1
84,unsurprisingly,1
85,when,1
86,i,3
87,ask,1
88,dozen,1
89,people,8
90,from,3
91,plaza,1
92,main,1
93,street,1
94,think,1
95,president,2
96,trump,12
97,all,1
98,negative,1
99,opinions,1
100,hypocrite,1
101,he,15
102,employs,1
103,mexicans,4
104,his,7
105,buildings,1
106,then,1
107,attacks,2
108,us,1
109,said,3
110,humberto,1
111,ramos,1
112,stocky,1
113,stains,1
114,overalls,1
115,are,4
116,ones,1
117,that,6
118,work,2
119,hardest,1
120,we,2
121,helped,1
122,build,3
123,country,3
124,but,9
125,while,3
126,mr,12
127,’s,4
128,language,1
129,angers,1
130,first,2
131,year,6
132,power,2
133,did,1
134,not,3
135,affect,1
136,as,5
137,much,1
138,feared,1
139,still,3
140,send,2
141,home,5
142,money,3
143,fact,1
144,last,2
145,estimated,2
146,be,5
147,record,1
148,breaker,1
149,central,1
150,bank,1
151,estimating,1
152,living,3
153,between,4
154,january,1
155,november,1
156,alone,1
157,single,1
158,brick,1
159,has,7
160,been,4
161,promised,2
162,beautiful,2
163,wall,3
164,total,2
165,trade,2
166,countries,1
167,continues,3
168,grow,1
169,was,3
170,lot,1
171,fear,2
172,panic,1
173,things,1
174,n’t,2
175,really,1
176,changed,1
177,most,1
178,eric,1
179,gonzález,3
180,electrician,2
181,carrying,1
182,backpack,1
183,full,1
184,tools,1
185,labored,1
186,years,1
187,came,1
188,start,1
189,business,2
190,look,2
191,after,1
192,aging,1
193,parents,2
194,brothers,1
195,sister,1
196,working,1
197,sending,1
198,back,1
199,more,4
200,psychological,1
201,see,1
202,stories,1
203,news,1
204,get,3
205,scared,1
206,you,1
207,big,1
208,picture,2
209,gap,1
210,rhetoric,1
211,reality,1
212,reflects,1
213,rooted,1
214,relationship,1
215,confusing,1
216,agenda,1
217,presidency,3
218,during,1
219,campaign,2
220,hit,1
221,triple,1
222,whammy,1
223,building,1
224,making,1
225,pay,2
226,it,2
227,deporting,2
228,up,4
229,rewriting,1
230,or,4
231,scrapping,1
232,american,1
233,agreement,1
234,combined,2
235,effect,1
236,could,1
237,thrown,1
238,into,2
239,recession,1
240,dealt,1
241,millions,1
242,deportees,1
243,diplomatic,1
244,crisis,1
245,world,1
246,no,3
247,military,1
248,apocalyptic,1
249,scenario,1
250,come,2
251,pass,1
252,bait,1
253,twitter,1
254,will,2
255,paid,1
256,directly,1
257,indirectly,1
258,through,1
259,longer,1
260,term,1
261,reimbursement,1
262,wrote,1
263,jan,1
264,plan,1
265,extract,1
266,struggling,1
267,congress,1
268,inside,1
269,policies,1
270,against,1
271,immigrants,2
272,felt,1
273,acutely,1
274,removal,1
275,protection,1
276,dreamers,1
277,those,1
278,immigrated,1
279,children,2
280,left,1
281,hundreds,2
282,future,1
283,immigration,4
284,customs,1
285,enforcement,1
286,agents,2
287,searching,1
288,undocumented,2
289,greyhound,1
290,buses,1
291,7eleven,1
292,stores,1
293,reports,1
294,about,3
295,deportations,3
296,breaking,1
297,featured,1
298,regularly,1
299,television,1
300,number,4
301,also,2
302,paints,1
303,nuanced,1
304,fiscal,1
305,fewer,4
306,than,4
307,any,1
308,under,2
309,barack,1
310,obama,2
311,likely,1
312,explanation,1
313,drop,2
314,border,1
315,patrol,1
316,caught,1
317,attempting,1
318,enter,1
319,instead,1
320,authorities,2
321,focused,1
322,already,1
323,represents,1
324,interior,1
325,other,1
326,course,1
327,consequences,1
328,stance,1
329,toward,1
330,may,4
331,negotiations,1
332,over,1
333,nafta,1
334,continue,1
335,vow,1
336,pull,1
337,out,1
338,deal,1
339,if,1
340,does,2
341,likes,1
342,conjure,1
343,pretexts,1
344,greater,1
345,numbers,1
346,deportation,1
347,grown,1
348,would,1
349,humanitarian,1
350,disaster,1
351,patterns,1
352,change,1
353,independently,1
354,mexican,1
355,migration,1
356,decreasing,2
357,even,1
358,before,1
359,kicked,1
360,off,1
361,pew,1
362,research,1
363,center,1
364,april,1
365,had,1
366,dropped,1
367,several,1
368,factors,1
369,including,1
370,changing,1
371,demographics,1
372,cause,1
373,average,1
374,per,1
375,sharply,1
376,which,1
377,means,1
378,force,1
379,less,2
380,pressure,1
381,provide,1
382,siblings,1
383,only,1
384,child,1
385,himself,1
386,makes,1
387,pesos,1
388,day,1
389,hourly,1
390,wage,1
391,made,1
392,painting,1
393,stare,1
394,towering,1
395,popo,1
396,says,1
397,plans,1
398,return,1
399,am,1
400,my,2
401,own,1
402,boss,1
403,want,1
