,term,count
0,every,1
1,major,1
2,policy,4
3,overhaul,2
4,has,5
5,unanticipated,1
6,consequences,1
7,and,37
8,the,59
9,tax,12
10,cuts,3
11,jobs,2
12,act,3
13,will,4
14,be,3
15,no,3
16,exception,1
17,tantalizing,1
18,possibility,1
19,for,6
20,this,7
21,one,1
22,republican,10
23,helps,1
24,democrats,4
25,in,20
26,midterm,2
27,elections,1
28,by,4
29,bringing,1
30,forward,1
31,date,2
32,at,4
33,which,2
34,a,23
35,few,1
36,critical,1
37,states,10
38,georgia,4
39,possibly,2
40,even,5
41,texas,5
42,flip,2
43,from,6
44,red,4
45,to,34
46,blue,3
47,how,2
48,might,3
49,happen,1
50,it,5
51,stems,1
52,new,4
53,caps,1
54,on,7
55,home,1
56,mortgage,2
57,interest,1
58,state,9
59,local,1
60,deductions,2
61,restrictions,1
62,building,1
63,have,6
64,pushed,1
65,up,7
66,costs,4
67,of,39
68,housing,4
69,expensive,2
70,coastal,1
71,cities,3
72,like,3
73,san,2
74,francisco,2
75,los,2
76,angeles,2
77,york,2
78,city,1
79,high,8
80,income,1
81,property,1
82,taxes,2
83,piled,1
84,onto,1
85,exorbitant,1
86,rents,1
87,payments,1
88,amount,1
89,cost,3
90,living,1
91,force,2
92,fields,1
93,that,12
94,already,4
95,deflect,1
96,talented,1
97,workers,3
98,relatively,3
99,affordable,1
100,phoenix,1
101,houston,1
102,atlanta,1
103,charlotte,1
104,nc,1
105,’s,9
106,ceiling,1
107,is,8
108,likely,5
109,make,6
110,many,3
111,metro,1
112,areas,2
113,more,5
114,least,1
115,short,1
116,run,1
117,with,8
118,changes,2
119,code,1
120,dynamic,2
121,effectively,1
122,redistributed,1
123,some,2
124,probable,1
125,democratic,5
126,voters,5
127,left,1
128,leaning,2
129,right,1
130,thrown,1
131,into,3
132,overdrive,1
133,furthermore,1
134,lowered,1
135,corporate,1
136,rate,1
137,also,1
138,spur,1
139,capital,1
140,investment,1
141,business,1
142,expansion,1
143,job,2
144,growth,2
145,places,1
146,are,11
147,both,1
148,economically,1
149,thriving,1
150,comparatively,1
151,cheap,1
152,them,2
153,urban,1
154,should,1
155,bring,1
156,relative,1
157,abundance,1
158,attractive,1
159,opportunities,1
160,conscious,1
161,seekers,1
162,only,2
163,mildly,1
164,surprising,1
165,reform,1
166,would,3
167,stick,1
168,goose,1
169,powerful,1
170,but,9
171,come,1
172,as,5
173,shock,1
174,could,3
175,speed,1
176,us,1
177,toward,1
178,when,2
179,these,2
180,longer,1
181,reliably,1
182,approximately,1
183,percent,8
184,american,2
185,population,3
186,relocates,1
187,across,1
188,lines,1
189,each,1
190,year,4
191,younger,3
192,well,1
193,educated,1
194,americans,3
195,disproportionate,1
196,part,1
197,those,4
198,moving,1
199,between,2
200,according,1
201,census,1
202,bureau,1
203,adults,1
204,aged,1
205,made,1
206,less,1
207,than,7
208,quarter,1
209,all,3
210,movers,4
211,half,1
212,voting,2
213,age,2
214,their,4
215,mid20s,1
216,roughly,1
217,times,1
218,move,2
219,mid50s,1
220,moreover,1
221,within,1
222,mobility,1
223,cohort,1
224,college,2
225,education,2
226,most,3
227,pull,1
228,stakes,1
229,lends,1
230,resettling,1
231,set,3
232,skew,1
233,millennials,2
234,projected,1
235,larger,3
236,share,1
237,eligible,1
238,baby,1
239,boomers,1
240,pew,1
241,research,1
242,center,1
243,survey,1
244,conducted,1
245,before,1
246,election,1
247,ages,2
248,favored,2
249,edge,1
250,among,2
251,appears,1
252,widening,1
253,matters,1
254,worse,1
255,republicans,6
256,been,2
257,leaving,1
258,party,8
259,droves,1
260,recent,2
261,harvard,1
262,institute,1
263,politics,2
264,poll,1
265,found,2
266,measly,1
267,under30s,1
268,were,1
269,willing,1
270,identify,1
271,level,2
272,tilts,1
273,balance,1
274,further,1
275,postgraduate,1
276,degrees,1
277,hillary,1
278,clinton,1
279,over,1
280,trump,4
281,point,1
282,margin,1
283,graduates,1
284,under,1
285,itinerant,1
286,group,1
287,difference,2
288,was,2
289,fat,1
290,percentage,1
291,points,1
292,so,1
293,rates,3
294,domestic,2
295,migration,2
296,such,1
297,arizona,2
298,north,1
299,carolina,1
300,florida,2
301,very,1
302,adding,1
303,faster,1
304,taking,1
305,account,1
306,flows,1
307,retirees,1
308,seeking,1
309,warm,1
310,southern,2
311,weather,1
312,n’t,4
313,constitute,1
314,an,5
315,urgent,1
316,problem,1
317,if,1
318,mr,2
319,divisive,1
320,ethno,1
321,nationalist,1
322,identity,2
323,intensifying,1
324,nonwhite,2
325,voters’,1
326,disdain,1
327,exit,1
328,polls,1
329,november,1
330,virginia,1
331,governor,1
332,race,2
333,vividly,1
334,illustrate,1
335,perilous,1
336,electoral,1
337,position,1
338,ed,1
339,gillespie,1
340,establishment,1
341,won,1
342,white,2
343,vote,2
344,baiting,1
345,trumpist,1
346,campaign,1
347,abysmal,1
348,majority,2
349,minority,2
350,its,3
351,follow,2
352,suit,1
353,next,1
354,status,1
355,inclusive,1
356,hold,1
357,indefinitely,1
358,pivot,1
359,populism,2
360,used,1
361,slack,1
362,context,1
363,effects,3
364,relocation,1
365,choices,1
366,sooner,1
367,rather,1
368,later,1
369,mistake,1
370,fiscal,2
371,regulatory,2
372,really,1
373,does,1
374,matter,2
375,residents,1
376,highest,1
377,net,2
378,bear,1
379,low,1
380,burden,1
381,economists,2
382,begun,1
383,study,1
384,particular,1
385,subgroups,1
386,results,1
387,suggestive,1
388,paper,1
389,published,1
390,economic,2
391,review,1
392,enrico,1
393,moretti,1
394,university,2
395,california,2
396,berkeley,1
397,daniel,1
398,wilson,1
399,federal,1
400,reserve,1
401,bank,1
402,looked,1
403,addresses,1
404,patent,1
405,filings,1
406,track,1
407,movements,1
408,top,1
409,scientists,2
410,significant,1
411,effect,1
412,geographical,1
413,location,1
414,star,1
415,other,1
416,highly,1
417,skilled,1
418,clearer,1
419,andrii,1
420,parkhomenko,1
421,economist,1
422,estimated,1
423,populations,1
424,productivity,1
425,wage,2
426,respectively,1
427,they,4
428,today,1
429,had,1
430,land,1
431,use,1
432,policies,1
433,allowed,1
434,supply,1
435,better,1
436,keep,1
437,pace,1
438,demand,1
439,thus,1
440,curbing,1
441,type,1
442,estimate,1
443,sensitive,1
444,assumptions,2
445,about,3
446,big,1
447,bump,1
448,required,1
449,away,3
450,family,1
451,friends,1
452,conservative,1
453,lead,1
454,conclusion,1
455,millions,1
456,moved,1
457,country,1
458,biggest,1
459,productive,1
460,ended,1
461,somewhere,1
462,else,1
463,because,1
464,incentives,1
465,gave,1
466,gain,1
467,nearly,1
468,migrants,1
469,since,1
470,go,1
471,get,1
472,stronger,1
473,demographic,2
474,trends,1
475,posing,1
476,imminent,1
477,hurdle,1
478,ironically,1
479,partly,1
480,consequence,1
481,own,1
482,light,1
483,touch,1
484,boxed,1
485,itself,2
486,embracing,1
487,bigoted,1
488,now,2
489,painting,1
490,corner,1
491,box,1
492,ca,1
493,stop,1
494,wave,1
495,can,1
496,blunt,1
497,hastening,1
498,adjust,1
499,realities,1
500,helped,1
501,create,1
502,desperately,2
503,wanted,1
504,got,1
505,need,1
506,back,1
507,trumpian,1
508,chauvinism,1
509,win,1
510,little,1
511,good,1
512,black,1
513,hispanic,1
514,asian,1
