,term,count
0,gertrude,1
1,stein,1
2,once,1
3,said,1
4,of,14
5,her,1
6,hometown,1
7,oakland,1
8,calif,1
9,there,4
10,is,10
11,no,3
12,that,16
13,about,4
14,says,1
15,it,7
16,for,7
17,devin,2
18,nunes,9
19,’s,9
20,notorious,1
21,memo,9
22,too,2
23,by,6
24,this,5
25,i,1
26,do,3
27,not,6
28,mean,1
29,the,58
30,california,1
31,republican,1
32,and,23
33,chairman,2
34,house,1
35,intelligence,5
36,committee,1
37,has,6
38,uncovered,2
39,potential,1
40,wrongdoing,2
41,in,14
42,his,5
43,a,20
44,half,1
45,page,5
46,which,1
47,was,13
48,declassified,1
49,friday,1
50,over,1
51,vehement,1
52,objections,1
53,from,4
54,senior,1
55,fbi,11
56,justice,3
57,department,3
58,officials,2
59,more,2
60,possible,1
61,moment,1
62,important,2
63,questions,1
64,however,1
65,are,3
66,first,1
67,did,2
68,have,7
69,solid,1
70,reasons,1
71,to,33
72,suspect,1
73,people,1
74,trump,9
75,campaign,7
76,had,4
77,unusual,1
78,dangerous,1
79,possibly,1
80,criminal,1
81,ties,2
82,moscow,2
83,second,1
84,suspicion,1
85,warrant,3
86,surveillance,4
87,investigation,3
88,answers,1
89,yes,2
90,nothing,1
91,changes,1
92,except,1
93,provide,1
94,president,2
95,with,2
96,misleading,1
97,pretext,1
98,fire,1
99,deputy,2
100,attorney,2
101,general,2
102,rod,1
103,rosenstein,1
104,discredit,1
105,robert,1
106,mueller,1
107,probe,1
108,let,1
109,review,1
110,paul,1
111,manafort,2
112,until,1
113,august,1
114,credibly,1
115,alleged,1
116,received,1
117,undisclosed,1
118,cash,1
119,payments,1
120,then,7
121,ukrainian,1
122,viktor,1
123,yanukovych,1
124,russian,6
125,stooge,1
126,been,3
127,exposed,1
128,he,7
129,might,1
130,gone,1
131,on,9
132,occupy,1
133,position,1
134,trust,1
135,administration,1
136,much,1
137,as,3
138,reagan,1
139,manager,1
140,bill,1
141,casey,1
142,wound,1
143,up,1
144,running,1
145,cia,1
146,would,2
147,easy,1
148,prey,1
149,blackmail,1
150,george,1
151,papadopoulos,1
152,young,1
153,adviser,1
154,who,5
155,pleaded,1
156,guilty,1
157,last,1
158,year,1
159,lying,1
160,spent,1
161,time,2
162,trying,1
163,make,2
164,overtures,1
165,russia,1
166,may,1
167,blabbed,1
168,an,5
169,australian,1
170,diplomat,1
171,political,1
172,dirt,1
173,hillary,1
174,clinton,3
175,information,4
176,proved,1
177,true,2
178,passed,1
179,genesis,1
180,counterintelligence,1
181,itself,1
182,admits,1
183,carter,1
184,man,1
185,at,4
186,center,1
187,turns,1
188,stupid,1
189,phd,1
190,thesis,1
191,twice,1
192,rejected,1
193,self,1
194,compared,1
195,himself,1
196,martin,1
197,luther,1
198,king,1
199,jr,1
200,money,1
201,hungry,1
202,suspected,1
203,agent,1
204,tried,2
205,recruit,1
206,him,2
207,recorded,1
208,saying,2
209,got,1
210,hooked,1
211,gazprom,1
212,happens,1
213,also,3
214,be,1
215,highly,1
216,sympathetic,1
217,putin,1
218,regime,1
219,phrase,1
220,such,1
221,characters,1
222,polezni,1
223,durak,1
224,useful,1
225,idiot,1
226,wonder,1
227,invited,1
228,give,1
229,commencement,1
230,speech,1
231,university,1
232,summer,1
233,how,3
234,assets,1
235,cultivated,1
236,world,1
237,given,1
238,profile,1
239,relative,1
240,proximity,1
241,team,1
242,professionally,1
243,negligent,1
244,keep,1
245,tabs,1
246,yet,1
247,bureau,1
248,only,1
249,obtained,1
250,after,1
251,left,1
252,shortly,1
253,before,1
254,election,3
255,insisted,1
256,throughout,1
257,target,1
258,represents,2
259,affront,1
260,american,1
261,democracy,1
262,anyone,1
263,guess,1
264,does,2
265,seem,1
266,conflicts,1
267,interest,1
268,most,1
269,seriously,1
