,term,count
0,gene,2
1,sharp,16
2,died,1
3,last,1
4,week,2
5,what,5
6,sun,1
7,tzu,1
8,and,45
9,clausewitz,1
10,were,2
11,to,56
12,war,2
13,who,9
14,was,9
15,nonviolent,10
16,struggle,4
17,strategist,2
18,philosopher,1
19,guru,1
20,an,7
21,american,1
22,academic,1
23,worked,1
24,from,7
25,his,10
26,modest,1
27,boston,1
28,home,2
29,studied,1
30,cataloged,1
31,examples,2
32,of,52
33,resistance,11
34,looking,1
35,at,1
36,why,1
37,they,16
38,succeeded,1
39,or,8
40,failed,1
41,most,9
42,influential,2
43,work,9
44,dictatorship,3
45,democracy,3
46,a,34
47,pamphlet,1
48,written,1
49,for,16
50,burma,1
51,’s,24
52,opposition,2
53,in,30
54,it,17
55,has,6
56,been,2
57,translated,1
58,into,3
59,dozens,1
60,languages,1
61,often,2
62,clandestinely,1
63,became,1
64,handbook,1
65,civic,3
66,movements,8
67,around,4
68,the,90
69,world,2
70,much,1
71,writing,1
72,is,28
73,available,1
74,free,1
75,on,12
76,website,1
77,organization,1
78,albert,2
79,einstein,2
80,institute,2
81,best,2
82,known,2
83,as,5
84,dire,1
85,circumstances,3
86,those,3
87,trying,1
88,create,1
89,political,4
90,change,1
91,when,3
92,there,5
93,no,5
94,institutional,2
95,path,1
96,but,8
97,ideas,4
98,have,8
99,shaped,1
100,protest,4
101,united,3
102,states,3
103,other,4
104,democracies,1
105,contain,1
106,some,4
107,surprising,1
108,advice,1
109,president,1
110,trump,8
111,first,2
112,here,1
113,brief,1
114,summary,1
115,taught,1
116,nonviolence,2
117,usually,2
118,effective,3
119,strategy,4
120,winning,1
121,power,10
122,began,1
123,studying,1
124,history,1
125,seen,1
126,dismissed,1
127,tactic,1
128,used,2
129,by,9
130,saints,1
131,pacifists,1
132,sitting,1
133,front,1
134,bulldozers,1
135,appealing,1
136,consciences,1
137,men,1
138,with,7
139,none,1
140,major,2
141,contribution,1
142,demonstrate,2
143,that,21
144,not,6
145,only,2
146,superior,1
147,armed,1
148,action,3
149,appeal,1
150,dictator,2
151,conscience,1
152,fought,1
153,without,1
154,arms,1
155,research,1
156,studies,1
157,support,3
158,this,14
159,point,2
160,way,3
161,topple,1
162,dictators,1
163,double,1
164,success,2
165,rate,1
166,violent,1
167,bigger,1
168,role,4
169,played,1
170,mass,3
171,freer,1
172,country,3
173,more,8
174,durable,1
175,freedom,1
176,emerge,1
177,every,2
178,leader,1
179,matter,2
180,how,5
181,despotic,1
182,relies,1
183,consent,2
184,people,19
185,if,6
186,withdraw,1
187,their,7
188,stop,1
189,carrying,1
190,out,7
191,orders,1
192,regime,1
193,falls,1
194,groups,6
195,are,8
196,vital,1
197,pillars,3
198,governing,1
199,regimes,1
200,typically,1
201,police,1
202,military,1
203,officials,3
204,wealthy,2
205,businessmen,1
206,can,5
207,also,1
208,be,6
209,labor,1
210,unions,1
211,farmers,1
212,older,2
213,young,2
214,job,1
215,pull,2
216,these,1
217,supporting,1
218,international,1
219,sanctions,1
220,target,1
221,important,3
222,civilian,1
223,friends,1
224,try,1
225,persuade,1
226,them,9
227,would,1
228,richer,1
229,under,1
230,different,1
231,government,2
232,birmingham,1
233,ala,1
234,civil,1
235,rights,1
236,movement,3
237,boycotted,1
238,downtown,1
239,stores,1
240,owned,1
241,politically,1
242,backers,1
243,city,1
244,segregationist,1
245,policies,1
246,turning,1
247,opponents,1
248,laws,1
249,serbia,2
250,old,1
251,provided,1
252,critical,1
253,slobodan,1
254,milosevic,2
255,relied,1
256,nationalism,1
257,keep,1
258,himself,1
259,after,1
260,starting,1
261,balkan,1
262,wars,1
263,during,2
264,re,2
265,election,4
266,campaign,1
267,group,6
268,otpor,4
269,figured,1
270,turn,2
271,constituency,1
272,against,1
273,him,1
274,had,4
275,provoke,1
276,jailing,1
277,calling,2
278,spies,1
279,traitors,1
280,got,2
281,many,1
282,grandma,1
283,angry,1
284,than,5
285,think,2
286,trapped,1
287,perception,1
