,term,count
0,president,2
1,trump,27
2,and,13
3,devin,1
4,nunes,1
5,have,3
6,been,2
7,muddying,1
8,the,29
9,waters,2
10,of,12
11,russia,13
12,investigation,5
13,so,10
14,let,1
15,’s,7
16,try,2
17,to,18
18,clarify,1
19,those,1
20,that,17
21,they,3
22,’re,1
23,as,9
24,clear,3
25,vodka,1
26,here,1
27,are,4
28,a,19
29,dozen,1
30,things,1
31,we,1
32,know,2
33,interfered,2
34,in,20
35,us,2
36,election,5
37,intelligence,3
38,community,1
39,concluded,1
40,vladimir,1
41,putin,8
42,had,7
43,preference,1
44,for,7
45,ordered,1
46,an,5
47,influence,1
48,campaign,8
49,hurt,1
50,hillary,2
51,clinton,4
52,department,1
53,homeland,1
54,security,1
55,notified,1
56,states,1
57,russian,14
58,hackers,1
59,mostly,1
60,unsuccessfully,1
61,targeted,1
62,their,1
63,systems,1
64,before,2
65,oversaw,1
66,online,1
67,using,2
68,fake,1
69,american,1
70,accounts,2
71,spread,1
72,anti,1
73,messages,1
74,twitter,1
75,found,2
76,fired,1
77,off,1
78,related,1
79,tweets,1
80,fall,1
81,final,1
82,weeks,2
83,around,1
84,accounted,1
85,percent,1
86,retweets,1
87,own,1
88,account,1
89,has,6
90,longstanding,1
91,business,1
92,interests,3
93,times,3
94,explored,1
95,these,3
96,beginning,1
97,with,12
98,trip,1
99,moscow,4
100,build,1
101,hotel,1
102,there,5
103,recently,1
104,on,2
105,another,3
106,visit,1
107,he,5
108,was,3
109,still,2
110,optimistic,1
111,tweeting,2
112,tower,1
113,is,8
114,next,1
115,but,1
116,buildings,1
117,never,1
118,come,1
119,fruition,1
120,more,2
121,successfully,1
122,attracted,1
123,murky,1
124,investments,1
125,from,3
126,raising,2
127,speculation,1
128,might,1
129,gained,1
130,some,2
131,leverage,1
132,over,1
133,him,2
134,oligarch,1
135,paid,1
136,eyebrow,1
137,florida,2
138,property,1
139,reuters,1
140,people,2
141,addresses,1
142,or,1
143,passports,1
144,invested,1
145,nearly,1
146,properties,1
147,southern,1
148,i,4
149,russians,5
150,better,1
151,than,1
152,anybody,2
153,boasted,1
154,consistently,1
155,displayed,1
156,soft,1
157,spot,1
158,at,3
159,various,1
160,described,1
161,nice,1
162,smart,1
163,doing,1
164,amazing,1
165,job,1
166,defended,1
167,allegations,1
168,elections,1
169,killed,1
170,journalists,1
171,you,1
172,think,2
173,our,2
174,country,2
175,innocent,2
176,scoffed,1
177,told,2
178,interviewer,1
179,does,1
180,plenty,1
181,killing,1
182,also,3
183,picked,1
184,ties,2
185,named,1
186,foreign,2
187,policy,2
188,adviser,2
189,carter,1
190,page,2
191,who,3
192,investigated,1
193,by,3
194,fbi,2
195,far,2
196,back,1
197,possible,1
198,denies,1
199,any,3
200,wrongdoing,1
201,run,1
202,his,1
203,selected,1
204,paul,1
205,manafort,1
206,long,1
207,experience,1
208,working,1
209,once,1
210,wrote,1
211,memo,1
212,offering,1
213,plan,1
214,greatly,1
215,benefit,1
216,government,1
217,aides,3
218,tweaked,1
219,republican,1
220,party,1
221,platform,1
222,way,1
223,would,4
224,please,1
225,confided,1
226,april,1
227,george,1
228,papadopoulos,2
229,dirt,1
230,form,1
231,thousands,1
232,emails,2
233,it,6
234,not,4
235,what,1
236,did,1
237,information,2
238,secretly,2
239,met,3
240,june,1
241,offered,1
242,official,1
243,documents,1
244,incriminate,1
245,instead,1
246,calling,1
247,jr,2
248,responded,1
249,love,1
250,arranged,1
251,meeting,1
252,top,1
253,officials,2
254,ally,3
255,communicated,2
256,mouthpiece,1
257,august,1
258,roger,1
259,stone,2
260,guccifer,1
261,believed,1
262,be,3
263,outlet,1
264,military,1
265,separately,1
266,tweeted,1
267,will,1
268,soon,1
269,podesta,2
270,time,1
271,barrel,1
272,later,1
273,wikileaks,2
274,began,1
275,releasing,1
276,hacked,1
277,john,1
278,chairman,1
279,secret,4
280,contacts,4
281,presumably,1
282,representing,1
283,engaged,1
284,correspondence,1
285,kushner,3
286,jared,1
287,december,1
288,sergey,1
289,gorkov,1
290,close,1
291,privately,1
292,asked,1
293,about,1
294,equipment,1
295,establish,1
296,communications,1
297,channel,1
298,kremlin,1
299,falsely,1
300,denied,2
301,innumerable,1
302,contact,1
303,course,1
304,said,1
305,mike,1
306,pence,1
307,shortly,1
308,inauguration,1
309,why,2
310,good,1
311,question,1
312,fact,1
313,were,1
314,least,1
315,such,1
316,including,1
317,face,2
318,interactions,1
319,count,1
320,cnn,1
321,bots,2
322,joining,1
323,supporters,1
324,hashtags,1
325,like,1
326,maga,1
327,fullofschiff,1
328,same,1
329,promoting,1
330,fox,1
331,news,1
332,links,2
333,disparage,1
334,this,1
335,normal,1
336,actually,1
337,doubt,2
338,anything,1
339,straightforward,1
340,quid,1
341,pro,1
342,quo,1
343,indeed,1
344,blatant,1
345,seem,1
346,confusingly,1
347,exculpatory,1
348,conspiring,1
349,raise,1
350,suspicions,1
351,publicly,1
352,praising,1
353,yet,1
354,interference,1
355,itself,1
356,beyond,1
357,mueller,1
358,led,1
359,guilty,1
360,pleas,1
361,indictments,1
362,must,1
363,continue,1
364,frankly,1
365,suspicious,1
366,throwing,1
367,up,1
368,much,1
369,dust,1
370,trying,1
371,hard,1
372,delegitimize,1
373,acting,1
374,☐,1
