,term,count
0,yes,4
1,president,1
2,trump,15
3,is,11
4,vile,1
5,that,9
6,’s,7
7,a,19
8,given,1
9,we,4
10,should,3
11,focus,4
12,on,8
13,the,44
14,robert,1
15,mueller,2
16,investigation,2
17,particularly,2
18,since,3
19,his,8
20,congressional,2
21,cohort,1
22,and,28
23,purely,1
24,propagandistic,1
25,fox,1
26,news,1
27,are,9
28,treating,1
29,as,5
30,an,3
31,existential,1
32,threat,1
33,actively,1
34,working,1
35,to,30
36,discredit,1
37,not,2
38,only,2
39,but,5
40,entire,1
41,fbi,1
42,misogyny,1
43,patriarchy,1
44,which,1
45,continue,1
46,manifest,1
47,in,17
48,assemblage,1
49,of,25
50,group,1
51,advisers,1
52,confidants,1
53,who,3
54,include,2
55,among,1
56,them,1
57,shockingly,1
58,high,1
59,number,1
60,men,2
61,have,8
62,been,6
63,accused,2
64,assault,2
65,sexual,2
66,or,1
67,against,1
68,women,2
69,himself,1
70,has,4
71,this,8
72,violence,1
73,even,3
74,admitted,1
75,pattern,2
76,tape,1
77,now,3
78,denies,1
79,it,8
80,perhaps,1
81,because,1
82,he,3
83,developed,1
84,response,1
85,when,2
86,new,5
87,accusations,1
88,abuse,1
89,revealed,1
90,believe,1
91,discount,1
92,breaking,1
93,custom,1
94,convention,1
95,racism,1
96,reactiveness,1
97,barack,1
98,obama,2
99,obsession,1
100,autocratic,1
101,impulses,1
102,while,2
103,focusing,1
104,what,2
105,wrought,1
106,would,1
107,behoove,1
108,us,1
109,also,2
110,titanic,1
111,moves,1
112,by,6
113,right,2
114,literally,1
115,realign,1
116,society,1
117,for,9
118,long,1
119,haul,1
120,stacking,1
121,courts,6
122,with,5
123,virulent,1
124,conservatives,3
125,suppressing,1
126,voter,5
127,access,1
128,reducing,1
129,inflow,1
130,immigrants,1
131,might,1
132,lean,2
133,democratic,2
134,gerrymandering,4
135,districts,4
136,punishing,1
137,states,6
138,presidential,1
139,elections,1
140,returning,1
141,failed,1
142,drug,1
143,policy,1
144,disproportionately,1
145,jails,1
146,black,2
147,brown,1
148,people,4
149,short,1
150,using,1
151,every,1
152,possible,1
153,means,2
154,permanently,1
155,lock,1
156,power,2
157,wealth,1
158,influence,1
159,existing,1
160,predominantly,2
161,white,3
162,male,2
163,structure,1
164,allow,1
165,me,1
166,piece,2
167,together,1
168,some,3
169,happening,1
170,york,1
171,times,2
172,reported,3
173,november,2
174,weeks,1
175,before,1
176,j,1
177,took,1
178,office,1
179,lawyers,1
180,joining,1
181,administration,1
182,gathered,1
183,at,1
184,law,1
185,firm,1
186,near,1
187,capitol,1
188,where,1
189,f,1
190,mcgahn,2
191,soon,1
192,be,2
193,house,1
194,counsel,1
195,filled,1
196,whiteboard,1
197,secret,1
198,battle,1
199,plan,1
200,fill,1
201,federal,3
202,appeals,1
203,young,1
204,deeply,1
205,conservative,1
206,judges,4
207,said,1
208,mr,2
209,had,2
210,instructed,1
211,maximize,1
212,opportunity,1
213,reshape,1
214,judiciary,1
215,mother,1
216,jones,1
217,beyond,1
218,supreme,1
219,court,2
220,justice,4
221,neil,1
222,gorsuch,1
223,already,1
224,nominated,1
225,more,4
226,than,2
227,half,1
228,vacancies,1
229,putting,1
230,forward,1
231,astonishing,1
232,names,1
233,appellate,1
234,district,2
235,those,1
236,confirmed,2
237,time,1
238,first,1
239,year,2
240,circuit,1
241,nominees,1
242,so,1
243,far,1
244,roughly,1
245,percent,2
246,then,2
247,there,3
248,enormous,1
249,issue,1
250,suppression,1
251,according,1
252,brennan,1
253,center,1
254,after,2
255,election,1
256,state,1
257,lawmakers,1
258,nationwide,1
259,started,1
260,introducing,1
261,hundreds,1
262,harsh,1
263,measures,3
264,making,2
265,harder,4
266,vote,1
267,laws,4
268,range,1
269,from,1
270,strict,2
271,photo,2
272,i,4
273,d,4
274,requirements,2
275,early,3
276,voting,4
277,cutbacks,1
278,registration,1
279,restrictions,2
280,statement,1
281,continued,2
282,overall,1
283,effect,1
284,restrictive,1
285,place,1
286,citizens,1
287,register,1
288,cut,1
289,back,1
290,days,1
291,hours,1
292,made,1
293,restore,1
294,rights,1
295,past,1
296,criminal,1
297,convictions,1
298,aclu,1
299,puts,1
300,bluntly,1
301,across,1
302,country,2
303,passed,1
304,make,1
305,americans,1
306,elderly,1
307,students,1
308,disabilities,1
309,exercise,1
310,their,2
311,fundamental,1
312,cast,1
313,ballot,1
314,these,3
315,cuts,1
316,purges,1
317,rolls,1
318,greater,1
319,threats,1
320,true,1
321,democracy,2
322,brian,1
323,klaas,2
324,wrote,1
325,last,2
326,washington,2
327,post,2
328,word,1
329,why,2
330,american,1
331,broken,1
332,no,1
333,party,1
334,innocent,1
335,comes,1
336,analysis,1
337,found,1
338,most,2
339,gerrymandered,1
340,united,1
341,were,1
342,drawn,1
343,republicans,1
344,challenged,1
345,same,1
346,being,1
347,stacked,1
348,will,1
349,redrawn,1
350,census,2
351,suspicions,1
352,department,2
353,trying,1
354,sabotage,1
355,atlantic,1
356,month,1
357,recent,1
358,request,1
359,add,1
360,question,1
361,citizenship,1
362,could,1
363,threaten,1
364,participation,1
365,consequence,1
366,affect,1
367,allocation,1
368,money,1
369,distribution,1
370,seats,1
371,much,1
372,bigger,1
373,alone,1
374,big,2
375,game,1
376,all,1
377,marbles,1
378,simply,1
379,useful,1
380,temporary,1
381,tool,1
382,endeavor,1
383,many,1
384,powerful,1
385,betraying,1
386,supposed,1
387,values,1
388,ignoring,1
389,moral,1
390,conundrum,1
391,continuing,1
392,support,1
393,end,1
394,necessarily,1
395,picture,1
396,about,1
397,tectonic,1
398,realignment,1
