,term,count
0,signal,4
1,flares,1
2,went,3
3,up,1
4,for,7
5,the,51
6,american,2
7,coal,32
8,industry,2
9,recently,2
10,all,3
11,illuminating,1
12,an,7
13,inescapable,1
14,conclusion,1
15,despite,2
16,president,4
17,trump,5
18,’s,8
19,campaign,1
20,promise,1
21,fired,4
22,power,4
23,is,10
24,in,23
25,trouble,1
26,and,16
27,likelihood,1
28,wo,1
29,n’t,3
30,be,3
31,reasserting,1
32,itself,1
33,united,1
34,states,2
35,nor,1
36,should,3
37,it,7
38,first,4
39,from,12
40,medical,2
41,community,1
42,give,1
43,champions,1
44,of,14
45,beautiful,1
46,clean,2
47,like,3
48,mr,6
49,his,1
50,energy,10
51,secretary,3
52,rick,1
53,perry,3
54,pause,1
55,a,15
56,research,1
57,letter,1
58,published,2
59,journal,1
60,association,1
61,on,2
62,feb,1
63,said,4
64,that,10
65,health,5
66,professionals,1
67,appalachian,1
68,country,1
69,were,2
70,now,2
71,finding,1
72,highest,1
73,levels,1
74,black,6
75,lung,7
76,disease,7
77,miners,10
78,ever,1
79,reported,3
80,workers’,1
81,surveillance,2
82,program,4
83,administered,1
84,by,7
85,national,2
86,institute,1
87,occupational,2
88,safety,1
89,or,1
90,niosh,2
91,has,3
92,offered,1
93,regular,1
94,chest,1
95,radiographs,1
96,since,1
97,late,1
98,1990s,1
99,was,5
100,rarely,1
101,identified,1
102,among,2
103,participating,1
104,researchers,3
105,wrote,1
106,but,5
107,spike,1
108,cases,5
109,public,1
110,radio,1
111,prompted,1
112,federal,4
113,agency,3
114,to,26
115,take,2
116,closer,1
117,look,1
118,at,4
119,patients,1
120,federally,1
121,funded,2
122,clinics,2
123,southwest,1
124,virginia,3
125,stunned,1
126,what,2
127,found,1
128,appalachia,2
129,those,1
130,had,2
131,skyrocketed,1
132,more,5
133,severe,2
134,dying,1
135,much,1
136,younger,1
137,than,2
138,they,2
139,been,2
140,decades,1
141,ago,1
142,january,2
143,february,1
144,documented,1
145,about,1
146,observed,1
147,during,1
148,study,1
149,with,8
150,most,2
151,deadly,1
152,form,1
153,progressive,1
154,massive,1
155,fibrosis,1
156,advanced,2
157,stage,1
158,caused,1
159,inhalation,1
160,silica,2
161,dust,3
162,underground,1
163,surface,1
164,mines,1
165,this,6
166,gradually,1
167,lose,1
168,ability,1
169,breathe,1
170,we,6
171,are,4
172,seeing,2
173,something,1
174,have,3
175,seen,1
176,before,1
177,carson,1
178,told,2
179,npr,2
180,he,3
181,directs,1
182,stone,1
183,mountain,1
184,services,1
185,which,4
186,treats,1
187,kentucky,1
188,west,1
189,year,4
190,when,3
191,opened,1
192,past,1
193,reasons,1
194,behind,1
195,sharp,1
196,rise,1
197,complicated,1
198,according,2
199,investigation,1
200,likely,3
201,causes,1
202,miners’,2
203,working,1
204,longer,1
205,hours,1
206,their,1
207,exposure,1
208,deadlier,1
209,cutting,1
210,into,3
211,rock,1
212,extract,2
213,thinner,1
214,harder,1
215,reach,1
216,seams,1
217,days,1
218,mining,1
219,readily,1
220,available,1
221,long,1
222,gone,1
223,difficult,2
224,seemingly,1
225,costly,1
226,rule,1
227,effect,1
228,improve,1
229,protections,2
230,including,1
231,decreased,1
232,allowable,1
233,concentrations,1
234,as,1
235,noted,1
236,whether,2
237,these,1
238,added,2
239,will,3
240,decrease,1
241,requires,1
242,continued,1
243,second,1
244,subtle,1
245,damning,1
246,oft,1
247,repeated,1
248,claim,1
249,electricity,2
250,generation,1
251,making,1
252,comeback,1
253,there,1
254,significant,1
255,number,1
256,retirements,2
257,plants,4
258,assessment,2
259,consulting,1
260,firm,1
261,sp,2
262,global,2
263,marketplace,1
264,intelligence,1
265,troubling,1
266,economics,1
267,proven,1
268,overcome,1
269,low,1
270,wholesale,1
271,natural,2
272,gas,3
273,prices,1
274,being,1
275,main,2
276,contributing,1
277,factors,1
278,squeezing,1
279,margins,1
280,coupling,1
281,unfavorable,1
282,operating,1
283,environment,1
284,increasingly,2
285,wind,1
286,solar,2
287,focused,1
288,resource,1
