,term,count
0,in,57
1,the,229
2,early,2
3,hours,1
4,of,86
5,jan,1
6,first,5
7,communist,27
8,rockets,1
9,struck,1
10,provincial,4
11,capitals,2
12,across,3
13,south,30
14,vietnam,13
15,a,49
16,nationwide,2
17,ground,2
18,assault,1
19,followed,3
20,and,61
21,by,31
22,morning,1
23,next,1
24,day,1
25,much,7
26,urban,5
27,was,31
28,besieged,1
29,including,5
30,saigon,10
31,radio,2
32,station,1
33,vietnamese,10
34,military,21
35,headquarters,1
36,even,10
37,american,16
38,embassy,2
39,what,1
40,local,3
41,papers,1
42,dubbed,1
43,year,4
44,sand,1
45,referring,1
46,to,65
47,ubiquitous,1
48,sandbags,1
49,appearing,1
50,front,4
51,nation,3
52,’s,47
53,doors,1
54,windows,1
55,well,2
56,underway,1
57,united,3
58,states,3
59,attacks,7
60,which,8
61,came,2
62,be,3
63,known,1
64,as,19
65,tet,16
66,offensive,2
67,are,2
68,remembered,1
69,psychological,2
70,turning,3
71,point,2
72,moment,2
73,when,5
74,president,6
75,johnson,1
76,is,3
77,said,2
78,have,6
79,lost,4
80,faith,4
81,cbs,1
82,broadcaster,1
83,walter,1
84,cronkite,1
85,extension,1
86,public,3
87,at,14
88,large,2
89,indeed,1
90,though,2
91,forces,1
92,suffered,1
93,substantial,2
94,losses,2
95,manpower,1
96,morale,2
97,contradiction,1
98,between,1
99,officials’,1
100,buoyant,1
101,promises,2
102,weeks,2
103,astonishing,1
104,televised,1
105,carnage,1
106,never,1
107,reconciled,1
108,but,18
109,political,16
110,impact,2
111,proved,3
112,equally,1
113,significant,1
114,no,6
115,less,2
116,critical,2
117,determining,1
118,outcome,1
119,war,4
120,still,5
121,routinely,1
122,mischaracterized,1
123,an,16
124,client,1
125,regime,4
126,home,1
127,millions,1
128,fervent,1
129,factionalized,1
130,anti,10
131,communists,12
132,mostly,1
133,concentrated,1
134,centers,2
135,reacting,1
136,shock,2
137,they,13
138,set,2
139,aside,1
140,longstanding,1
141,quarrels,1
142,rallied,1
143,rare,2
144,display,1
145,solidarity,3
146,outpouring,1
147,constructive,1
148,energy,3
149,following,2
150,hastily,1
151,squandered,2
152,instead,4
153,nguyen,2
154,van,2
155,thieu,12
156,used,1
157,opportunity,2
158,undertake,1
159,naked,1
160,power,1
161,grabs,1
162,compromising,1
163,constitutional,4
164,basis,1
165,on,15
166,his,12
167,legitimacy,1
168,premised,1
169,driving,2
170,most,4
171,dedicated,1
172,despair,1
173,post,4
174,resolve,1
175,succumbed,1
176,cynical,1
177,resignation,1
178,while,10
179,confidence,2
180,commitment,1
181,eroded,1
182,result,1
183,that,15
184,could,1
185,been,6
186,for,33
187,country,6
188,became,1
189,beginning,1
190,end,2
191,government,12
192,finally,1
193,surrendered,1
194,tanks,1
195,april,1
196,fate,1
197,had,12
198,long,6
199,since,4
200,sealed,1
201,advertisement,5
202,may,1
203,appear,1
204,hindsight,1
205,doomed,1
206,experiment,3
207,wake,2
208,its,11
209,supporters,1
210,felt,1
211,new,6
212,sense,2
213,urgency,1
214,spite,1
215,devastating,1
216,violence,2
217,response,1
218,represented,1
219,zenith,1
220,nationalism,1
221,cast,2
222,time,3
223,into,6
224,forefront,1
225,observers,1
226,were,16
227,roused,1
228,action,2
229,reached,2
230,deep,1
231,seated,1
232,regional,2
233,religious,2
234,divides,1
235,channeled,1
236,their,10
237,newfound,2
238,series,1
239,broad,1
240,based,2
241,umbrella,1
242,groups,2
243,national,7
244,social,2
245,democratic,3
246,salvation,1
247,or,7
248,liên,1
249,minh,1
250,league,1
251,this,5
252,unprecedented,1
253,outburst,1
254,collective,2
255,propelled,1
256,dawning,1
257,awareness,1
258,arcane,1
259,factions,1
260,match,1
261,machine,1
262,beyond,1
263,these,3
264,uncharacteristic,1
265,expressions,1
266,camaraderie,1
267,groundswell,1
268,also,7
269,breathed,1
270,life,1
271,system,4
272,hitherto,1
273,scorned,1
274,dismissed,1
275,after,10
276,previous,3
277,rigged,1
278,presidential,1
279,election,2
280,with,14
281,reeling,1
282,from,10
283,bloodshed,2
284,fledgling,1
285,institutions,1
286,like,4
287,revived,1
288,assembly,3
289,provided,2
290,blueprint,1
291,cooperation,1
292,forum,1
293,republican,1
294,constitutionalists,1
295,who,8
296,whatever,1
297,reservations,2
298,about,2
299,saw,2
300,future,1
301,themselves,2
302,under,2
303,party,9
304,rule,2
305,infuriated,1
306,longtime,1
307,critics,1
308,hastened,1
309,denounce,1
310,quang,6
311,buddhist,1
312,group,2
313,whose,2
314,rebellions,1
315,brought,1
316,state,10
317,knees,1
318,now,4
319,lot,1
320,shaken,1
321,ferocity,1
322,onslaught,1
323,central,2
324,ruled,1
325,out,5
326,accommodation,1
327,there,1
328,little,3
329,love,1
330,lay,2
331,leaders,2
332,opted,1
333,take,1
334,chances,1
335,uneven,2
336,authority,1
337,judged,1
338,far,4
339,capable,2
340,than,6
341,hanoi,1
342,fulfilling,1
343,authoritarian,1
344,aspirations,1
345,raised,1
346,eyebrows,1
347,embracing,1
348,prevailing,2
349,senate,4
350,elections,1
351,securing,1
352,third,1
353,contested,1
354,seats,2
355,more,5
356,remarkably,1
357,situation,1
358,deteriorated,1
359,subsequent,1
360,years,6
361,refrained,1
362,actively,1
363,challenging,1
364,traditionally,1
365,loyal,1
366,parties,1
367,took,3
368,streets,1
369,anger,3
370,unexpected,1
371,restraint,1
372,if,5
373,overlooked,1
374,factor,1
375,prolonging,1
376,survival,1
377,symbol,2
378,potential,1
379,meanwhile,4
380,heartened,1
381,spirit,2
382,determination,2
383,civil,2
384,society,2
385,implored,1
386,capitalize,1
387,carrying,1
388,needed,3
389,reforms,3
390,phan,1
391,dan,2
392,opposition,2
393,leader,1
394,admired,1
395,bravely,1
396,enduring,2
397,torture,1
398,henchmen,1
399,many,2
400,leapt,1
401,possibilities,1
402,proclaimed,1
403,tremendous,1
404,turn,3
405,temporary,1
406,success,2
407,decisive,1
408,victory,3
409,it,7
410,seized,2
411,upon,1
412,move,2
413,forward,1
414,fast,1
415,reorganize,1
416,administration,1
417,wipe,1
418,corruption,4
419,carry,1
420,sweeping,2
421,land,11
422,mobilize,2
423,active,1
424,popular,2
425,participation,2
426,achieve,1
427,unity,2
428,sure,2
429,tall,1
430,order,1
431,cocksure,1
432,vice,2
433,cao,2
434,ky,6
435,observed,1
436,during,3
437,march,1
438,interview,1
439,i,2
440,know,1
441,residents,3
442,do,1
443,n’t,2
444,us,2
445,very,1
446,other,4
447,hand,1
448,least,1
449,’m,1
450,detest,1
451,within,3
452,characteristically,1
453,glib,1
454,remarks,2
455,however,3
456,uncomfortable,1
457,truth,1
458,ruling,1
459,generals,1
460,waves,1
461,assurance,1
462,loyalty,1
463,reviled,1
464,consider,1
465,instance,2
466,events,1
467,city,4
468,hue,6
469,where,1
470,gradual,1
471,revelation,1
472,brutal,1
473,massacre,2
474,enraged,2
475,galvanized,1
476,informed,1
477,southerners,1
478,plight,1
479,remains,2
480,ruthlessness,1
481,reactions,1
482,often,3
483,nuanced,1
484,multifaceted,1
485,penned,1
486,trinh,1
487,cong,4
488,son,1
489,song,1
490,human,1
491,corpses,1
492,emphasized,1
493,sorrow,1
494,rather,3
495,assigning,1
496,blame,1
497,novelist,1
498,nha,2
499,ca,1
500,mourning,1
501,headband,1
502,controversially,1
503,tasked,1
504,entire,1
505,responsibility,1
506,ending,1
507,incensed,1
508,kidnappings,1
509,executions,1
510,indiscriminate,2
511,firepower,2
512,reserved,1
513,special,1
514,contempt,1
515,fled,1
516,sign,2
517,trouble,1
518,only,3
519,pillage,1
520,once,5
521,dust,1
522,settled,1
523,regard,1
524,experience,1
525,not,2
526,atypical,1
527,flight,1
528,looting,1
529,recurring,1
530,pattern,1
531,repeated,1
532,performance,1
533,soc,1
534,trang,2
535,da,1
536,lat,1
537,vinh,1
538,among,2
539,towns,1
540,garrison,1
541,tuy,2
542,hoa,1
543,capital,3
544,phu,1
545,yen,1
546,province,5
547,vanished,1
548,before,2
549,shot,1
550,fired,1
551,reinforcements,1
552,eventually,1
553,arrived,1
554,left,2
555,own,6
556,accord,1
557,troops,2
558,nonetheless,1
559,staged,2
560,elaborate,1
561,procession,1
562,comprehensive,1
563,sacking,1
564,town,1
565,army,2
566,did,3
567,defeat,2
568,defeated,1
569,civilian,4
570,lamented,1
571,responses,2
572,likewise,2
573,roundly,1
574,condemned,1
575,hoping,1
576,dislodge,1
577,resistance,3
578,air,1
579,artillery,1
580,strikes,1
581,leveled,1
582,over,5
583,houses,1
584,destroyed,1
585,district,1
586,alone,2
587,nearby,1
588,gia,1
589,dinh,1
590,estimated,1
591,homeless,1
592,few,1
593,campaign,1
594,barrage,1
595,fueled,1
596,spiraling,1
597,backlash,1
598,personnel,1
599,subject,1
600,routine,1
601,street,1
602,confrontations,1
603,increasingly,1
604,confined,1
605,remote,1
606,bases,2
607,all,5
608,conspiracy,1
609,minded,1
610,devoured,1
611,rumors,1
612,cia,3
613,collusion,1
614,apparent,1
615,pretext,1
616,accelerating,1
617,withdrawal,1
618,responding,2
619,outcry,1
620,lower,1
621,house,1
622,issued,1
623,formal,1
624,complaint,1
625,mouthpieces,1
626,newspaper,1
627,chung,1
628,charged,2
629,destroying,1
630,weekly,1
631,newsletter,4
632,includes,1
633,eyewitness,1
634,accounts,1
635,photos,1
636,historical,1
637,insights,1
638,please,2
639,verify,1
640,you,2
641,re,3
642,robot,1
643,clicking,1
644,box,1
645,invalid,1
646,email,1
647,address,2
648,enter,1
649,must,1
650,select,1
651,subscribe,2
652,view,1
653,york,2
654,times,2
655,newsletters,1
656,cities,2
657,initial,3
658,inspired,1
659,renewed,1
660,severe,1
661,blow,3
662,countryside,2
663,having,1
664,witnessed,1
665,cowardice,1
666,exploitation,1
667,misery,1
668,inability,1
669,resist,1
670,rural,4
671,constituents,2
672,ability,2
673,desire,1
674,protect,1
675,them,2
676,moreover,1
677,contrary,1
678,notion,2
679,marked,1
680,irrevocable,1
681,southern,2
682,aftermath,1
683,fluid,1
684,protracted,1
685,affair,1
686,through,4
687,strengthened,1
688,position,1
689,swathes,1
690,pinning,1
691,balanced,1
692,ramped,1
693,up,2
694,infiltration,1
695,north,2
696,albeit,1
697,cost,1
698,mounting,1
699,tensions,1
700,ranks,2
701,counterattack,1
702,characterized,1
703,heavy,1
704,casualties,1
705,balance,1
706,gradually,1
707,then,3
708,retreat,1
709,tactical,1
710,imposed,1
711,waning,1
712,imminent,1
713,hollow,1
714,partisans,1
715,ruthlessly,1
716,applied,1
717,stick,1
718,intensifying,1
719,conscription,1
720,assassinating,1
721,those,3
722,dared,1
723,side,2
724,care,1
725,dangle,1
726,carrots,1
727,phuoc,1
728,cadres,1
729,went,2
730,door,2
731,collecting,1
732,lists,1
733,required,2
734,medications,1
735,procured,1
736,black,1
737,market,1
738,distributed,1
739,grateful,1
740,villagers,1
741,part,1
742,such,1
743,efforts,3
744,communists’,3
745,network,1
746,stayed,1
747,intact,1
748,laid,1
749,low,1
750,income,1
751,taken,1
752,covered,1
753,barely,1
754,percent,1
755,expenses,1
756,tax,2
757,collection,1
758,continued,3
759,apace,1
760,reported,1
761,remained,2
762,able,2
763,funds,1
764,nonmilitary,1
765,supplies,1
766,support,1
767,insurgency,1
768,viet,2
769,exercise,1
770,considerable,1
771,control,3
772,production,1
773,processing,1
774,movement,1
775,commodities,1
776,essential,1
777,economy,2
778,draws,1
779,revenues,1
