,term,count
0,i,26
1,conducted,1
2,this,13
3,interview,1
4,with,23
5,the,154
6,influential,1
7,feminist,3
8,philosopher,1
9,and,96
10,ethicist,1
11,drucilla,2
12,cornell,2
13,over,3
14,past,1
15,month,1
16,as,30
17,metoo,3
18,movement,2
19,has,9
20,gained,1
21,force,1
22,debates,2
23,about,8
24,responses,1
25,to,74
26,male,7
27,sexual,10
28,misconduct,2
29,abuse,3
30,have,13
31,been,4
32,renewed,1
33,she,10
34,is,55
35,a,55
36,professor,1
37,of,100
38,political,2
39,science,2
40,at,10
41,rutgers,2
42,university,1
43,author,1
44,many,6
45,books,1
46,including,4
47,law,9
48,revolution,5
49,in,60
50,south,1
51,africa,1
52,ubuntu,1
53,dignity,1
54,struggle,3
55,for,17
56,constitutional,1
57,transformation,6
58,spirit,2
59,beyond,3
60,dead,2
61,ends,3
62,man,11
63,clint,2
64,eastwood,9
65,issues,1
66,american,1
67,masculinity,4
68,here,5
69,we,25
70,discuss,1
71,impact,3
72,pornography,3
73,popular,2
74,culture,1
75,on,12
76,behavior,1
77,psychology,1
78,misogyny,1
79,race,2
80,more,3
81,george,2
82,yancy,2
83,find,2
84,ourselves,1
85,remarkable,1
86,moment,1
87,each,3
88,day,5
89,it,17
90,seems,4
91,well,2
92,known,1
93,men,20
94,like,3
95,bill,1
96,cosby,1
97,harvey,1
98,weinstein,1
99,charlie,1
100,rose,1
101,matt,1
102,lauer,1
103,are,23
104,being,8
105,identified,1
106,alleged,1
107,perpetrators,1
108,or,5
109,assault,1
110,significant,1
111,but,13
112,my,11
113,view,1
114,deeper,3
115,entrenched,1
116,problem,3
117,remains,2
118,most,4
119,women,27
120,within,3
121,context,1
122,their,11
123,everyday,1
124,lives,3
125,workplaces,1
126,example,2
127,continue,2
128,be,23
129,subjected,1
130,pornographic,4
131,gaze,1
132,do,6
133,you,5
134,agree,2
135,imaginary,9
136,clearly,3
137,larger,1
138,named,1
139,symptoms,1
140,an,6
141,even,4
142,terror,2
143,power,8
144,female,3
145,body,5
146,give,2
147,take,5
148,away,4
149,life,5
150,images,3
151,predator,1
152,make,1
153,seem,2
154,though,1
155,they,13
156,charge,1
157,bring,1
158,often,4
159,literally,1
160,knees,1
161,behind,2
162,fear,4
163,anxiety,1
164,bodies,2
165,must,5
166,turned,1
167,into,5
168,objects,2
169,pleasure,1
170,that,45
171,can,10
172,never,2
173,imagined,1
174,whole,1
175,person,1
176,because,7
177,would,12
178,too,1
179,scary,2
180,foot,1
181,breast,1
182,rear,1
183,end,3
184,embodied,2
185,woman,18
186,face,3
187,voice,3
188,something,2
189,not,13
190,up,6
191,see,6
192,all,10
193,legislation,1
194,attempts,1
195,control,2
196,death,2
197,endless,1
198,battles,1
199,against,2
200,right,3
201,abortion,2
202,attempt,1
203,censor,1
204,birth,1
205,demands,1
206,weigh,1
207,decision,2
208,when,5
209,these,3
210,powerful,2
211,world,5
212,unquestionably,2
213,did,1
214,psychically,1
215,misogynist,3
216,full,6
217,scariest,1
218,thing,2
219,imaginable,1
220,her,23
221,own,4
222,no,4
223,excuse,2
224,call,2
225,them,7
226,out,5
227,wimps,1
228,work,3
229,terrified,1
230,predators,1
231,said,1
232,need,3
233,understanding,2
234,how,5
235,related,1
236,suppression,1
237,our,8
238,society,1
239,significance,1
240,maternal,1
241,fight,1
242,horrific,2
243,masculine,4
244,same,2
245,time,1
246,understand,2
247,rooted,1
248,feminists,2
249,lesbians,1
250,transgendered,1
251,shown,1
252,us,9
253,erotic,9
254,does,5
255,immersed,1
256,job,1
257,demand,1
258,thoroughgoing,1
259,relationship,1
260,other,3
261,stephen,1
262,seely,1
263,argue,1
264,book,6
265,course,4
266,inseparable,1
267,from,6
268,agenda,1
269,economic,1
270,which,6
271,bernie,1
272,sanders,1
273,called,5
274,group,1
275,he,14
276,founded,1
277,continues,1
278,echo,1
279,its,2
280,campaign,1
281,medicare,1
282,fearless,1
283,support,1
284,those,2
285,who,15
