,term,count
0,the,30
1,president,5
2,wants,4
3,a,27
4,parade,3
5,but,6
6,not,4
7,some,3
8,girlie,1
9,frilly,1
10,procession,1
11,that,22
12,limits,1
13,itself,1
14,to,14
15,high,3
16,stepping,1
17,musicians,1
18,reaching,1
19,headdresses,1
20,flutes,1
21,and,26
22,floats,1
23,he,22
24,muscle,1
25,metal,1
26,tanks,1
27,soldiers,1
28,planes,1
29,in,13
30,his,13
31,veterans,1
32,day,1
33,vision,1
34,pennsylvania,1
35,avenue,1
36,bulges,1
37,with,10
38,artillery,1
39,because,4
40,blinkered,1
41,view,1
42,’s,17
43,measure,1
44,of,25
45,nation,1
46,worth,1
47,it,15
48,also,1
49,affirmation,1
50,potency,1
51,us,1
52,know,2
53,if,4
54,’d,2
55,been,4
56,outside,1
57,marjory,1
58,stoneman,1
59,douglas,1
60,school,1
61,parkland,2
62,fla,1
63,when,1
64,shooting,1
65,began,1
66,i,6
67,run,1
68,there,3
69,even,1
70,did,1
71,n’t,6
72,have,7
73,weapon,1
74,can,1
75,be,3
76,any,2
77,doubt,1
78,trump,9
79,is,9
80,known,1
81,for,6
82,thing,1
83,fearlessness,1
84,selflessness,1
85,comes,1
86,close,1
87,second,1
88,ronald,1
89,reagan,1
90,starred,1
91,as,8
92,cowboy,1
93,hollywood,2
94,westerns,1
95,george,1
96,w,1
97,bush,1
98,strode,1
99,across,1
100,deck,1
101,an,4
102,aircraft,1
103,carrier,1
104,olive,1
105,flight,1
106,suit,1
107,ejection,1
108,harness,1
109,declare,1
110,prematurely,1
111,mission,1
112,had,2
113,accomplished,1
114,’m,2
115,sure,1
116,over,4
117,past,1
118,half,1
119,century,1
120,was,1
121,perversely,1
122,insistent,1
123,on,6
124,manhood,2
125,narrow,1
126,definition,1
127,superficially,1
128,fixated,1
129,brute,1
130,strength,2
131,oval,1
132,office,1
133,current,1
134,occupant,1
135,what,2
136,shame,1
137,we,4
138,’re,1
139,struggling,1
140,right,1
141,now,1
142,forge,1
143,healthier,1
144,sexual,1
145,dynamic,1
146,between,2
147,men,6
148,women,2
149,stop,1
150,young,2
151,from,2
152,exploding,1
153,violently,1
154,sorely,1
155,need,1
156,better,1
157,more,2
158,nuanced,1
159,model,1
160,masculinity,3
161,instead,1
162,access,1
163,whose,1
164,message,1
165,real,2
166,fetishize,1
167,weapons,1
168,glorify,1
169,brutality,2
170,degrade,1
171,their,3
172,adversaries,1
173,grope,1
174,objects,1
175,affection,1
176,angling,1
177,marshal,1
178,adamant,1
179,about,5
180,martial,1
181,front,1
182,jonathan,1
183,swan,2
184,website,1
185,axios,1
186,recently,2
187,reported,1
188,has,3
189,private,1
190,obsession,1
191,capital,1
192,punishment,1
193,those,1
194,who,2
195,push,1
196,drugs,1
197,desire,1
198,emulate,1
199,countries,1
200,less,3
201,concerned,2
202,due,1
203,process,1
204,than,3
205,ours,1
206,often,1
207,jokes,1
208,killing,1
209,drug,2
210,dealers,1
211,senior,1
212,administration,1
213,official,1
214,told,2
215,’ll,1
216,say,1
217,you,1
218,chinese,1
219,filipinos,1
220,do,4
221,problem,1
222,they,2
223,just,2
224,kill,1
225,them’,1
226,toughness,2
227,obviates,1
228,restraint,1
229,precludes,1
230,mercy,1
231,calibrated,1
232,caliber,1
233,means,1
234,packing,1
235,heat,1
236,striking,1
237,call,1
238,arm,1
239,teachers,1
240,only,1
241,best,1
242,tweeted,1
243,inflated,1
244,estimate,1
245,how,1
246,many,3
247,them,2
248,are,5
249,adept,1
250,firearms,1
251,romanticizing,1
252,group,1
253,said,3
254,football,2
255,coach,1
256,died,1
257,while,1
258,shielding,1
259,students,1
260,carrying,1
261,gun,1
262,would,4
263,shot,1
264,end,1
265,huge,1
266,leap,1
267,contact,1
268,sports,1
269,marksmanship,1
270,manly,1
271,piece,1
272,responsible,1
273,americans,1
274,calling,1
275,safety,1
276,advocates,1
277,hardest,1
278,possible,1
279,hits,1
280,wake,1
281,disasters,1
282,natural,1
283,man,1
284,made,2
285,lavishes,1
286,words,1
287,rescuers,1
288,police,1
289,officers,1
290,paramedics,1
291,deserve,1
292,every,1
293,syllable,1
294,sometimes,1
295,shortchanges,1
296,victims,1
297,action,1
298,interests,1
299,him,1
300,vulnerability,1
301,clear,1
302,long,1
303,ago,1
304,casual,1
305,dismissal,1
306,american,1
307,prisoners,1
308,war,1
309,like,1
310,people,1
311,were,1
312,captured,1
313,answer,1
314,question,1
315,senator,1
316,john,1
317,mccain,1
318,elevates,1
319,coal,1
320,miners,1
321,computer,1
322,pioneers,1
323,dirt,1
324,or,1
325,dust,1
326,under,1
327,nails,1
328,neat,1
329,clean,1
330,opposite,2
331,tough,2
332,guy,3
333,biographer,1
334,michael,2
335,d’antonio,2
336,frightened,1
337,demonstrate,1
338,asked,1
339,renowned,1
340,psychiatrist,1
341,way,3
342,surrounds,1
343,himself,1
344,military,1
345,generals,1
346,moons,1
347,authoritarian,1
348,leaders,1
349,noted,1
350,boys,2
351,ages,1
352,get,1
353,fascinated,1
354,superman,1
355,all,2
356,these,1
357,powerful,1
358,figures,1
359,own,1
360,puniness,1
361,perhaps,1
362,old,1
363,billionaires,1
364,likewise,1
365,insecurities,1
366,example,1
367,me,1
368,this,2
369,by,1
