,term,count
0,no,2
1,issue,2
2,in,14
3,america,3
4,today,1
5,better,1
6,illustrates,1
7,the,56
8,divergent,1
9,interests,1
10,of,37
11,working,1
12,americans,4
13,and,34
14,percent,1
15,than,3
16,pension,15
17,reform,5
18,substantial,1
19,empirical,1
20,evidence,1
21,shows,1
22,that,17
23,’s,10
24,favored,1
25,retirement,6
26,vehicle,1
27,recently,1
28,renounced,1
29,by,4
30,its,3
31,own,3
32,inventors,1
33,is,9
34,grossly,1
35,inadequate,1
36,will,7
37,leave,1
38,tens,1
39,millions,4
40,with,1
41,insufficient,1
42,assets,2
43,yet,1
44,states,4
45,cities,2
46,are,14
47,busy,1
48,converting,2
49,traditional,8
50,pensions,14
51,into,3
52,these,8
53,failing,1
54,or,8
55,equivalents,1
56,to,43
57,great,3
58,benefit,3
59,money,3
60,managers,8
61,finance,1
62,class,1
63,advocates,1
64,which,6
65,really,1
66,means,1
67,cutting,1
68,eliminating,1
69,funds,13
70,tell,2
71,you,2
72,such,2
73,a,17
74,big,1
75,drain,1
76,on,7
77,state,1
78,local,1
79,budgets,1
80,since,2
81,as,5
82,defined,2
83,programs,1
84,they,11
85,obligated,1
86,pay,4
87,workers,4
88,amount,1
89,their,9
90,but,3
91,largely,1
92,question,2
93,political,2
94,priorities,1
95,underfunded,1
96,result,1
97,well,2
98,decades,1
99,underfunding,2
100,real,1
101,reason,1
102,for,10
103,attack,4
104,goes,1
105,deeper,1
106,exposes,1
107,growing,1
108,rift,1
109,between,1
110,economic,3
111,elite,1
112,everyone,1
113,else,1
114,consider,1
115,how,8
116,we,19
117,holders,2
118,behave,1
119,investors,1
120,many,3
121,us,7
122,thought,1
123,sue,3
124,wells,2
125,fargo,2
126,after,3
127,consumer,1
128,financial,2
129,protection,1
130,bureau,1
131,revealed,1
132,bank,2
133,had,1
134,created,1
135,fake,1
136,credit,1
137,card,1
138,accounts,1
139,push,1
140,our,9
141,fund,3
142,do,7
143,so,3
144,call,1
145,up,3
146,quarter,3
147,year,1
148,decade,1
149,underperformed,1
150,standard,1
151,poor,2
152,index,1
153,renegotiate,1
154,fees,2
155,even,3
156,switch,1
157,know,1
158,performed,1
159,relative,1
160,sp,1
161,answer,1
162,all,3
163,questions,1
164,number,1
165,very,1
166,close,1
167,world,1
168,ideal,1
169,source,1
170,capital,1
171,let,1
172,ourselves,1
173,be,3
174,charged,1
175,high,1
176,not,3
177,understand,2
178,accept,1
179,returns,1
180,never,3
181,enforce,1
182,rights,1
183,vote,2
184,shareholders,2
185,investment,3
186,think,1
187,ought,1
188,beyond,1
189,passive,1
190,supine,1
191,at,6
192,bottom,1
193,problem,1
194,structural,1
195,investees,1
196,what,2
197,nonunionized,1
198,right,2
199,work,1
200,employers,1
201,alone,2
202,devoid,1
203,leverage,1
204,negotiate,1
205,stands,2
206,sharp,1
207,contrast,1
208,like,3
209,unions,1
210,collective,2
211,centrally,1
212,managed,1
213,example,1
214,nation,1
215,largest,1
216,california,1
217,public,2
218,employees’,1
219,system,1
220,known,1
221,calpers,2
222,has,4
223,members,1
224,over,1
225,when,2
226,it,6
227,calls,2
228,an,3
229,manager,2
230,complain,1
231,about,1
232,performance,1
233,dump,1
234,lawyer,1
235,fraud,1
236,catches,1
237,attention,1
238,corporate,5
239,hedge,1
240,private,2
241,equity,1
242,why,2
243,succeed,2
244,where,1
245,fail,1
246,from,5
247,successes,1
248,raise,1
249,value,2
250,companies,2
251,mutual,1
252,could,1
253,same,2
254,if,3
255,wanted,1
256,n’t,3
257,despite,1
258,important,1
259,recent,1
260,gestures,1
261,towards,1
262,activism,1
263,have,8
