,term,count
0,this,5
1,article,1
2,is,7
3,part,2
4,of,17
5,the,51
6,opinion,1
7,today,1
8,newsletter,2
9,you,4
10,can,3
11,sign,1
12,up,2
13,here,1
14,to,21
15,receive,1
16,each,1
17,weekday,1
18,a,15
19,failed,3
20,state’,1
21,until,1
22,recently,2
23,kansas,6
24,offered,1
25,clearest,1
26,cautionary,1
27,tale,2
28,about,6
29,deep,1
30,tax,12
31,cuts,8
32,state,9
33,’s,10
34,then,1
35,governor,2
36,sam,1
37,brownback,1
38,promised,1
39,that,10
40,he,3
41,signed,2
42,in,15
43,and,20
44,would,5
45,lead,2
46,an,5
47,economic,5
48,boom,3
49,they,4
50,did,3
51,n’t,4
52,instead,2
53,had,1
54,cut,4
55,popular,2
56,programs,2
57,like,2
58,education,2
59,now,2
60,seems,1
61,have,3
62,rival,1
63,for,3
64,title,1
65,caused,2
66,most,2
67,self,1
68,inflicted,1
69,damage,1
70,through,1
71,louisiana,8
72,no,2
73,ways,1
74,it,6
75,robert,1
76,mann,1
77,university,1
78,professor,1
79,new,2
80,orleans,1
81,times,3
82,picayune,1
83,columnist,1
84,wrote,1
85,special,1
86,session,1
87,legislature,1
88,called,1
89,specifically,1
90,deal,1
91,with,4
92,budget,3
93,crisis,2
94,by,6
95,lack,1
96,revenue,2
97,do,1
98,so,1
99,legislators,2
100,adjourned,1
101,on,3
102,monday,1
103,one,2
104,sure,1
105,what,1
106,will,5
107,happen,1
108,next,1
109,if,3
110,ca,1
111,agree,1
112,increases,2
113,medical,1
114,care,2
115,likely,1
116,follow,1
117,targets,1
118,include,1
119,health,1
120,cover,1
121,medically,1
122,fragile,1
123,children,1
124,developmentally,1
125,disabled,1
126,as,7
127,well,1
128,taylor,1
129,opportunity,1
130,program,1
131,students,2
132,provides,1
133,tuition,1
134,covering,1
135,grants,1
136,thousands,1
137,college,1
138,elizabeth,1
139,crisp,1
140,advocate,2
141,baton,1
142,rouge,1
143,newspaper,1
144,explained,1
145,former,1
146,bobby,1
147,jindal,2
148,deserves,1
149,much,1
150,blame,1
151,republican,2
152,wunderkind,1
153,when,2
154,elected,1
155,at,3
156,age,1
157,income,1
158,taxes,2
159,roughly,1
160,doubled,1
161,size,1
162,corporate,2
163,breaks,2
164,end,2
165,his,1
166,terms,1
167,businesses,1
168,were,1
169,able,1
170,use,1
171,those,3
172,avoid,1
173,paying,1
174,percent,1
175,owed,1
176,under,1
177,official,1
178,rate,1
179,first,1
180,spun,1
181,how,3
182,but,1
183,just,2
184,plunged,1
185,helped,1
186,rich,2
187,become,1
188,richer,1
189,left,2
190,middle,2
191,class,2
192,poor,2
193,residents,1
194,struggling,1
195,schools,1
196,hospitals,1
197,other,1
198,services,1
199,experiences,1
200,are,1
201,particularly,1
202,important,1
203,because,1
204,federal,2
205,government,1
206,running,1
207,version,1
208,states’,1
209,policies,1
210,december,1
211,president,1
212,trump,1
213,skewed,1
214,overwhelmingly,1
215,contrary,1
216,every,1
217,independent,1
218,analysis,1
219,congressional,2
220,republicans,4
221,justified,1
222,plan,1
223,claims,1
224,turbocharge,1
225,growth,1
226,we,1
227,know,1
228,story,1
229,fails,1
230,produce,1
231,be,2
232,pay,1
233,price,1
234,there,2
235,still,1
236,good,1
237,solution,2
238,available,1
239,though,1
240,happens,2
241,eventually,1
242,chose,1
243,undo,1
244,related,1
245,interactive,1
246,graphics,1
247,come,1
248,your,2
249,own,1
250,choosing,1
251,among,1
252,mix,1
253,spending,1
254,calculator,2
255,joint,1
256,project,1
257,lsu,1
258,manship,1
259,school,1
260,mass,1
261,communication,1
262,knight,1
263,foundation,1
264,was,3
265,inspired,1
266,york,1
267,created,1
268,more,3
269,texas,4
270,i,3
271,mentioned,1
272,yesterday,1
273,primary,3
274,results,1
275,week,1
276,suggest,1
277,remain,1
278,heavy,1
279,favorites,1
280,win,1
281,statewide,1
282,races,1
283,year,2
284,has,1
285,voters,1
286,than,2
287,democratic,2
288,ones,1
289,musa,1
290,al,1
291,gharbi,1
292,argues,1
293,op,1
294,ed,1
295,seem,1
296,enthusiastic,1
297,voting,1
298,many,1
299,people,1
300,realize,1
301,highest,1
302,profile,1
303,race,1
304,ted,1
305,cruz,1
306,re,1
307,election,2
308,campaign,1
309,intriguing,1
310,democrat,1
311,named,1
312,beto,1
313,o’rourke,1
314,democrats,1
315,received,1
316,better,1
317,news,3
318,several,1
319,house,1
320,districts,2
321,dave,1
322,wasserman,1
323,cook,1
324,political,1
325,report,1
326,noted,1
327,turnout,2
328,strong,1
329,enough,1
330,give,1
331,party,1
332,reason,1
333,believe,1
334,compete,1
335,represented,1
336,seventh,1
337,district,1
338,houston,1
339,area,2
340,32nd,1
341,dallas,1
342,ambitiously,1
343,23rd,1
344,far,1
345,southwestern,1
346,does,1
347,say,1
348,anything,1
349,meaningful,1
350,general,1
351,outcomes,1
352,anyway,1
353,upshot,1
354,nate,1
355,cohn,1
356,explains,1
357,feeling,1
358,overwhelmed,1
359,turn,1
360,off,2
361,alerts,1
362,least,1
363,temporarily,1
364,turned,1
365,mine,1
366,months,1
367,ago,1
368,not,1
369,regretted,1
370,farhad,2
371,manjoo,1
372,writes,1
373,something,1
374,really,1
375,big,1
376,find,1
377,out,1
378,pleased,1
379,see,1
380,endorse,1
381,daily,1
382,email,1
383,newsletters,1
384,same,1
385,column,1
