,term,count
0,the,38
1,spread,17
2,of,30
3,misinformation,1
4,on,13
5,social,2
6,media,2
7,is,5
8,an,1
9,alarming,1
10,phenomenon,1
11,that,16
12,scientists,1
13,have,2
14,yet,1
15,to,16
16,fully,1
17,understand,1
18,while,1
19,data,2
20,show,1
21,false,21
22,claims,1
23,are,4
24,increasing,1
25,online,2
26,most,1
27,studies,1
28,analyzed,3
29,only,1
30,small,1
31,samples,1
32,or,3
33,individual,1
34,fake,1
35,stories,24
36,my,1
37,colleagues,1
38,soroush,1
39,vosoughi,1
40,roy,1
41,and,22
42,i,1
43,set,1
44,out,3
45,change,2
46,we,15
47,recently,1
48,diffusion,3
49,all,3
50,major,1
51,true,10
52,twitter,11
53,from,5
54,its,4
55,inception,1
56,in,6
57,our,4
58,included,1
59,approximately,2
60,cascades,2
61,unbroken,1
62,chains,1
63,retweets,1
64,with,2
65,a,5
66,common,1
67,singular,1
68,origin,3
69,involving,1
70,by,4
71,people,4
72,more,12
73,than,9
74,half,1
75,times,1
76,disturbingly,1
77,found,5
78,significantly,7
79,did,4
80,ones,3
81,findings,1
82,were,7
83,published,1
84,thursday,1
85,journal,1
86,science,1
87,started,1
88,identifying,1
89,thousands,1
90,using,4
91,information,2
92,independent,1
93,fact,1
94,checking,1
95,organizations,2
96,including,1
97,snopes,1
98,politifact,1
99,these,5
100,exhibited,1
101,considerable,1
102,agreement,1
103,between,1
104,percent,3
105,truth,4
106,falsity,4
107,then,2
108,searched,1
109,for,11
110,mentions,1
111,followed,2
112,sharing,2
113,activity,3
114,tweets,1
115,first,1
116,mention,1
117,story,1
118,traced,1
119,retweet,1
120,every,2
121,tweet,1
122,how,2
123,they,2
124,categories,1
125,politics,1
126,entertainment,1
127,business,1
128,so,1
129,farther,2
130,faster,2
131,broadly,1
132,falsehoods,2
133,likely,1
134,be,6
135,retweeted,1
136,even,1
137,when,1
138,controlling,1
139,age,1
140,original,1
141,tweeter,1
142,’s,1
143,account,2
144,level,1
145,number,1
146,followers,2
147,followees,1
148,whether,1
149,had,3
150,verified,2
151,as,5
152,genuine,2
153,effects,1
154,pronounced,1
155,political,1
156,any,1
157,other,2
158,type,1
159,news,4
160,surprisingly,1
161,users,3
162,who,4
163,average,1
164,fewer,2
165,less,3
166,active,1
167,often,1
168,been,1
169,time,1
170,falsehood,1
171,diffused,1
172,despite,2
173,seeming,1
174,shortcomings,1
175,concerns,1
176,about,2
177,role,1
178,web,1
179,robots,1
180,spreading,1
181,human,4
182,behavior,1
183,contributed,1
184,differential,1
185,bots,2
186,established,1
187,detection,1
188,algorithms,2
189,accelerated,2
190,at,1
191,same,2
192,rate,1
193,implying,1
194,result,1
195,why,2
196,would,3
197,explanation,1
198,novelty,2
199,perhaps,1
200,attracts,1
201,attention,1
202,encourages,1
203,conveying,1
204,status,1
205,sharers,1
206,seem,1
207,know,1
208,analysis,1
209,seemed,1
210,bear,1
211,this,2
212,hypothesis,1
213,accepted,1
214,computerized,1
215,methods,1
216,inferring,1
217,emotional,1
218,content,1
219,word,1
220,use,1
221,inspired,2
222,replies,1
223,expressing,1
224,greater,1
225,surprise,1
226,hand,1
227,joy,1
228,trust,1
229,such,1
230,emotions,1
231,may,2
232,shed,1
233,light,1
234,what,2
235,inspires,1
236,share,2
237,learn,2
238,spreads,1
239,should,1
240,test,1
241,interventions,2
242,dampen,2
243,example,2
244,though,1
245,it,3
246,was,1
247,disheartening,1
248,humans,1
249,responsible,1
250,previously,1
251,thought,1
252,finding,1
253,also,2
254,implies,1
255,behavioral,1
256,succeed,1
257,stemming,1
258,tide,1
259,could,3
260,labeling,1
261,much,1
262,way,2
263,label,1
264,food,1
265,consume,1
266,financial,2
267,incentives,3
268,another,1
269,possible,1
270,tool,1
271,advertising,1
272,market,1
273,creates,1
274,because,1
275,their,1
276,wider,1
277,makes,1
278,them,1
279,profitable,1
280,if,2
281,platforms,1
282,demote,1
283,accounts,1
284,posts,1
285,disseminated,1
286,weed,1
287,presumably,1
288,reduced,1
289,tricky,1
290,question,1
291,course,1
292,gets,1
293,decide,1
294,research,1
295,just,1
296,beginning,1
297,robust,1
298,identification,1
299,factors,1
300,drive,1
301,will,1
302,require,1
303,direct,1
304,interaction,1
305,through,1
306,interviews,1
307,surveys,1
308,lab,1
309,experiments,1
310,benefit,1
311,randomized,1
312,controlled,1
313,trials,1
314,efforts,1
315,some,1
316,notion,1
317,central,1
318,proper,1
319,functioning,1
320,nearly,1
321,realm,1
322,endeavor,1
323,allow,1
324,world,1
325,consumed,1
326,inviting,1
327,catastrophe,1
