,term,count
0,shading,1
1,my,3
2,eyes,1
3,from,6
4,the,70
5,bright,1
6,sun,1
7,i,4
8,stared,1
9,into,3
10,bomb,1
11,crater,1
12,amid,1
13,verdant,1
14,rice,1
15,paddies,1
16,while,3
17,it,8
18,had,3
19,been,2
20,nearly,3
21,years,4
22,since,3
23,last,1
24,american,7
25,planes,3
26,riddled,1
27,countryside,2
28,near,2
29,danang,1
30,in,18
31,central,1
32,vietnam,14
33,craters,1
34,still,3
35,pockmark,1
36,land,2
37,some,3
38,of,39
39,deep,1
40,depressions,1
41,remain,2
42,dry,1
43,others,2
44,a,12
45,testament,1
46,to,34
47,ingenuity,1
48,villagers,1
49,serve,2
50,as,4
51,watering,1
52,holes,1
53,for,8
54,oxen,1
55,that,14
56,farmers,1
57,harness,1
58,till,1
59,their,7
60,fields,1
61,was,4
62,first,1
63,week,1
64,where,1
65,would,3
66,spend,1
67,summer,1
68,conducting,1
69,research,1
70,studying,1
71,efficacy,1
72,international,8
73,law,6
74,namely,1
75,whether,1
76,legal,1
77,remedies,1
78,exist,1
79,civilian,2
80,victims,1
81,unexploded,2
82,ordnance,7
83,and,36
84,chemical,4
85,weapons,5
86,war,7
87,arrived,1
88,well,1
89,versed,1
90,numbers,2
91,america,2
92,dropped,3
93,times,3
94,more,3
95,over,2
96,laos,1
97,cambodia,1
98,than,2
99,all,4
100,sides,1
101,did,2
102,during,1
103,world,1
104,ii,1
105,estimates,1
106,are,3
107,at,2
108,least,1
109,tons,1
110,live,1
111,bombs,6
112,mines,2
113,will,1
114,take,1
115,clear,1
116,them,1
117,vietnamese,8
118,landscape,1
119,current,1
120,rate,1
121,other,3
122,were,7
123,on,5
124,thousands,1
125,villages,3
126,hamlets,1
127,most,1
128,common,1
129,cluster,3
130,each,1
131,which,2
132,contained,1
133,hundreds,1
134,baseball,2
135,size,2
136,bomblets,2
137,designed,1
138,explode,2
139,ground,2
140,level,1
141,releasing,1
142,metal,2
143,fragments,1
144,maim,1
145,kill,2
146,but,10
147,many,1
148,failed,2
149,release,1
150,contents,1
151,or,3
152,cases,1
153,detonate,1
154,continues,1
155,loss,1
156,arms,1
157,legs,1
158,eyesight,1
159,fortunate,1
160,ones,1
161,have,4
162,lost,1
163,family,1
164,breadwinners,1
165,children,4
166,find,1
167,objects,1
168,unwittingly,1
169,toss,1
170,toys,1
171,another,1
172,games,1
173,catch,1
174,until,1
175,they,2
176,killed,1
177,end,2
178,maimed,1
179,by,6
180,’s,4
181,not,6
182,only,4
183,even,1
184,worst,1
185,legacy,1
186,families,2
187,face,1
188,seeking,1
189,defoliate,1
190,entire,2
191,forests,2
192,expose,1
193,enemy,1
194,forces,1
195,spotter,1
196,americans,2
197,gallons,1
198,herbicide,1
199,south,1
200,there,1
201,several,1
202,defoliants,5
203,used,3
204,best,1
205,known,2
206,agent,4
207,orange,4
208,spraying,4
209,missions,2
210,drenched,1
211,an,2
212,estimated,1
213,advertisement,1
214,dried,1
215,up,4
216,died,1
217,typically,1
218,within,1
219,weeks,1
220,be,3
221,before,1
222,scientists,1
223,established,1
224,active,1
225,ingredients,1
226,group,1
227,compounds,1
228,called,1
229,dioxin,3
230,is,7
231,deadliest,1
232,substances,1
233,humankind,1
234,just,1
235,grams,1
236,if,1
237,evenly,1
238,distributed,1
239,could,1
240,wipe,1
241,out,1
242,city,1
243,people,3
244,illnesses,1
245,deaths,1
246,exposure,3
247,initial,1
248,outcomes,1
249,affects,1
250,exposed,2
251,also,4
252,altering,1
253,dna,1
254,large,1
255,babies,1
256,continue,1
257,born,1
258,with,2
259,grotesque,1
260,deformities,1
261,misshapen,1
262,heads,1
263,bulging,1
264,tumors,1
265,underdeveloped,1
266,brains,1
267,nonfunctioning,1
268,limbs,1
269,this,2
270,weekly,1
271,newsletter,4
272,includes,1
273,eyewitness,1
274,accounts,1
275,rare,1
276,photos,1
277,historical,2
278,insights,1
279,about,1
280,please,2
281,verify,1
282,you,2
283,re,2
284,robot,1
285,clicking,1
286,box,1
287,invalid,1
288,email,1
289,address,1
290,enter,1
291,must,1
292,select,1
293,subscribe,2
294,view,1
295,new,3
296,york,2
297,newsletters,1
298,deadly,3
299,rained,1
300,down,1
301,troops,4
302,researchers,1
303,led,1
304,jeanne,1
305,stellman,1
306,columbia,1
307,examined,1
308,military,1
309,records,1
310,flight,2
311,paths,2
312,comparing,1
313,those,2
314,position,1
315,nearby,1
316,revealed,1
317,direct,2
318,association,1
319,between,1
320,later,2
321,health,1
322,problems,1
323,these,1
324,findings,1
325,published,1
326,put,1
327,longtime,1
328,denial,1
329,government,1
330,harm,1
331,department,1
332,veterans,1
333,affairs,1
334,now,2
335,assumes,1
336,blanket,1
337,policy,1
338,who,1
339,served,2
340,provides,1
341,medical,1
342,coverage,1
343,compensation,1
344,united,6
345,states,6
346,has,3
347,never,1
348,acknowledged,1
349,poisoned,1
350,millions,1
351,civilians,2
352,same,1
353,way,1
354,combat,1
355,deployments,1
356,ended,1
357,personnel,1
358,removed,1
359,explosive,1
360,dangerous,1
361,chemicals,1
362,remained,1
363,polluted,1
364,soil,1
365,waterways,1
366,left,3
367,untouched,1
368,innocent,1
369,human,1
370,guinea,1
371,pigs,1
372,test,1
373,long,1
374,term,1
375,results,2
376,indiscriminate,1
377,use,1
378,against,2
379,populations,1
380,prohibited,1
381,under,2
382,dating,1
383,back,1
384,hague,1
385,geneva,1
386,conventions,2
387,late,1
388,19th,1
389,early,1
390,20th,1
391,centuries,1
392,decade,1
393,acted,1
394,contravention,1
395,agreements,1
396,pledged,1
397,uphold,1
398,time,1
399,numerous,1
400,additional,1
401,treaties,1
402,come,1
403,force,1
404,prohibit,1
405,types,1
406,require,1
407,cleanup,3
408,after,2
409,hostilities,1
410,cease,1
411,however,1
412,done,1
413,very,1
414,little,1
415,fulfill,1
416,such,2
417,obligations,2
418,leaving,1
419,largely,1
420,suffer,1
421,clean,2
422,what,2
423,can,1
424,suggested,1
425,because,1
426,much,1
427,relevant,1
428,requiring,1
429,came,1
430,effect,1
431,country,1
432,absolved,1
433,assertion,1
434,hangs,1
435,thin,1
436,thread,1
437,injure,1
438,today,2
439,responsibility,1
440,therefore,1
441,applicable,1
442,something,1
443,dismissed,1
444,wink,1
445,father,1
446,generation,2
447,continuing,1
448,impact,1
449,no,1
450,longer,1
451,theirs,1
452,alone,1
453,bear,1
454,contrary,1
455,widely,1
456,accepted,1
457,standards,1
458,skirted,1
459,its,1
460,responsibilities,1
461,behind,1
462,working,1
463,enforce,1
464,assist,1
465,addressing,1
466,mess,1
467,remains,1
468,burden,1
469,resting,1
470,shoulders,1
471,ariel,1
472,garfinkel,1
473,author,1
474,scofflaw,1
475,follow,1
476,opinion,2
477,section,1
478,facebook,1
479,twitter,1
480,nytopinion,1
481,sign,1
