,term,count
0,pope,1
1,francis,1
2,opened,1
3,the,47
4,holiest,1
5,week,1
6,of,34
7,christian,1
8,calendar,1
9,with,7
10,an,3
11,admonition,1
12,to,25
13,generation,2
14,that,12
15,will,3
16,own,1
17,21st,1
18,century,2
19,dear,1
20,young,5
21,people,5
22,you,7
23,have,5
24,it,15
25,in,15
26,shout,1
27,he,2
28,said,5
29,his,5
30,homily,1
31,is,9
32,up,5
33,not,9
34,keep,1
35,quiet,1
36,other,2
37,voices,1
38,were,2
39,more,1
40,censorious,1
41,on,6
42,fox,3
43,friends,1
44,which,2
45,provides,1
46,president,2
47,trump,4
48,steady,1
49,ration,1
50,half,2
51,truths,1
52,and,17
53,hatreds,1
54,fill,1
55,empty,2
56,head,1
57,schedule,1
58,a,30
59,co,1
60,host,1
61,had,1
62,some,1
63,advice,1
64,for,6
65,younger,1
66,citizens,2
67,just,2
68,now,2
69,learning,2
70,how,3
71,use,2
72,wings,1
73,democracy,4
74,these,3
75,olds,1
76,should,3
77,go,1
78,back,1
79,civics,3
80,class,2
81,pete,1
82,hegseth,1
83,scowling,1
84,at,9
85,march,2
86,our,1
87,lives,1
88,demonstrators,1
89,actually,1
90,has,5
91,come,4
92,them,4
93,form,1
94,hail,1
95,bullets,1
96,from,4
97,weapon,1
98,war,1
99,legal,1
100,because,2
101,broken,1
102,political,2
103,system,2
104,they,9
105,’ve,1
106,been,3
107,forced,1
108,by,3
109,triage,1
110,learn,2
111,tools,1
112,largely,2
113,denied,1
114,passive,1
115,educators,1
116,’s,11
117,no,2
118,secret,1
119,rush,1
120,produce,1
121,adults,2
122,who,5
123,are,7
124,adept,1
125,applying,1
126,science,1
127,technology,1
128,modern,1
129,life,2
130,we,5
131,left,1
132,ill,1
133,trained,1
134,basic,1
135,duties,1
136,citizenship,1
137,nearly,1
138,third,1
139,americans,2
140,can,2
141,name,1
142,single,2
143,branch,1
144,government,2
145,almost,1
146,percent,2
147,unable,1
148,cite,1
149,right,1
150,guaranteed,1
151,first,2
152,amendment,1
153,but,4
154,kids,3
155,doofuses,1
156,there,1
157,big,1
158,difference,1
159,between,1
160,being,2
161,ignorant,1
162,stupid,1
163,sonia,1
164,sotomayor,2
165,associate,1
166,justice,1
167,supreme,1
168,court,1
169,she,3
170,touring,1
171,country,1
172,states,3
173,so,3
174,far,1
175,promoting,1
176,civic,2
177,competence,1
178,among,2
179,virtue,1
180,used,1
181,be,4
182,bedrock,1
183,part,1
184,american,1
185,education,1
186,one,1
187,born,1
188,citizen,1
189,during,2
190,stopover,1
191,seattle,2
192,taught,1
193,what,3
194,means,1
195,teaching,2
196,age,1
197,since,2
198,columbine,1
199,massacre,1
200,students,1
201,experienced,1
202,shooting,2
203,campus,1
204,school,4
205,then,3
206,do,4
207,yourself,1
208,only,1
209,handful,1
210,require,1
211,proficiency,1
212,as,3
213,condition,1
214,graduation,1
215,educational,1
216,its,2
217,fear,1
218,confrontational,1
219,topics,1
220,corporate,1
221,driven,1
222,emphasis,1
223,stem,1
224,failed,1
225,great,1
226,surprises,1
227,era,1
228,renaissance,1
229,engagement,1
230,level,1
231,urgency,1
232,seen,1
233,reaction,1
234,severe,1
235,stress,3
236,both,1
237,cause,1
238,leading,2
239,symptom,1
240,awakening,1
241,started,1
242,revulsion,1
243,women,1
244,credibly,1
245,accused,1
246,sleeping,1
247,porn,1
248,stars,1
249,while,1
250,wife,1
251,nursed,1
252,their,2
253,newborn,1
254,child,1
255,bragged,1
256,sexual,1
257,assault,1
258,daily,1
259,slights,1
260,truth,1
261,dignity,1
262,values,1
263,mothers,1
264,teach,2
265,children,1
266,turn,1
267,critical,2
268,thinking,1
269,arrived,1
270,time,1
271,’re,1
272,afraid,1
273,trolls,1
274,grew,1
275,snark,1
276,screen,1
277,after,1
278,laura,1
279,ingraham,1
280,taunted,1
281,parkland,1
282,survivor,1
283,getting,2
284,into,1
285,college,1
286,choice,1
287,student,1
288,immediately,1
289,tweeted,1
290,out,4
291,list,1
292,her,2
293,advertisers,1
294,when,2
295,threatened,1
296,bail,1
297,apologized,1
298,self,1
299,righteous,1
300,screaming,1
301,television,1
302,over,1
303,weekend,1
304,n’t,5
305,helping,2
306,all,4
307,tucker,1
308,carlson,1
309,another,2
310,scold,1
311,knows,1
312,side,1
313,vote,3
314,was,1
315,slogan,1
316,demonstrations,1
317,problem,1
318,least,2
319,active,1
320,voters,1
321,developed,1
322,countries,1
323,consequence,1
324,i,1
325,would,1
326,argue,1
327,manual,1
328,likely,1
329,mess,1
330,lot,1
331,told,1
332,high,2
333,audience,1
334,answers,1
335,need,1
336,fresher,1
337,better,1
338,ideas,1
339,today,1
340,wonder,1
341,why,1
342,even,1
343,most,1
344,obvious,2
345,legislation,1
346,universal,1
347,background,1
348,checks,1
349,gun,1
350,purchases,1
351,ca,1
352,pass,1
353,congress,1
354,despite,1
355,support,1
356,public,1
357,quickly,1
358,lobby,1
359,owns,1
360,politicians,1
361,solution,1
362,jaded,1
363,minds,1
364,often,1
365,forget,1
366,bums,1
367,complicated,1
368,again,1
369,diy,1
370,thing,1
371,let,1
372,tell,1
373,fake,1
374,news,2
375,real,2
376,this,1
377,italy,1
378,many,1
379,universities,1
380,united,1
381,taken,1
382,well,1
383,like,2
384,road,1
385,signs,1
386,before,2
387,get,1
388,driver,1
389,license,1
390,courses,1
391,everyone,1
392,takes,1
393,democracies,1
394,die,1
395,feel,2
396,powerless,2
397,biggest,1
398,test,1
399,if,1
400,fires,1
401,special,1
402,counsel,1
403,robert,1
404,mueller,1
405,new,1
406,process,1
407,see,1
408,constitutional,1
409,crisis,1
410,looks,1
411,thanks,1
412,recent,1
413,lessons,1
414,’ll,1
415,recognize,1
416,wo,1
417,something,1
418,about,1
