,term,count
0,when,10
1,i,32
2,was,12
3,the,50
4,night,1
5,before,3
6,we,7
7,left,3
8,yugoslavia,1
9,and,29
10,a,30
11,few,2
12,years,1
13,that,11
14,country,1
15,embarked,1
16,on,12
17,balkan,1
18,wars,1
19,eventually,1
20,dissolved,1
21,my,19
22,mother,5
23,put,1
24,me,8
25,to,15
26,bed,1
27,starting,1
28,hour,1
29,of,33
30,lullabies,1
31,demanded,1
32,out,5
33,nowhere,1
34,she,3
35,said,3
36,smells,7
37,your,1
38,childhood,5
39,will,9
40,always,2
41,stay,1
42,with,10
43,you,7
44,make,3
45,remember,4
46,home,9
47,but,3
48,what,3
49,if,3
50,were,2
51,born,4
52,in,15
53,garbage,4
54,bin,3
55,then,3
56,smell,4
57,remind,3
58,her,1
59,eyes,1
60,filled,1
61,tears,1
62,making,1
63,incorrectly,1
64,assume,2
65,’d,3
66,been,2
67,herself,1
68,getting,1
69,emotional,1
70,about,4
71,it,9
72,though,1
73,did,3
74,n’t,5
75,think,2
76,much,1
77,at,6
78,time,5
79,right,1
80,is,8
81,well,2
82,documented,1
83,our,7
84,senses,2
85,can,1
86,cause,1
87,an,3
88,involuntary,1
89,flooding,1
90,memory,1
91,some,1
92,call,1
93,proust,1
94,phenomenon,1
95,after,1
96,scene,1
97,search,1
98,lost,2
99,character,1
100,’s,8
101,comes,1
102,back,5
103,him,6
104,simply,1
105,from,6
106,tasting,1
107,madeleine,1
108,biscuit,1
109,soaked,1
110,tea,1
111,belgrade,3
112,smelled,2
113,like,5
114,marlboro,1
115,cigarettes,1
116,smoked,1
117,even,1
118,while,2
119,utero,1
120,’80s,1
121,perfume,1
122,aunt,1
123,wore,1
124,chestnuts,1
125,roasting,1
126,winter,1
127,which,3
128,sellers,1
129,scooped,1
130,into,1
131,paper,1
132,cone,1
133,ate,1
134,way,1
135,grandma,1
136,place,2
137,those,2
138,as,5
139,being,1
140,special,1
141,because,2
142,had,4
143,never,1
144,not,5
145,them,7
146,yet,1
147,moved,2
148,australia,2
149,its,4
150,clean,1
151,air,1
152,eucalyptus,1
153,trees,1
154,suburban,1
155,lawns,1
156,where,4
157,southern,1
158,cross,1
159,constellation,1
160,hung,1
161,above,1
162,us,1
