,term,count
0,after,2
1,a,28
2,year,1
3,of,32
4,almost,1
5,weekly,1
6,revelations,1
7,about,1
8,robert,1
9,mueller,11
10,’s,29
11,investigation,6
12,trump,8
13,campaign,5
14,even,2
15,indictments,1
16,and,25
17,guilty,1
18,pleas,1
19,officials,2
20,have,4
21,grown,1
22,familiar,1
23,it,16
24,not,8
25,that,32
26,the,59
27,special,2
28,counsel,2
29,mr,28
30,is,13
31,crying,1
32,wolf,1
33,we,2
34,’ve,2
35,gotten,1
36,used,2
37,to,32
38,real,1
39,wolves,2
40,only,1
41,truly,1
42,startling,1
43,developments,1
44,engage,1
45,lot,1
46,us,2
47,fbi,1
48,search,11
49,office,10
50,home,3
51,hotel,3
52,room,3
53,attorney,11
54,michael,1
55,cohen,16
56,such,2
57,development,1
58,historic,1
59,in,13
60,lofty,1
61,context,1
62,president,5
63,this,9
64,what,4
65,know,1
66,part,2
67,from,8
68,united,5
69,states,5
70,manhattan,1
71,acting,1
72,on,1
73,referral,2
74,sought,2
75,obtained,1
76,warrants,1
77,for,14
78,law,5
79,seeking,1
80,evidence,7
81,related,1
82,at,2
83,least,2
84,his,5
85,payment,3
86,hush,1
87,money,3
88,adult,1
89,actress,1
90,stephanie,1
91,clifford,1
92,who,1
93,goes,1
94,by,5
95,her,2
96,stage,1
97,name,1
98,stormy,3
99,daniels,6
100,there,4
101,are,4
102,reports,1
103,warrant,6
104,bank,1
105,fraud,5
106,finance,1
107,violations,1
108,which,2
109,consistent,1
110,with,5
111,an,2
112,into,3
113,allegations,1
114,was,3
115,illegally,1
116,sourced,1
117,or,8
118,disguised,1
119,example,1
120,routing,1
121,through,1
122,shell,1
123,company,1
124,hide,1
125,fact,1
126,came,1
127,if,4
128,happened,1
129,would,2
130,probably,1
131,violate,1
132,federal,6
133,laundering,1
134,laws,1
135,does,1
136,tell,1
137,first,3
138,reflects,1
139,numerous,1
140,just,3
141,concluded,2
142,probable,2
143,cause,2
144,believe,3
145,contained,1
146,crime,4
147,lawyer,7
148,implicates,1
149,client,5
150,privilege,3
151,core,1
152,constitutional,1
153,rights,1
154,so,5
155,department,5
156,justice,5
157,requires,1
158,unusual,3
159,levels,1
160,approval,4
161,seek,3
162,prosecutors,11
163,must,3
164,district,2
165,case,1
166,geoffrey,1
167,berman,1
168,interim,1
169,appointed,1
170,also,2
171,consult,1
172,criminal,3
173,division,2
174,washington,1
175,finally,2
176,convince,2
177,magistrate,1
178,judge,4
179,support,1
180,faced,1
181,application,1
182,destined,1
183,immediate,1
184,worldwide,1
185,publicity,1
186,surely,1
187,took,1
188,pains,1
189,examine,1
190,result,1
191,staff,1
192,going,2
193,rogue,1
194,second,1
195,demonstrates,1
196,supervisors,1
197,could,3
198,be,5
199,trusted,2
200,preserve,1
201,turn,1
202,over,1
203,documents,2
204,voluntarily,1
205,same,1
206,regulations,2
207,require,2
208,high,1
209,level,1
210,instruct,1
211,them,1
212,use,2
213,intrusive,1
214,means,2
215,obtain,1
216,consider,2
217,requesting,1
218,voluntary,1
219,cooperation,1
220,serving,1
221,subpoena,2
222,has,2
223,loudly,1
224,protested,1
225,he,3
226,had,1
227,been,1
228,cooperating,1
229,including,1
