,term,count
0,scientists,2
1,in,25
2,tyvek,1
3,suits,1
4,and,13
5,rubber,1
6,boots,1
7,carried,2
8,an,7
9,aluminum,1
10,fishing,1
11,boat,3
12,toward,1
13,opening,1
14,a,27
15,granite,1
16,rock,1
17,face,1
18,northern,1
19,georgia,5
20,mist,1
21,cascaded,1
22,from,5
23,surrounding,1
24,mountains,1
25,curling,1
26,over,2
27,swollen,1
28,streams,1
29,obscuring,1
30,signs,1
31,for,8
32,turnoffs,1
33,like,3
34,warwoman,1
35,road,1
36,this,7
37,was,9
38,deliverance,1
39,country,2
40,the,61
41,film,1
42,shot,1
43,nearby,1
44,along,2
45,with,4
46,half,1
47,dozen,1
48,researchers,4
49,i,3
50,stood,1
51,rain,1
52,on,4
53,last,4
54,day,1
55,of,18
56,unusually,1
57,warm,1
58,february,1
59,as,4
60,white,4
61,clad,1
62,figures,1
63,entered,1
64,black,5
65,diamond,4
66,tunnel,9
67,segment,1
68,never,1
69,completed,1
70,railway,1
71,begun,1
72,1850s,1
73,that,11
74,is,7
75,now,2
76,partly,1
77,flooded,1
78,they,4
79,set,2
80,beside,1
81,makeshift,1
82,landing,1
83,climbed,1
84,aboard,1
85,switched,1
86,helmet,1
87,lamps,1
88,off,1
89,down,2
90,river,1
91,christopher,1
92,cornelison,4
93,research,1
94,assistant,1
95,professor,1
96,principal,1
97,investigator,1
98,at,8
99,bioinnovation,1
100,laboratory,1
101,kennesaw,1
102,state,3
103,university,1
104,watched,1
105,his,1
106,colleagues,1
107,recede,1
108,into,4
109,stygian,1
110,blackness,1
111,year,5
112,sprayed,2
113,antifungal,2
114,agent,3
115,to,20
116,see,2
117,if,4
118,it,10
119,would,2
120,protect,1
121,bats,9
122,live,1
123,there,2
124,against,2
125,pathogen,4
126,has,4
127,decimated,1
128,bat,5
129,populations,1
130,across,2
131,were,3
132,back,2
133,results,3
134,’s,5
135,taken,1
136,me,3
137,years,3
138,get,1
139,point,1
140,he,2
141,said,2
142,ago,2
143,nose,3
144,syndrome,4
145,first,2
146,detected,1
147,cave,3
148,schoharie,1
149,county,1
150,upstate,1
151,new,2
152,york,2
153,since,2
154,then,1
155,cause,1
156,fungal,1
157,pseudogymnoascus,1
158,destructans,2
159,spread,3
160,least,1
161,states,3
162,canadian,1
163,provinces,1
164,striking,1
165,hibernating,1
166,more,2
167,than,2
168,are,6
169,thought,1
170,have,7
171,died,1
172,some,1
173,infected,2
174,colonies,1
175,experienced,1
176,mortality,1
177,rate,1
178,percent,1
179,p,1
180,several,2
181,pathogens,1
182,invaded,1
183,united,2
184,one,2
185,having,1
186,arrived,1
187,europe,3
188,how,1
189,got,1
190,here,1
191,unclear,1
192,although,1
193,theory,1
194,unwittingly,1
195,cavern,1
196,by,7
197,someone,1
198,who,1
199,had,3
200,come,1
201,contact,1
202,what,4
203,clear,1
204,economic,1
205,implications,1
206,eat,1
207,insects,1
208,damage,1
209,crops,1
210,saving,1
211,farmers,1
212,billions,1
213,dollars,1
214,every,1
215,pest,1
216,control,1
217,according,1
218,geological,1
219,survey,1
220,disease,3
221,continues,1
222,confirmed,1
223,washington,1
224,we,6
225,height,1
226,informally,1
227,call,1
228,season,1
229,when,3
230,teams,1
231,head,1
232,underground,1
233,national,3
234,response,1
235,coordinated,1
236,federal,4
237,fish,1
238,wildlife,1
239,service,1
240,counting,1
241,collecting,1
242,these,1
243,sometimes,1
244,enlist,1
245,recreational,1
246,cavers,1
247,speleological,2
248,society,2
249,time,1
250,government,3
251,seems,1
252,under,1
253,unrelenting,1
254,attack,1
255,agencies,1
256,private,1
257,conservation,1
258,organizations,1
259,universities,1
260,been,4
261,working,1
262,together,1
263,stop,1
264,killer,1
265,recent,1
266,study,1
267,found,1
268,fungus,1
269,caused,1
270,can,1
271,be,5
272,killed,1
273,ultraviolent,1
274,light,1
275,efforts,3
276,also,1
277,underway,1
278,develop,1
279,vaccine,1
280,testing,2
281,called,1
282,b23,5
283,derived,1
284,unlikely,1
285,source,1
286,stem,1
287,tissues,1
288,wild,2
289,pineapples,1
290,growing,1
291,bolivian,1
292,amazon,1
293,basin,1
294,commercial,1
295,mosquito,1
296,fogger,1
297,bolted,1
298,remote,1
299,controlled,1
300,christened,1
301,batilda,1
302,dr,3
303,team,2
304,applications,1
305,during,1
306,previous,1
307,because,1
308,man,1
309,made,1
310,contained,1
311,few,2
312,other,2
313,species,1
314,perfect,1
315,ground,1
316,tricolored,1
317,population,1
318,numbered,1
319,but,2
320,count,3
321,numbers,1
322,too,1
323,low,1
324,today,1
325,may,2
326,abandon,1
327,project,1
328,pete,1
329,pattavina,2
330,biologist,1
331,told,1
332,drove,1
333,site,1
334,hard,1
335,justify,1
336,continued,1
337,expense,1
338,only,2
339,survivors,2
340,not,2
341,everyone,1
342,thinks,2
343,worthwhile,1
344,dismayed,1
345,closing,1
346,caves,2
347,land,1
348,sees,1
349,misguided,1
350,effort,1
351,prevent,1
352,war,1
353,lost,1
354,putting,1
355,greater,1
356,risk,1
357,any,1
358,event,1
359,going,1
360,run,1
361,its,2
362,course,1
363,happened,1
364,where,1
365,appear,1
366,developed,1
367,resistance,1
368,do,2
369,n’t,2
370,agree,1
371,while,1
372,targeted,1
373,cures,1
374,being,1
375,tested,1
376,likely,1
377,impractical,1
378,most,1
379,could,3
380,potentially,1
381,slow,1
382,leading,1
383,edges,1
384,kelly,1
385,lutsch,1
386,graduate,1
387,student,1
388,surveying,1
389,concrete,1
390,culverts,3
391,interstates,1
392,through,1
393,coastal,1
394,plains,1
395,she,1
396,believes,1
397,using,1
398,carrying,1
399,south,1
400,rich,1
401,zones,1
402,near,2
403,florida,2
404,panhandle,1
405,so,1
406,spraying,2
407,might,1
408,warranted,1
409,border,1
410,hosts,1
411,robust,1
412,colony,1
413,southeastern,1
414,myotis,1
415,encouraging,1
416,after,1
417,hour,1
418,slowly,1
419,paddled,1
420,share,1
421,up,1
422,cautioned,1
423,interpreting,1
424,success,1
425,factors,1
426,affect,1
427,still,1
428,declared,1
429,himself,1
430,ecstatic,1
431,number,1
432,higher,1
433,lower,1
434,plans,1
435,test,1
436,again,1
437,think,1
438,will,1
439,ever,1
440,know,1
441,full,1
442,ecological,1
443,effect,1
444,mr,1
445,realize,1
446,value,1
447,biodiversity,1
448,catastrophe,2
449,happens,1
450,moment,1
451,tiny,1
452,group,1
453,glimmer,1
454,hope,1
455,amid,1
