,term,count
0,president,9
1,trump,17
2,has,3
3,a,14
4,big,1
5,constitutional,2
6,decision,3
7,to,37
8,make,4
9,regarding,1
10,the,65
11,attack,1
12,launched,2
13,on,8
14,friday,2
15,by,10
16,united,3
17,states,3
18,british,1
19,and,14
20,french,1
21,forces,2
22,against,6
23,syria,6
24,for,5
25,its,7
26,use,3
27,of,29
28,chemical,3
29,weapons,1
30,he,13
31,should,6
32,it,8
33,this,11
34,week,3
35,when,1
36,his,20
37,first,3
38,retaliatory,1
39,strike,1
40,year,2
41,ago,1
42,almost,1
43,immediately,1
44,informed,1
45,congress,11
46,explaining,1
47,that,13
48,was,7
49,acting,1
50,in,19
51,manner,1
52,consistent,1
53,with,3
54,war,16
55,powers,10
56,resolution,13
57,passed,1
58,over,3
59,richard,1
60,nixon,1
61,’s,12
62,veto,1
63,imposes,1
64,strict,1
65,limits,1
66,unilateral,2
67,presidential,3
68,making,5
69,places,1
70,burden,1
71,squarely,1
72,gain,1
73,congressional,1
74,approval,1
75,bomb,1
76,within,5
77,days,4
78,if,9
79,fails,3
80,must,1
81,cease,1
82,military,7
83,campaign,5
84,next,1
85,moreover,1
86,requires,2
87,notify,2
88,both,1
89,houses,1
90,hours,3
91,initiation,1
92,hostilities,2
93,although,1
94,presidents,1
95,have,3
96,taken,1
97,liberties,1
98,meeting,1
99,deadline,1
100,took,1
101,barack,1
102,obama,1
103,before,1
104,formally,1
105,informing,1
106,after,4
107,announced,1
108,open,1
109,ended,1
110,islamic,2
111,state,1
112,sept,1
113,contrast,1
114,letter,2
115,arrived,1
116,house,4
117,senate,3
118,initial,1
119,bombing,2
120,raid,1
121,april,1
122,would,1
123,be,7
124,bit,1
125,much,2
126,insist,1
127,already,1
128,sent,1
129,new,2
130,notification,1
131,speech,2
132,night,1
133,since,2
134,out,1
135,session,2
136,weekend,1
137,but,4
138,is,8
139,repeat,1
140,exemplary,1
141,performance,1
142,arrive,1
143,while,3
144,can,1
145,prepare,1
146,consider,2
147,responsibilities,1
148,under,4
149,syrian,3
150,assault,1
151,administration,3
152,shot,1
153,affair,1
154,so,2
155,timetable,1
156,did,1
157,n’t,1
158,apply,1
