,term,count
0,beyoncé,19
1,is,15
2,at,7
3,the,45
4,pinnacle,1
5,of,23
6,her,17
7,career,2
8,coachella,5
9,festival,1
10,in,20
11,southern,1
12,california,1
13,desert,2
14,on,5
15,saturday,1
16,she,21
17,showed,1
18,that,25
19,there,1
20,’s,12
21,nothing,1
22,this,7
23,mother,2
24,ca,1
25,n’t,5
26,do,4
27,but,6
28,did,1
29,just,1
30,kill,1
31,performance,5
32,also,5
33,rewrote,1
34,book,1
35,black,33
36,respectability,5
37,politics,3
38,could,3
39,have,16
40,decided,2
41,to,33
42,play,1
43,majority,1
44,white,6
45,audience,6
46,with,4
47,a,22
48,show,4
49,made,2
50,it,9
51,easier,2
52,forget,1
53,cultural,2
54,differences,1
55,or,4
56,be,9
57,herself,4
58,chose,1
59,latter,1
60,putting,1
61,celebrated,1
62,diversity,1
63,people,16
64,conveyed,1
65,no,1
66,matter,1
67,how,4
68,much,3
69,fame,1
70,money,1
71,has,3
72,will,1
73,refuse,2
74,divorce,1
75,from,4
76,culture,8
77,even,1
78,parts,2
79,are,7
80,underappreciated,1
81,disrespected,2
82,misunderstood,1
83,by,5
84,was,6
85,performing,1
86,music,3
87,saying,2
88,policing,1
89,behavior,1
90,and,34
91,appearance,1
92,better,1
93,appeal,1
94,an,4
95,oppression,1
96,we,10
97,need,3
98,our,4
99,lives,1
100,musicians,1
101,particular,1
102,long,1
103,been,7
104,told,3
105,they,3
106,should,5
107,look,1
108,perform,3
109,sustain,1
110,their,2
111,success,2
112,marketable,1
113,larger,1
114,often,3
115,meant,1
116,artists,1
117,distanced,1
118,themselves,1
119,things,2
120,associated,1
121,especially,5
122,might,4
123,coded,1
124,as,9
125,not,9
126,respectable,2
127,receive,1
128,day,1
129,biggest,1
130,conversations,1
131,right,1
132,your,1
133,inbox,1
134,subscribing,1
135,opinion,1
136,today,1
137,newsletter,1
138,whitney,1
139,houston,1
140,famously,1
141,struggled,1
142,under,2
143,weight,1
144,urging,1
145,mentor,1
146,clive,2
147,davis,2
148,others,2
149,wore,1
150,glamorous,3
151,clothes,1
152,sang,2
153,pop,1
154,driven,1
155,songs,4
156,instead,3
157,rb,1
158,obeyed,1
159,other,1
160,unwritten,1
161,social,1
162,norms,1
163,circumscribed,1
164,live,1
165,life,3
166,express,1
167,michael,2
168,jackson,2
169,oprah,1
170,winfrey,1
171,president,1
172,barack,1
173,obama,1
174,all,3
175,accused,1
176,staying,1
177,aloof,1
178,gain,2
179,more,6
180,power,4
181,relatable,1
182,wider,1
183,whiter,1
184,common,1
185,belief,1
186,among,1
187,successful,1
188,become,1
189,keep,1
190,away,1
191,when,3
192,looking,1
193,work,1
194,tina,2
195,lawson,2
196,echoed,1
197,sentiment,1
198,before,2
199,daughter,2
200,i,5
201,afraid,1
202,predominately,1
203,would,7
204,confused,1
205,college,3
206,because,1
207,something,3
208,get,2
209,wrote,1
210,instagram,1
211,assuaged,1
212,fears,1
213,worked,1
214,very,2
215,hard,1
216,point,2
217,where,3
218,true,2
219,voice,2
220,ms,1
221,recalls,1
222,my,2
223,responsibility,1
224,what,5
225,best,1
226,for,4
227,world,1
228,most,6
229,popular,1
230,sense,1
231,if,2
232,were,2
233,culturally,1
234,ambiguous,1
235,alienate,2
236,hired,1
237,entertain,1
238,however,1
239,mostly,1
240,lift,1
241,every,1
242,widely,1
243,regarded,1
244,national,1
245,anthem,2
246,song,1
247,melted,1
248,into,2
249,formation,1
250,own,1
251,pro,1
252,talks,1
253,about,2
254,loving,1
255,negro,1
256,noses,1
257,positions,1
258,bill,1
259,gates,1
260,amplified,1
261,malcolm,1
262,x,1
263,famous,1
264,words,1
265,women,1
266,woman,4
267,america,3
268,unprotected,1
269,person,4
270,neglected,1
271,centering,1
272,womanhood,1
273,taught,2
274,given,1
275,attention,1
276,reasonable,1
277,assume,1
278,entire,1
279,couture,1
280,number,1
281,like,4
282,nefertiti,1
283,inspired,1
284,costume,1
285,came,1
286,onstage,1
287,imagery,1
288,gaze,1
289,public,2
290,must,1
291,always,1
292,wear,2
293,formal,1
294,elegant,1
295,attire,1
296,millions,1
297,watching,1
298,online,1
299,reappeared,1
300,blue,1
301,distressed,1
302,denim,1
303,shorts,1
304,hoodie,1
305,advertising,1
306,fake,1
307,historically,3
308,does,2
309,preferred,1
310,style,2
311,gown,1
312,tailored,1
313,suit,1
314,captivate,1
315,imagination,1
316,shows,1
317,talent,1
318,discipline,1
319,enough,1
320,follows,1
321,tradition,1
322,performers,1
323,turner,1
324,unique,1
325,imagining,1
326,blackness,2
327,so,2
328,big,1
329,attending,1
330,than,1
331,niche,1
332,experience,1
333,coveted,1
334,only,1
335,students,1
336,alumni,1
337,thematically,1
338,paramount,1
339,worthy,1
340,enormous,1
341,stadium,1
342,you,1
343,think,1
344,promotion,1
345,colleges,1
346,intellectual,2
347,traditions,1
348,conflicted,1
349,sexually,2
350,charged,1
351,partition,1
352,drunk,1
353,love,1
354,’re,1
355,being,1
356,can,3
357,never,1
358,sexual,1
359,who,1
360,hypersexualized,1
361,media,1
362,daily,1
363,odd,1
364,edit,2
365,sexuality,1
366,fit,1
367,society,1
368,ideas,1
369,means,1
370,proud,1
371,smart,1
372,performed,1
373,sensuality,1
374,proudly,1
375,those,1
376,making,1
377,political,2
378,statement,2
379,both,1
380,intellectually,1
381,rigorous,1
382,expressive,1
383,know,1
384,sing,1
385,move,1
386,treats,1
387,stadiums,1
388,living,1
389,room,1
390,clear,1
391,whether,1
392,after,1
393,called,1
394,first,1
395,lady,1
396,adhere,1
397,stage,2
398,may,1
399,alienated,1
400,large,1
401,portion,1
402,route,1
403,ambiguity,1
404,excellence,2
405,found,1
406,risk,1
407,proved,1
408,artist,1
409,interested,1
410,follow,1
411,lead,1
412,shrink,1
413,negotiate,1
414,ourselves,1
415,make,1
416,comfortable,1
417,feel,1
418,upbringing,1
419,sake,1
420,appearing,1
421,course,1
422,until,1
423,appropriated,1
424,attempting,1
425,suggests,1
426,grows,1
427,intentionally,1
428,amplify,1
429,nurtured,1
430,us,1
431,anti,1
432,brought,1
433,transformed,1
