,term,count
0,it,6
1,’s,22
2,hard,1
3,to,20
4,argue,1
5,that,24
6,any,1
7,cabinet,1
8,member,1
9,or,1
10,nominee,1
11,tells,1
12,the,50
13,donald,1
14,trump,18
15,story,1
16,better,1
17,than,2
18,another,1
19,but,3
20,i,3
21,’m,1
22,tempted,1
23,say,2
24,exactly,1
25,about,4
26,ronny,1
27,jackson,18
28,president,8
29,hasty,1
30,irresponsible,1
31,and,24
32,scuttled,1
33,choice,1
34,lead,1
35,veterans,4
36,affairs,4
37,department,1
38,granted,1
39,does,4
40,n’t,6
41,embody,1
42,administration,2
43,venality,1
44,crown,1
45,for,11
46,goes,1
47,scott,1
48,pruitt,1
49,administrator,1
50,of,26
51,environmental,1
52,protection,1
53,agency,2
54,glitters,1
55,with,6
56,discounted,1
57,jewels,1
58,from,3
59,lobbyists,1
60,businesspeople,1
61,no,3
62,agenda,1
63,none,1
64,beyond,1
65,tribute,1
66,such,2
67,a,14
68,distinguished,1
69,public,2
70,servant,1
71,nor,1
72,who,3
73,has,4
74,been,1
75,serving,1
76,as,12
77,white,3
78,house,3
79,physician,1
80,spout,1
81,most,2
82,fantastical,1
83,gibberish,1
84,his,14
85,onetime,1
86,claim,1
87,constitution,1
88,is,3
89,superman,1
90,might,1
91,live,1
92,rise,1
93,level,2
94,education,1
95,secretary,3
96,betsy,1
97,devos,1
98,visions,1
99,schoolyard,1
100,grizzlies,1
101,because,4
102,did,5
103,concede,1
104,had,2
105,probably,1
106,squandered,1
107,longevity,1
108,too,2
109,many,3
110,fries,1
111,little,1
112,fiber,1
113,doomed,1
114,selection,1
115,tidily,1
116,reflects,1
117,distinctive,1
118,traits,1
119,disturbing,1
120,tropisms,1
121,indulgence,1
122,decisions,1
123,make,1
124,him,4
125,feel,1
126,good,1
127,in,10
128,instant,1
129,consequences,1
130,be,2
131,damned,1
132,contempt,1
133,convention,1
134,disregard,1
135,relevant,1
136,experience,2
137,above,1
138,all,6
139,itch,1
140,marinate,1
141,much,1
142,flattery,1
143,possible,1
144,remember,2
145,news,2
146,conference,1
147,last,4
148,january,1
149,when,7
150,applied,1
151,marinade,1
152,he,19
153,left,1
154,sopping,1
155,wet,1
156,was,5
157,relaying,1
158,results,1
159,recent,1
160,examination,1
161,process,1
162,made,2
163,clear,1
164,there,4
165,an,4
166,error,1
167,on,5
168,résumé,1
169,where,1
170,specialty,1
171,listed,1
172,emergency,1
173,medicine,1
174,should,3
175,extreme,1
176,sycophancy,1
177,times,1
178,trotted,1
179,out,2
180,excellent,2
181,describe,1
182,various,1
183,aspects,1
184,health,1
185,needed,1
186,breather,1
187,incredible,2
188,subbed,1
189,genes,1
190,just,4
191,way,1
192,god,1
193,volunteered,1
194,divining,1
195,clearer,1
196,evidence,1
197,divine,1
198,munificence,1
199,some,2
200,percent,1
201,american,1
202,we,1
203,have,1
204,recognized,1
205,obsequious,1
206,aria,1
207,what,1
208,audition,1
209,promotion,1
210,heard,1
211,siren,1
212,song,1
213,month,1
214,fired,1
215,david,1
216,shulkin,1
217,announced,1
218,intention,1
219,put,1
220,job,1
221,fell,1
222,spectacularly,1
223,apart,1
224,this,2
225,week,1
226,lawmakers,1
227,both,1
228,parties,1
229,sifted,1
230,through,1
231,array,1
232,charges,1
233,against,2
234,including,1
235,improper,1
236,dispensing,1
237,prescription,1
238,drugs,1
239,staff,1
240,drunken,1
241,behavior,1
242,while,1
243,traveling,1
244,withdrew,1
245,name,1
246,consideration,1
247,post,1
248,thursday,2
249,morning,2
250,statement,1
251,distributed,1
252,by,2
253,press,1
254,office,1
255,said,1
256,allegations,1
257,were,1
258,completely,1
259,false,1
260,fabricated,1
261,withdrawing,1
262,how,1
263,washington,2
264,works,1
265,phrase,1
266,echoed,1
267,placement,1
268,blame,1
269,troubles,1
270,partisan,1
271,ugliness,1
272,broken,1
273,ways,1
274,self,1
275,aggrandizing,1
276,version,1
277,events,1
278,always,1
279,aggrieved,1
280,victim,1
281,never,2
282,cavalier,1
283,mess,1
284,maker,1
285,anger,1
286,directed,1
287,at,1
288,those,1
289,lesser,1
290,mortals,1
291,do,1
292,appreciate,1
293,glory,1
294,telephone,1
295,call,1
296,ego,1
297,masseuses,1
298,show,1
299,fox,1
300,friends,1
301,noted,1
302,senate,1
303,democrats,1
304,speaking,1
305,jon,1
306,tester,1
307,represents,1
308,montana,1
309,state,2
310,won,1
311,over,1
312,points,1
313,they,3
314,love,2
315,me,1
316,them,1
317,added,1
318,revealing,1
319,vanity,1
320,driver,1
321,debacle,1
322,pick,1
323,’d,1
324,managed,1
325,anything,1
326,close,1
327,size,1
328,complexity,1
329,federal,1
330,employees,2
331,annual,1
332,budget,1
333,obviously,1
334,meaningful,1
335,vetting,1
336,take,1
337,stock,1
338,historically,1
339,furious,1
340,turnover,1
341,high,1
342,adopt,1
343,more,2
344,cautious,1
345,tack,1
346,if,2
347,likes,2
348,someone,2
349,point,1
350,full,1
351,steam,1
352,ahead,1
353,straight,1
354,into,1
355,iceberg,1
356,draining,1
357,swamp,1
358,disrupting,1
359,status,1
360,quo,1
361,then,1
362,being,1
363,lazy,1
364,perverse,1
365,characterizes,1
366,approach,1
367,government,1
368,somehow,1
369,convinced,1
370,himself,2
371,unconventional,1
372,cvs,1
373,are,3
374,bold,1
375,choices,1
376,often,1
377,’re,2
378,reckless,1
379,gambles,1
380,told,1
381,shallow,1
382,evaporating,1
383,pool,1
384,people,2
385,keen,1
386,work,1
387,fearless,1
388,visionaries,1
389,sometimes,1
390,feckless,1
391,vagabonds,1
392,expert,1
393,flatterer,1
394,comes,1
395,along,1
396,jelly,1
397,mind,1
398,you,1
399,merely,1
400,offer,1
401,general,1
402,praise,2
403,leader,1
404,offered,1
405,specific,1
406,physical,1
407,specimen,1
408,using,1
409,very,1
410,yardstick,1
411,vacuously,1
412,favors,1
413,toyed,1
414,mitt,1
415,romney,1
416,looked,1
417,part,1
418,hesitated,1
419,john,1
420,bolton,1
421,national,1
422,security,1
423,adviser,1
424,hedge,1
425,between,1
426,obscured,1
427,upper,1
428,lip,1
429,nose,1
430,derogative,1
431,nicknames,1
432,reportedly,1
433,assigns,1
434,appearance,1
435,based,1
436,mr,2
437,magoo,1
438,jeff,1
439,sessions,1
440,peepers,1
441,rod,1
442,rosenstein,1
443,so,1
444,dressed,1
445,uniform,1
446,navy,1
447,rear,1
448,admiral,1
449,cast,1
450,pulchritudinous,1
451,captain,1
452,america,1
453,validation,1
454,could,1
455,ever,2
456,want,1
457,motivation,1
458,would,1
459,need,1
460,lift,1
461,up,1
462,pity,1
463,watch,1
464,fawning,1
465,go,1
466,waste,1
467,column,1
468,updated,1
469,april,1
470,reflect,1
471,developments,1
