,term,count
0,on,8
1,thursday,2
2,a,27
3,historic,1
4,walkout,5
5,by,5
6,teachers,12
7,and,17
8,the,51
9,support,3
10,staff,1
11,closed,1
12,more,5
13,than,1
14,public,5
15,schools,3
16,in,21
17,arizona,10
18,state,2
19,became,1
20,latest,1
21,largest,2
22,to,27
23,be,1
24,swept,1
25,labor,2
26,insurgency,1
27,among,2
28,underpaid,1
29,educators,6
30,that,14
31,started,1
32,february,1
33,west,3
34,virginia,3
35,then,1
36,spread,2
37,oklahoma,1
38,kentucky,1
39,also,4
40,colorado,1
41,as,3
42,jason,1
43,riley,1
44,conservative,1
45,writer,1
46,noted,1
47,with,5
48,disapproval,1
49,wall,1
50,street,1
51,journal,1
52,it,11
53,is,7
54,n’t,7
55,just,2
56,college,1
57,campuses,1
58,nation,2
59,’s,13
60,k12,1
61,are,9
62,turning,1
63,into,2
64,hotbeds,1
65,of,21
66,political,2
67,activism,2
68,wildfire,1
69,teachers’,7
70,movement,4
71,parts,1
72,country,4
73,singularly,1
74,hostile,1
75,organized,1
76,surprising,1
77,exciting,1
78,developments,1
79,this,5
80,otherwise,1
81,bleak,1
82,moment,1
83,conservatives,2
84,right,1
85,worry,1
86,we,8
87,’re,1
88,seeing,1
89,citizens’,1
90,revolt,1
91,against,1
92,their,6
93,policies,1
94,there,1
95,several,1
96,interrelated,1
97,factors,1
98,behind,2
99,explosive,1
100,growth,1
101,most,2
102,significant,1
103,course,1
104,some,4
105,red,2
106,states,4
107,feel,2
108,backed,1
109,corner,1
110,after,1
111,decade,1
112,or,3
113,disinvestment,1
114,republican,1
115,governments,1
116,because,2
117,series,1
118,tax,1
119,cuts,1
120,particularly,1
121,over,3
122,last,1
123,years,1
124,worst,1
125,paid,1
126,they,4
127,have,14
128,class,2
129,sizes,1
130,up,2
131,students,2
132,single,1
133,teacher,7
134,according,1
135,joe,1
136,thomas,1
137,president,1
138,education,3
139,association,1
140,union,2
141,week,2
142,i,8
143,visited,1
144,k8,1
145,school,7
146,scrublands,1
147,south,1
148,phoenix,2
149,flat,1
150,dusty,1
151,wide,1
152,open,1
153,area,1
154,only,2
155,drive,1
156,from,4
157,downtown,1
158,but,8
159,feels,1
160,much,2
161,farther,1
162,principal,1
163,asked,1
164,me,7
165,not,5
166,identify,1
167,him,2
168,for,9
169,fear,2
170,his,2
171,would,1
172,suffer,1
173,administrative,1
174,reprisals,1
175,letting,1
176,journalist,1
177,science,1
178,told,6
179,her,3
180,classes,1
181,each,1
182,aside,1
183,desks,1
184,she,6
185,’d,1
186,either,1
187,bought,1
188,what,3
189,was,2
190,classroom,1
191,had,6
192,donated,1
193,books,1
194,chairs,1
195,even,1
196,water,1
197,dispenser,1
198,which,2
199,needed,1
200,during,1
201,months,1
202,when,3
203,drinking,1
204,fountains,1
205,were,2
206,broken,1
207,used,1
208,second,1
209,job,2
210,waiting,1
211,tables,1
212,quit,1
213,kids,2
214,loves,1
215,get,1
216,older,1
217,family,1
218,getting,1
219,harder,2
220,stay,1
221,sad,1
222,anxious,1
223,about,1
224,voted,1
225,out,3
226,desperation,1
227,’m,3
228,at,1
229,breaking,1
230,point,2
231,do,2
232,resources,1
233,spending,1
234,money,1
235,my,1
236,own,1
237,pocket,1
238,ca,1
239,impact,1
240,want,1
241,way,1
242,things,1
243,now,1
244,something,2
245,needs,1
246,happen,2
247,strike,2
248,made,2
249,think,1
250,could,2
251,inspired,1
252,other,2
253,bursts,1
254,nationwide,1
255,women,1
256,march,1
257,never,1
258,again,1
259,gun,1
260,control,1
261,went,1
262,an,4
263,organizing,3
264,meeting,1
265,suburban,1
266,backyard,1
267,elementary,2
268,named,1
269,lisa,1
270,wyatt,1
271,where,3
272,parents,1
273,plans,1
274,knock,1
275,neighbors’,1
276,doors,1
277,build,2
278,see,1
279,these,1
280,marches,1
281,across,1
282,like,5
283,wait,1
284,minute,1
285,can,3
286,that’,1
287,impetus,1
288,those,1
289,did,3
290,come,1
291,though,2
292,unions,2
293,thrown,1
294,action,1
295,instead,1
296,began,1
297,facebook,1
298,group,1
299,united,2
300,hashtag,1
301,redfored,2
302,music,1
303,noah,1
304,karvelis,2
305,created,1
306,encourage,1
307,employees,2
308,wear,1
309,solidarity,1
310,brethren,1
311,coincidence,1
312,walkouts,1
313,happened,1
314,weak,1
315,lack,1
316,strong,1
317,collective,1
318,representation,1
319,scrappy,1
320,new,1
321,grass,1
322,roots,1
323,organizations,1
324,quickly,1
325,followings,1
326,further,1
327,immiserate,1
328,eventually,1
329,lose,3
330,leverage,1
331,them,1
332,legal,1
333,technically,1
334,jobs,1
335,participating,1
336,its,1
337,abysmal,1
338,salaries,1
339,has,1
340,such,1
341,acute,1
342,shortage,1
343,many,3
344,already,1
345,hiring,1
346,without,1
347,formal,1
348,training,1
349,high,1
350,diplomas,1
351,small,1
352,government,1
353,pushed,1
354,nothing,1
355,still,1
356,clear,1
357,how,1
358,long,1
359,hold,1
360,month,1
361,governor,1
362,doug,1
363,ducey,2
364,scored,1
365,relations,1
366,victory,1
367,offering,1
368,percent,1
369,raise,1
370,trust,1
371,deliver,1
372,saying,1
373,plan,1
374,no,2
375,dedicated,1
376,revenue,1
377,source,1
378,nor,1
379,address,1
380,demand,1
381,restore,1
382,funding,1
383,levels,1
384,wo,1
385,understand,1
386,why,1
387,turned,1
388,down,1
389,looks,1
390,surface,1
391,reasonable,1
392,offer,1
393,rapid,1
394,rise,1
395,means,1
396,being,1
397,done,1
398,fly,1
399,one,1
400,knows,1
401,response,1
402,will,1
403,look,1
404,’ve,1
405,seen,1
406,all,1
407,since,1
408,trump,1
409,election,2
410,protest,1
411,contagious,1
412,builds,1
413,itself,1
414,meanwhile,1
415,re,1
416,year,1
417,trending,1
418,blue,1
419,maybe,1
420,foolishly,1
421,confident,1
422,ton,1
423,power,1
424,truth,1
425,our,2
426,side,2
427,people,2
428,who,1
429,afraid,1
430,take,1
431,risk,1
