,term,count
0,dude,1
1,are,5
2,you,5
3,watching,1
4,kanye,6
5,right,2
6,now,2
7,i,19
8,was,7
9,trying,1
10,to,25
11,get,1
12,some,4
13,work,1
14,done,1
15,and,16
16,so,2
17,had,4
18,logged,1
19,off,1
20,of,21
21,twitter,1
22,that,16
23,black,1
24,hole,1
25,permanent,1
26,distraction,1
27,but,4
28,could,2
29,n’t,4
30,escape,1
31,the,33
32,nonstop,1
33,emails,1
34,texts,1
35,from,2
36,my,6
37,friends,2
38,suggesting,1
39,drop,1
40,everything,2
41,watch,1
42,rapper,1
43,’s,12
44,feed,1
45,like,2
46,rest,1
47,america,2
48,did,2
49,there,2
50,kanyewest,1
51,treated,1
52,a,19
53,torrent,1
54,pro,1
55,trump,5
56,statements,1
57,including,1
58,photograph,1
59,west,1
60,red,1
61,make,3
62,great,3
63,again,1
64,baseball,1
65,cap,1
66,autographed,1
67,by,4
68,president,2
69,himself,2
70,do,3
71,have,5
72,agree,1
73,with,5
74,tweeted,2
75,on,4
76,mob,1
77,ca,1
78,me,3
79,not,5
80,love,2
81,him,4
82,we,4
83,both,1
84,dragon,1
85,energy,1
86,miss,1
87,out,1
88,an,4
89,endorsement,1
90,back,1
91,thanking,1
92,adding,1
93,very,2
94,cool,1
95,for,5
96,emphasis,1
97,knowing,2
98,dislike,1
99,almost,1
100,as,3
101,much,1
102,were,1
103,curious,1
104,admire,1
105,artist,4
106,less,1
107,he,6
108,referred,1
109,his,7
110,brother,1
111,it,6
112,easy,1
113,question,1
114,one,1
115,israelis,2
116,lifetime,1
117,ponder,1
118,growing,1
119,up,2
120,in,12
121,tel,2
122,aviv,2
123,would,2
124,often,1
125,grow,1
126,enamored,1
127,band,2
128,writer,1
129,or,3
130,filmmaker,1
131,only,2
132,discover,1
133,new,2
134,celebrity,1
135,crush,1
136,put,1
137,mildly,1
138,big,1
139,fan,1
140,country,1
141,at,6
142,first,3
143,resolved,1
144,disavow,1
145,anyone,2
146,whose,1
147,politics,3
148,found,1
149,reprehensible,1
150,tossed,1
151,aside,1
152,those,3
153,brian,1
154,eno,2
155,cds,1
156,convincing,1
157,myself,1
158,no,4
159,business,1
160,enjoying,1
161,music,2
162,matter,1
163,how,1
164,entrancing,1
165,someone,1
166,who,5
167,calling,1
168,boycott,1
169,israel,3
170,bored,1
171,roommates,1
172,time,1
173,endless,1
174,rants,1
175,against,1
176,musician,1
177,speaking,2
178,mind,2
179,even,5
180,most,2
181,indignant,1
182,something,3
183,nagged,1
184,after,2
185,all,4
186,thing,2
187,angered,1
188,about,5
189,same,1
190,made,2
191,place,1
192,namely,1
193,ability,2
194,express,1
195,deep,1
196,emotions,1
197,candidly,1
198,others,1
199,consider,1
