,term,count
0,the,55
1,bad,4
2,men,15
3,are,8
4,plotting,1
5,their,18
6,comebacks,3
7,in,26
8,recent,1
9,days,1
10,page,1
11,reported,2
12,that,13
13,former,3
14,cbs,1
15,anchor,1
16,charlie,1
17,rose,3
18,accused,2
19,by,11
20,employees,1
21,of,25
22,acts,1
23,ranging,1
24,from,6
25,groping,1
26,to,75
27,walking,1
28,around,2
29,naked,1
30,presence,1
31,is,22
32,shopping,1
33,a,38
34,return,3
35,television,1
36,his,3
37,new,4
38,project,1
39,interviewing,1
40,other,2
41,felled,1
42,metoo,7
43,mr,6
44,n’t,16
45,alone,2
46,last,3
47,few,3
48,weeks,2
49,like,5
50,tom,2
51,ashbrook,1
52,public,1
53,radio,1
54,host,2
55,creating,1
56,hostile,1
57,work,2
58,environment,1
59,today,2
60,matt,1
61,lauer,2
62,chef,1
63,mario,1
64,batali,1
65,and,33
66,comedian,1
67,louis,1
68,c,1
69,k,1
70,have,6
71,been,4
72,said,3
73,be,13
74,testing,1
75,waters,1
76,response,3
77,many,3
78,reports,1
79,has,3
80,swift,1
81,incredulous,1
82,maybe,1
83,do,11
84,jessica,1
85,goldstein,1
86,wrote,4
87,thinkprogress,1
88,piece,2
89,on,12
90,others,2
91,called,2
92,who,13
93,pulled,1
94,out,5
95,penises,1
96,at,8
97,think,1
98,people,3
99,want,10
100,see,1
101,more,9
102,them,5
103,now,2
104,perhaps,2
105,these,6
106,guys,2
107,could,2
108,just,6
109,stay,2
110,quietly,2
111,home,1
112,for,14
113,months,1
114,anna,1
115,merlan,1
116,jezebel,1
117,where,3
118,i,15
119,previously,1
120,worked,1
121,get,2
122,it,25
123,first,6
124,time,1
125,history,1
126,seems,2
127,powerful,2
128,facing,1
129,significant,1
130,consequences,1
131,predatory,1
132,behavior,2
133,small,1
134,number,1
135,such,2
136,as,7
137,bill,2
138,cosby,2
139,was,8
140,found,3
141,guilty,1
142,week,2
143,postmetoo,1
144,celebrity,2
145,sex,1
146,crimes,2
147,trial,1
148,road,1
149,justice,6
150,obvious,1
151,but,12
152,vast,1
153,majority,1
154,still,1
155,feels,1
156,appalling,1
157,unfair,1
158,even,2
159,beside,1
160,point,2
161,turn,1
162,questions,4
163,what,16
164,should,8
165,happen,3
166,ed,1
167,headed,1
168,court,1
169,yet,2
170,we,10
171,need,2
172,not,13
173,sympathy,1
174,because,3
175,journalist,1
176,covered,2
177,sexual,4
178,violence,2
179,most,2
180,my,4
181,career,3
182,’ve,4
183,seen,1
184,happens,2
185,when,6
186,pretend,1
187,can,3
188,simply,3
189,disappear,2
190,once,3
191,they,20
192,pushed,1
193,experience,2
194,resurface,1
195,elsewhere,2
196,often,3
197,prey,1
198,’s,11
199,especially,2
200,true,1
201,famous,1
202,enough,1
203,make,4
204,headlines,1
205,whose,3
206,moves,1
207,subjected,1
208,constant,1
209,scrutiny,1
210,so,3
211,if,4
212,movement,4
213,about,5
214,than,2
215,which,1
216,will,2
217,next,1
218,fall,1
219,or,9
220,comeback,1
221,must,1
222,stopped,1
223,lead,2
224,real,3
225,lasting,1
226,widespread,1
227,cultural,1
228,change,2
229,talk,5
230,with,10
231,receive,1
232,day,1
233,urgent,1
234,debates,1
235,right,1
236,your,1
237,inbox,1
238,subscribing,1
239,opinion,1
240,newsletter,1
241,before,1
242,there,3
243,campus,7
244,assault,3
245,college,4
246,students,7
247,fed,1
248,up,3
249,schools,4
250,mishandling,1
251,misconduct,4
252,allegations,3
253,began,1
254,organizing,1
255,federal,1
256,gender,1
257,equity,1
258,law,1
259,title,2
260,ix,2
261,this,3
262,starting,1
263,beginning,1
264,truly,1
265,felt,2
266,revolutionary,1
267,activists,2
268,seeking,1
269,an,2
270,option,3
271,somewhere,1
272,between,1
273,sending,1
274,assailants,2
275,prison,3
276,nothing,1
277,demanded,1
278,victim,1
