,term,count
0,it,14
1,hurts,1
2,the,59
3,most,2
4,when,5
5,’s,20
6,of,32
7,good,5
8,ones,3
9,latest,1
10,man,5
11,to,44
12,torpedo,1
13,his,25
14,own,7
15,career,3
16,is,16
17,eric,1
18,schneiderman,14
19,who,11
20,resigned,1
21,monday,1
22,evening,1
23,from,7
24,position,1
25,as,8
26,new,6
27,york,3
28,state,2
29,attorney,4
30,general,4
31,just,3
32,hours,1
33,after,3
34,yorker,3
35,published,1
36,a,26
37,long,2
38,piece,2
39,detailing,1
40,myriad,1
41,ways,1
42,he,25
43,alleged,3
44,have,8
45,abused,1
46,some,4
47,women,28
48,in,13
49,life,1
50,hitting,1
51,them,9
52,choking,1
53,sexually,4
54,degrading,3
55,psychologically,1
56,mistreating,1
57,and,44
58,verbally,1
59,undermining,1
60,their,5
61,work,4
62,sense,3
63,self,3
64,at,5
65,home,1
66,seems,4
67,mr,16
68,was,13
69,sexual,4
70,sadist,1
71,manipulative,1
72,misogynist,4
73,champion,3
74,rights,9
75,investigating,2
76,potential,1
77,charges,1
78,against,1
79,harvey,2
80,weinstein,3
81,appearing,1
82,events,1
83,supporting,1
84,reproductive,3
85,freedom,1
86,even,4
87,writing,1
88,bill,1
89,specifically,1
90,punish,1
91,same,2
92,kind,3
93,strangulation,1
94,said,3
95,forced,1
96,on,10
97,partners,2
98,how,2
99,do,5
100,we,11
101,reconcile,1
102,these,2
103,versions,1
104,single,1
105,n’t,4
106,that,25
107,appears,1
108,been,2
109,feminist,9
110,brightness,1
111,day,2
112,but,9
113,violent,2
114,lights,1
115,went,1
116,down,2
117,for,11
118,more,3
119,gender,2
120,society,1
121,subscribe,1
122,letter,1
123,newsletter,1
124,reality,1
125,may,2
126,be,10
127,darker,1
128,power,4
129,derived,1
130,role,2
131,progressive,5
132,politics,2
133,intertwined,1
134,with,8
135,abuse,3
136,used,2
137,minded,2
138,political,2
139,advance,1
140,ingratiate,1
141,himself,1
142,would,1
143,go,1
144,harm,1
145,cover,1
146,up,4
147,cruelties,1
148,denies,1
149,abusive,2
150,instead,1
151,saying,1
152,engaged,1
153,consensual,1
154,play,2
155,while,4
156,this,1
157,disturbing,1
158,story,1
159,cuts,1
160,heart,2
161,incongruities,1
162,being,4
163,woman,3
164,trump,3
165,boasted,1
166,about,1
167,assaulting,1
168,president,1
169,rage,1
170,dismay,1
171,brought,2
172,by,4
173,election,1
174,has,4
175,also,7
176,meant,1
177,powerful,1
178,men,9
179,are,9
180,finally,1
181,called,1
182,account,1
183,yet,1
184,accounting,1
185,made,2
186,clear,1
187,thought,1
188,could,2
189,trust,1
190,especially,2
191,perhaps,1
192,ostentatiously,1
193,not,5
194,quite,1
195,what,9
196,they,9
197,seem,3
198,symbiotic,1
199,relationship,2
200,between,1
201,public,3
202,private,2
203,behavior,1
204,difficult,1
205,one,4
206,traverse,1
207,because,2
208,surface,1
209,like,2
210,opposites,1
211,unlike,1
212,whose,2
213,misogyny,2
214,part,4
215,celebrity,2
216,persona,1
217,platform,1
218,hostile,1
219,appearances,1
220,dedicated,1
221,servant,1
222,stood,1
223,minorities,1
224,underprivileged,1
225,only,2
226,office,1
227,defending,1
228,young,1
229,people,1
230,facing,1
231,deportation,1
232,illegally,1
233,united,1
234,states,1
235,children,1
236,trying,1
237,expand,1
238,voting,1
239,behind,1
240,scenes,1
241,reported,1
242,drink,1
243,heavily,1
244,accused,2
245,physical,1
246,violence,1
247,injecting,1
248,virulent,1
249,racism,1
250,into,4
251,abuses,2
252,committed,1
253,tanya,1
254,selvaratnam,1
255,dated,1
256,told,2
257,involved,1
258,him,3
259,calling,1
260,her,7
261,brown,1
262,slave,1
263,having,1
264,call,1
265,master,1
266,confirming,1
267,she,4
268,property,1
269,impossible,1
270,know,2
271,exactly,1
272,going,1
273,mind,1
274,wonder,1
275,if,6
276,actions,1
277,were,1
278,all,3
279,pathological,1
280,craving,1
281,ultimate,1
282,makes,1
283,immune,1
284,consequence,1
285,got,1
286,off,2
287,simple,1
288,fact,1
289,had,2
290,ability,1
291,physically,2
292,hurt,1
293,perceived,2
294,noble,1
295,greater,1
296,authority,1
297,than,3
298,knowing,1
299,you,10
300,can,6
301,rupture,1
302,confidence,1
303,reportedly,2
304,eardrum,1
305,so,6
306,thoroughly,1
307,upon,1
308,your,1
309,mandate,1
310,removes,1
311,tattoos,1
312,loses,1
313,weight,1
314,comes,1
315,back,1
316,’ve,1
317,hit,1
318,overpower,1
319,injure,1
320,then,5
321,scare,1
322,out,1
323,reporting,2
324,convince,1
325,establishments,1
326,crown,1
327,greatest,1
328,leaders,1
329,strongest,1
330,advocates,1
331,derives,1
332,satisfaction,1
333,riding,1
334,white,1
335,knight,1
336,fighting,1
337,secretly,1
338,tremendously,1
339,narcissistic,1
340,almost,1
341,fictional,1
342,maybe,3
343,allegations,3
344,true,2
345,separate,1
346,lives,2
347,totally,1
348,alienating,1
349,every,1
350,shame,1
351,cognitive,1
352,dissonance,1
353,or,6
354,bigger,1
355,simply,2
356,enjoys,2
357,getting,1
358,over,2
359,us,3
360,saw,1
361,gains,1
362,worked,1
363,groups,1
364,years,1
365,prominence,1
366,rose,1
367,along,1
368,current,1
369,swell,1
370,anti,1
371,resistance,1
372,kicked,1
373,march,1
374,seguing,1
375,metoo,1
376,rode,1
377,wave,1
378,movements’,1
379,coattails,1
380,much,1
381,fame,1
382,typically,1
383,realm,1
384,praise,1
385,garnered,1
386,stark,1
387,example,1
388,feminists,3
389,push,1
390,freedoms,1
391,basic,1
392,bodily,1
393,autonomy,1
394,economic,1
395,stability,1
396,free,1
397,enjoy,1
398,sex,1
399,pleasure,1
400,sake,1
401,promoted,1
402,choose,1
403,our,3
404,bodies,1
405,personally,1
406,turning,1
407,interactions,1
408,acts,1
409,done,1
410,female,1
411,reputation,1
412,tool,1
413,access,1
414,exact,1
415,apparently,1
416,enjoyed,1
417,breaking,1
418,liberal,1
419,bona,1
420,fides,1
421,say,1
422,mistreated,1
423,second,1
424,guess,1
425,themselves,2
426,stay,1
427,quiet,1
428,according,1
429,quoted,1
430,high,1
431,powered,1
432,professional,1
433,want,4
434,dominated,1
435,yeah,1
436,act,1
437,certain,2
438,way,3
439,look,3
440,i,2
441,dirty,1
442,little,2
443,slut,1
444,my,2
445,whore,1
446,says,1
447,slapped,1
448,across,1
449,face,1
450,twice,1
451,did,2
452,report,1
453,doing,2
454,things,2
455,jeopardize,1
456,strong,2
457,might,2
458,misogynists,1
459,too,1
460,right,2
461,wing,1
462,oppose,1
463,see,1
464,get,1
465,bogus,1
466,male,2
467,crazy,1
468,making,1
469,since,1
470,often,1
471,taught,1
472,subsume,1
473,doubts,1
474,experiences,1
475,tell,1
476,’re,2
477,interpreting,1
478,incorrectly,1
479,course,1
480,should,3
481,skeptically,1
482,stand,1
483,pause,1
484,performing,1
485,feminism,2
486,kudos,1
487,influence,1
488,rather,1
489,thing,1
490,attended,1
491,gala,1
492,planned,1
493,parenthood,1
494,where,1
495,hillary,1
496,clinton,1
497,present,1
498,bid,1
499,painting,1
500,never,2
501,sent,1
502,money,1
503,louis,1
504,ck,1
505,wrote,1
506,great,2
507,jokes,1
508,seemed,1
509,willing,2
510,fully,1
511,give,1
512,outside,1
513,circles,1
514,including,1
515,clay,1
516,johnson,1
517,don,1
518,hazen,2
519,briefly,1
520,boss,1
521,found,1
522,success,1
523,organizing,1
524,media,1
525,largely,1
526,promoting,1
527,arming,1
528,detractors,1
529,surprise,1
530,learn,1
531,recent,1
532,allegedly,1
533,bullied,1
534,harassed,1
535,demeaned,1
536,around,1
537,denied,1
538,feminists’,1
539,cede,1
540,share,1
