,term,count
0,when,4
1,trump,6
2,takes,2
3,his,7
4,swipes,1
5,at,6
6,the,45
7,disgusting,1
8,and,19
9,corrupt,1
10,media,2
11,tens,1
12,of,22
13,millions,1
14,americans,1
15,agree,1
16,it,12
17,’s,12
18,not,6
19,as,6
20,if,3
21,they,8
22,do,2
23,n’t,10
24,have,8
25,examples,1
26,in,14
27,mind,1
28,consider,1
29,this,4
30,week,2
31,implication,1
32,by,3
33,major,1
34,news,2
35,organizations,1
36,that,24
37,president,9
38,described,1
39,all,6
40,illegal,4
41,immigrants,11
42,animals,3
43,during,1
44,a,21
45,white,1
46,house,1
47,roundtable,1
48,with,3
49,california,2
50,officials,1
51,would,3
52,indeed,1
53,be,4
54,wretched,1
55,thing,1
56,for,5
57,him,3
58,to,32
59,say,1
60,had,1
61,he,6
62,said,2
63,did,4
64,associated,1
65,press,1
66,admitted,1
67,much,1
68,deleted,1
69,tweet,1
70,about,4
71,remark,1
72,noting,1
73,was,6
74,made,1
75,clear,1
76,speaking,2
77,after,2
78,comment,2
79,gang,4
80,members,2
81,specifically,1
82,salvadoran,2
83,ms13,5
84,infamous,1
85,its,1
86,ultraviolent,1
87,methods,1
88,quasi,1
89,satanic,1
90,rituals,1
91,call,1
92,is,12
93,wrong,1
94,only,2
95,because,1
96,unfair,1
97,keep,1
98,partisan,1
99,critics,1
100,from,4
101,going,1
102,berserk,1
103,you,3
104,are,3
105,decent,1
106,person,1
107,were,4
108,meeting,1
109,where,1
110,realdonaldtrump,1
111,called,1
112,‘,1
113,animals’,2
114,will,1
115,denounce,1
116,now,5
117,demanded,1
118,representative,1
119,eric,1
120,swalwell,1
121,democrat,1
122,otherwise,1
123,what,3
124,makes,1
125,any,1
126,different,1
127,maybe,1
128,answer,3
129,taken,1
130,trouble,1
131,hear,1
132,context,1
133,without,1
134,invidious,1
135,interpretations,1
136,then,3
137,there,2
138,senator,1
139,chuck,1
140,schumer,2
141,new,1
142,york,1
143,our,2
144,great,3
145,grandparents,1
146,came,2
147,america,2
148,these,1
149,people,1
150,either,1
151,wrote,1
152,on,5
153,twitter,1
154,let,1
155,assume,1
156,family,1
157,tree,1
158,does,2
159,include,1
160,ancestors,1
161,who,5
162,kidnapped,1
163,drugged,1
164,raped,1
165,murdered,1
166,teenage,1
167,girls,1
168,catnip,1
169,apologists,1
170,can,1
171,point,2
172,genuine,1
173,instance,1
174,fake,2
175,merely,1
176,factually,1
177,mistaken,1
178,but,1
179,willfully,1
180,misleading,1
181,order,1
182,dismiss,1
183,bulk,1
184,negative,1
185,reportage,1
186,truth,2
187,should,2
188,cheap,1
189,trick,1
190,also,3
191,monumental,1
192,disservice,1
193,anyone,1
194,wants,1
195,repudiate,1
196,administration,3
197,squalid,1
198,thinking,1
199,immigration,7
200,trumpian,1
201,case,2
202,against,1
203,supporters,1
204,liberal,1
205,policy,1
206,we,5
207,indifferent,1
208,law,2
209,blasé,1
210,crime,3
211,blind,1
212,social,1
213,costs,1
214,impose,1
215,american,4
216,communities,1
217,how,1
218,better,1
219,feed,1
220,than,2
221,misrepresent,1
222,take,1
223,umbrage,1
224,tough,1
225,talk,1
226,psychotic,1
227,latin,3
228,blunt,1
229,brought,1
230,shores,1
231,very,1
232,long,2
233,time,2
234,decades,1
235,before,1
236,dead,1
237,rabbits,1
238,irish,1
239,flying,1
240,dragons,1
241,chinese,1
242,undzer,1
243,shtik,1
244,jewish,1
245,course,1
246,cosa,1
247,nostra,1
248,just,3
249,politicians,1
250,tried,1
251,portray,1
252,criminals,2
253,know,2
254,nothings,1
255,authors,1
256,act,1
257,nativist,1
258,chief,2
259,commander,1
260,intelligent,1
261,ca,1
262,nothing,1
263,fear,1
264,comes,1
265,or,4
266,every,1
267,attempt,1
268,enforce,1
269,laws,1
270,discuss,1
271,ills,1
272,thinly,1
273,veiled,1
274,form,1
275,xenophobia,1
276,right,1
277,net,1
278,over,1
279,far,1
280,more,2
281,gain,1
282,lose,1
283,them,1
284,policies,1
285,has,1
286,pursued,1
287,mass,1
288,deportations,1
289,above,1
290,make,1
291,things,1
292,worse,1
293,useful,1
294,atlantic,1
295,article,1
296,j,1
297,weston,1
298,phippen,1
299,notes,1
300,started,1
301,los,1
302,angeles,1
303,deported,1
304,back,1
305,home,1
306,clinton,1
307,1990s,1
308,turbocharged,1
309,next,1
310,decade,1
311,creating,1
312,domestic,1
313,mayhem,1
314,contributed,1
315,central,1
316,exodus,1
317,decries,1
318,conservatives,1
319,used,1
320,get,1
321,unintended,1
322,consequences,1
323,understood,1
324,economic,1
325,necessity,1
326,demographic,1
327,growth,1
328,through,2
329,especially,1
330,number,1
331,us,1
332,births,1
333,low,1
334,knew,1
335,legal,1
336,drive,1
337,up,1
338,rates,1
339,violent,2
340,realized,1
341,vital,1
342,promote,1
343,security,1
344,prosperity,1
345,least,2
346,warm,1
347,relations,1
348,free,1
349,trade,1
350,agreements,1
351,mostly,1
352,got,1
353,until,1
354,around,1
355,which,1
356,leaves,1
357,sensible,1
358,democrats,1
359,sane,1
360,republicans,1
361,repel,1
362,defeat,1
363,demagoguery,1
364,cool,1
365,headed,1
366,command,1
367,facts,1
368,historical,1
369,experiences,1
370,baldly,1
371,misrepresenting,1
372,says,1
373,opposite,1
374,gift,1
375,i,2
376,infuriating,1
377,habitually,1
378,conflates,1
379,buries,1
380,signal,1
381,bigotries,1
382,noise,1
383,syntax,1
384,suspect,1
385,eager,1
386,deport,1
387,build,1
388,wall,1
389,mexico,1
390,groups,1
391,like,1
392,exist,1
393,matter,1
394,adept,1
395,goading,1
396,opponents,1
397,into,1
398,unwittingly,1
399,doing,1
400,bidding,1
401,so,1
402,again,1
403,those,1
404,despise,1
405,deceits,1
406,endeavor,1
407,give,1
408,no,1
409,impression,1
410,being,1
411,deceitful,1
412,turn,1
