,term,count
0,imagine,2
1,for,8
2,a,20
3,moment,1
4,that,20
5,robert,1
6,mueller,8
7,was,2
8,never,2
9,pressed,1
10,into,1
11,service,1
12,as,4
13,special,2
14,counsel,2
15,and,27
16,n’t,8
17,household,1
18,name,1
19,there,4
20,had,3
21,been,2
22,any,2
23,prompt,1
24,his,10
25,investigation,3
26,trump,13
27,blown,1
28,all,3
29,those,1
30,kisses,1
31,at,3
32,vladimir,1
33,putin,2
34,the,43
35,stooges,1
36,grifters,1
37,around,1
38,swooned,1
39,prospect,1
40,of,28
41,sucking,1
42,on,7
43,mother,1
44,russia,5
45,’s,20
46,teat,1
47,or,6
48,’d,2
49,no,6
50,offer,1
51,milk,1
52,in,9
53,first,2
54,place,1
55,what,5
56,would,5
57,we,2
58,be,13
59,focusing,1
60,right,1
61,now,1
62,maybe,1
63,just,2
64,published,1
65,politico,1
66,report,1
67,deliberate,1
68,cavalier,1
69,use,1
70,cellphone,1
71,does,1
72,have,2
73,strict,1
74,security,1
75,safeguards,1
76,getting,1
77,extra,1
78,attention,1
79,story,2
80,outraged,1
81,me,1
82,because,1
83,it,10
84,yet,1
85,another,1
86,glaring,1
87,example,1
88,dual,1
89,set,1
90,rules,1
91,proper,1
92,ones,2
93,apply,1
94,to,21
95,others,1
96,nonexistent,1
97,let,1
98,him,5
99,clan,1
100,do,1
101,they,5
102,please,1
103,puts,1
104,lie,1
105,supposed,1
106,horror,1
107,over,3
108,hillary,2
109,clinton,2
110,sloppy,1
111,email,1
112,habits,1
113,not,2
114,time,2
115,last,1
116,he,14
117,being,4
118,raving,1
119,hypocrite,1
120,without,1
121,scott,1
122,pruitt,1
123,closer,1
124,center,1
125,stage,1
126,with,4
127,an,2
128,even,3
129,brighter,1
130,harsher,1
131,spotlight,1
132,exactly,1
133,evading,1
134,scrutiny,1
135,but,5
136,spared,1
137,relentless,1
138,top,1
139,screen,1
140,start,1
141,newscast,1
142,treatment,1
143,likely,1
144,endure,1
145,if,4
146,lawmakers,1
147,journalists,1
148,other,3
149,watchdogs,1
150,were,1
151,so,1
152,mesmerized,1
153,by,4
154,convoluted,1
155,twists,1
156,v,1
157,perhaps,1
158,more,5
159,americans,4
160,notice,1
161,is,6
162,doing,1
163,judiciary,1
164,which,2
165,i,4
166,mean,2
167,stacking,1
168,important,1
169,government,1
170,agencies,1
171,gutting,1
172,them,1
173,new,1
174,yorker,1
175,this,3
176,month,1
177,evan,1
178,osnos,2
179,documented,1
180,politically,2
181,motivated,1
182,sidelining,1
183,purging,1
184,venerable,1
185,public,1
186,servants,1
187,interior,1
188,department,1
189,under,1
190,ryan,1
191,operating,1
192,less,2
193,maturity,1
194,mission,1
195,than,4
196,kindergarten,1
197,class,1
198,cusp,1
199,recess,1
200,sadly,1
201,heard,1
202,chatter,1
203,about,1
204,deserved,1
205,drumbeat,1
206,sometimes,1
207,deafening,1
208,often,1
209,drowning,1
210,out,2
211,else,2
212,yardstick,1
213,whose,1
214,measurement,1
215,has,3
216,come,1
217,matter,1
218,test,1
219,must,2
220,pass,1
221,passes,1
222,wo,1
223,make,1
224,successful,1
225,president,2
226,fit,1
227,leader,1
228,decent,1
229,human,1
230,will,1
231,permit,1
232,master,1
233,distraction,1
234,distract,1
235,many,1
236,from,2
237,misdeeds,1
238,longer,1
239,soldiers,1
240,worry,1
241,duration,1
242,part,1
243,reason,1
244,catch22,1
245,these,1
246,extravaganzas,1
247,order,2
248,credible,1
249,thorough,2
250,risk,1
251,becoming,1
252,unwieldy,1
253,appearing,1
254,indiscriminate,1
255,taxing,1
256,patience,1
257,trust,1
258,voters,1
259,point,1
260,where,1
261,numbly,1
262,tune,1
263,foreign,1
264,threats,1
265,stability,1
266,our,1
267,political,1
268,system,1
269,should,1
270,always,1
271,investigated,1
272,vanity,1
273,fair,1
274,t,1
275,frank,1
276,wrote,1
277,week,1
278,some,2
279,us,1
280,learn,1
281,harder,1
282,gets,1
283,take,1
284,each,1
285,breathless,1
286,headline,1
287,seriously,1
288,argued,1
289,recently,1
290,revealed,1
291,meeting,1
292,summer,1
293,between,1
294,jr,2
295,emissary,1
296,arab,1
297,princes,1
298,only,1
299,muddies,1
300,waters,1
301,possible,1
302,partnership,1
303,adding,1
304,one,1
305,could,2
306,go,1
307,mad,1
308,trying,1
309,prove,1
310,tried,1
311,collude,1
312,russians,1
313,saudis,1
314,emiratis,1
315,opposed,1
316,dunce,1
317,journey,1
318,down,1
319,certain,1
320,tributaries,1
321,strikes,1
322,observers,1
323,who,1
324,are,3
325,partisans,1
326,invasive,1
327,punitive,1
328,crawl,1
329,sprawl,1
330,also,2
331,given,1
332,trove,1
333,details,1
334,needs,1
335,refine,1
336,tactics,1
337,delegitimizing,1
338,shameless,1
339,effort,1
340,evolved,1
341,sophistication,1
342,reflexive,1
343,yelp,1
344,witch,1
345,hunt,1
346,elaborate,1
347,alluring,1
348,conspiracy,1
349,theories,1
350,including,1
351,scenario,1
352,espionage,1
353,within,1
354,campaign,1
355,storytelling,1
356,takers,1
357,cbs,1
358,news,1
359,poll,1
360,several,1
361,weeks,1
362,ago,1
363,showed,1
364,fewer,1
365,believed,1
366,legitimate,1
367,percent,2
368,driven,1
369,my,1
370,reckoning,1
371,already,1
372,proof,1
373,attempted,1
374,obstruction,1
375,justice,1
376,receding,1
377,thick,1
378,fog,1
379,collateral,1
380,nefariousness,1
381,teeming,1
382,cast,1
383,unsavory,1
384,opportunists,1
385,may,2
386,why,1
387,mantra,1
388,collusion,4
389,contrary,1
390,aides,1
391,reportedly,1
392,murmur,1
393,idiot,1
394,knows,2
395,sets,1
396,bar,1
397,incontrovertible,1
398,evidence,1
399,huddled,1
400,voodoo,1
401,doll,1
402,might,1
403,clear,1
404,fixated,1
405,concentrating,1
406,much,1
407,good,1
408,terrible,1
409,country,1
410,entirely,1
411,innocent,1
412,soliciting,1
413,welcoming,1
414,russian,1
415,help,1
416,still,1
417,proudly,1
418,offensive,1
419,gleefully,1
420,divisive,1
421,woefully,1
422,unprepared,1
423,plutocrat,1
424,moral,1
425,compass,1
426,beyond,1
427,own,1
428,aggrandizement,1
429,while,1
430,obsess,1
431,hidden,1
432,shadows,1
433,plain,1
434,sight,1
