,term,count
0,dublin,1
1,shortly,1
2,before,1
3,he,3
4,died,2
5,in,40
6,the,78
7,novelist,1
8,john,2
9,broderick,1
10,was,7
11,asked,1
12,by,7
13,an,7
14,interviewer,1
15,what,6
16,it,20
17,meant,4
18,to,30
19,be,8
20,roman,1
21,catholic,19
22,and,25
23,irish,5
24,anyone,1
25,who,5
26,is,13
27,reared,1
28,a,23
29,atmosphere,2
30,replied,1
31,takes,2
32,that,26
33,more,6
34,or,7
35,less,4
36,through,1
37,their,4
38,pores,1
39,we,1
40,are,4
41,few,1
42,decades,3
43,removed,1
44,from,2
45,clear,7
46,enough,1
47,became,2
48,so,5
49,on,8
50,friday,3
51,when,4
52,ireland,15
53,voted,1
54,resoundingly,1
55,overturn,1
56,its,5
57,old,1
58,constitutional,1
59,ban,2
60,abortion,6
61,yet,5
62,than,1
63,vote,3
64,even,2
65,reverse,1
66,kind,1
67,of,46
68,osmosis,1
69,has,10
70,become,2
71,common,1
72,recent,3
73,years,3
74,declare,1
75,end,3
76,now,3
77,’s,9
78,familiar,1
79,story,1
80,clerical,1
81,abuse,2
82,scandals,1
83,which,2
84,made,1
85,headlines,1
86,1990s,1
87,undermined,1
88,institution,3
89,been,7
90,slow,1
91,slide,1
92,into,2
93,irrelevance,1
94,since,2
95,with,8
96,repeal,1
97,country,3
98,latest,1
99,some,2
100,ways,1
101,most,6
102,significant,1
103,string,1
104,losses,1
105,have,4
106,included,1
107,decriminalization,1
108,homosexuality,2
109,divorce,3
110,legalization,1
111,same,3
112,sex,1
113,marriage,2
114,importance,1
115,as,13
116,blow,1
117,institutional,3
118,church,13
119,should,3
120,not,8
121,understated,1
122,at,6
123,times,1
124,seemed,1
125,much,1
126,referendum,2
127,historic,1
128,treatment,1
129,women,2
130,about,2
131,itself,1
132,stories,1
133,dating,1
134,back,1
135,had,2
136,receiving,1
137,intolerance,1
138,lost,1
139,power,2
140,rouse,1
141,public,1
142,anger,1
143,but,7
144,if,3
145,no,2
146,longer,3
147,commands,1
148,moral,3
149,authority,1
150,loyalty,1
151,once,2
152,did,1
153,too,1
154,overstatement,1
155,remains,1
156,defined,1
157,relationship,3
158,catholicism,6
159,because,1
160,develop,1
161,another,2
162,way,1
163,n’t,2
164,social,2
165,political,3
166,consequences,2
167,this,3
168,new,3
169,idea,2
170,last,1
171,bastion,1
172,stable,1
173,society,1
174,myth,1
175,for,5
176,numbers,1
177,those,3
178,opt,1
179,join,2
180,priesthood,1
181,nuns,1
182,other,4
183,religious,1
184,vocations,1
185,serious,2
186,decline,3
187,early,1
188,1960s,3
189,driven,2
190,revelations,1
191,factors,1
192,work,2
193,western,2
194,societies,2
195,better,1
196,educated,1
197,richer,1
198,secular,2
199,people,6
200,were,4
201,increasingly,1
202,prepared,1
203,accept,1
204,blindly,1
205,dictates,1
206,handed,1
207,down,1
208,priests,1
209,bishops,1
210,how,2
211,they,4
212,live,1
213,lives,1
214,visit,1
215,charismatic,1
216,young,1
217,pope,1
218,paul,1
219,ii,1
220,saw,1
221,millions,1
222,attending,1
223,various,1
224,events,1
225,organized,1
226,around,1
227,part,2
228,awareness,1
229,rome,1
230,already,2
231,beginning,1
232,major,1
233,force,2
234,process,2
235,would,2
236,only,3
237,pick,2
238,up,2
239,momentum,1
240,directly,1
241,following,1
242,his,2
243,departure,1
244,outsiders,1
245,1980s,2
246,might,1
247,appeared,1
248,height,1
249,emphatic,2
250,support,1
251,electorate,1
252,won,1
253,referendums,1
254,keep,1
255,illegal,1
256,first,1
257,decade,1
258,challenges,1
259,hegemony,1
260,taking,1
261,root,1
262,introduction,1
263,free,2
264,secondary,1
265,education,1
266,along,1
267,growing,2
268,prevalence,1
269,television,1
270,homes,1
271,enhanced,1
272,disposable,1
273,income,1
274,increased,1
275,access,1
276,foreign,1
277,travel,1
278,generation,1
279,exposed,1
280,types,1
281,came,1
282,age,1
283,eventually,1
284,lead,1
285,win,1
286,journalist,1
287,patsy,1
288,mcgarry,1
289,referred,1
290,civil,1
291,wars,1
292,matters,1
293,contraception,1
294,ultimately,1
295,dislodging,1
296,important,1
297,slower,1
298,many,1
299,recognize,1
300,simply,1
301,transformed,1
302,european,1
303,also,1
304,caricature,1
305,archbishop,1
306,diarmuid,1
307,martin,1
308,published,1
309,article,1
310,entitled,1
311,post,3
312,america,1
313,national,1
314,review,1
315,explained,1
316,one,1
317,can,4
318,fully,1
319,define,1
320,terms,2
321,displaced,1
322,sociologist,1
323,gladys,1
324,ganiel,2
325,does,1
326,mean,1
327,island,1
