,term,count
0,for,14
1,decades,1
2,mario,1
3,batali,9
4,was,35
5,of,31
6,the,94
7,most,2
8,famous,2
9,and,46
10,respected,1
11,chefs,3
12,in,57
13,united,2
14,states,1
15,with,19
16,an,7
17,empire,2
18,built,2
19,on,18
20,pasta,1
21,brashness,1
22,he,7
23,is,6
24,now,4
25,under,1
26,criminal,1
27,investigation,1
28,by,11
29,new,8
30,york,5
31,police,1
32,department,1
33,a,55
34,week,1
35,ago,1
36,minutes,2
37,aired,1
38,investigative,2
39,segment,2
40,sexual,8
41,assault,1
42,harassment,10
43,allegations,5
44,against,7
45,mr,22
46,ken,1
47,friedman,4
48,restaurateur,1
49,woman,2
50,speaking,1
51,publicly,1
52,first,6
53,time,11
54,told,6
55,anderson,1
56,cooper,1
57,that,37
58,after,15
59,kissing,1
60,at,19
61,spotted,2
62,pig,2
63,downtown,1
64,restaurant,13
65,co,4
66,owned,1
67,she,56
68,vomited,1
69,blacked,1
70,out,4
71,dawn,1
72,said,26
73,awoke,1
74,scratches,1
75,her,30
76,leg,1
77,semen,1
78,skirt,1
79,both,4
80,have,10
81,denied,1
82,any,1
83,nonconsensual,1
84,activity,1
85,followed,1
86,reports,1
87,published,1
88,late,2
89,last,3
90,year,4
91,eater,2
92,times,2
93,response,2
94,to,43
95,episode,1
96,’s,17
97,revelations,2
98,bb,2
99,hospitality,2
100,group,4
101,his,5
102,partners,1
103,released,1
104,statement,4
105,calling,1
106,stories,1
107,chilling,1
108,stating,1
109,company,7
110,process,1
111,severing,1
112,ties,1
113,april,2
114,bloomfield,1
115,chef,5
116,owner,1
117,ending,1
118,partnership,1
119,i,23
120,deeply,1
121,regret,1
122,not,7
123,doing,1
124,more,6
125,protect,2
126,my,5
127,staff,2
128,who,10
129,relied,1
130,me,7
131,friday,1
132,announced,2
133,it,8
134,would,3
135,close,2
136,its,3
137,las,1
138,vegas,1
139,restaurants,7
140,july,4
141,been,6
142,cook,2
143,food,6
144,writer,1
145,than,4
146,years,3
147,feasting,1
148,feeding,1
149,eating,1
150,people,4
151,remains,1
152,generous,1
153,celebratory,1
154,act,1
155,find,1
156,beautiful,1
157,know,3
158,succeed,1
159,which,3
160,are,3
161,notoriously,1
162,challenging,1
163,physically,1
164,financially,1
165,passion,1
166,key,1
167,but,10
168,over,2
169,particular,1
170,past,1
171,months,1
172,’ve,2
173,also,3
174,realized,2
175,industry,11
176,darker,1
177,truths,1
178,gone,1
179,unchecked,1
180,far,2
181,too,4
182,long,3
183,we,1
184,embraced,1
185,celebrity,2
186,television,1
187,books,1
188,interviews,1
189,shown,1
190,behaving,1
191,or,3
192,discussing,1
193,behavior,1
194,toward,1
195,employees,3
196,should,1
197,alarmed,1
198,anyone,1
199,paying,1
200,attention,1
201,wrote,2
202,article,1
203,revealed,1
204,caused,1
205,him,3
206,step,2
207,away,1
208,from,9
209,day,3
210,operations,2
211,since,2
212,then,5
213,heard,2
214,dozens,1
215,women,9
216,about,12
217,their,3
218,experiences,2
219,gender,1
220,based,1
221,discrimination,1
222,culinary,1
223,school,2
224,graduate,1
225,man,1
226,had,13
227,dated,1
228,circulated,1
229,nude,1
230,pictures,1
231,around,4
232,kitchen,1
233,employed,1
234,later,4
235,sous,1
236,there,8
237,came,2
238,up,4
239,behind,1
240,as,10
241,worked,4
242,dinner,1
243,service,2
244,grabbed,1
245,vagina,1
246,shirt,1
247,ripped,1
248,off,3
249,when,7
250,working,5
251,line,1
252,early,2
253,career,4
254,attaining,1
255,multiple,4
256,stars,1
257,trouble,1
258,finding,1
259,investors,1
260,open,1
261,another,5
262,place,1
263,unlike,1
264,some,1
265,male,1
266,colleagues,1
267,fewer,1
268,accolades,1
269,relies,1
270,female,2
271,labor,1
272,has,2
273,done,2
274,little,1
275,work,8
276,force,1
277,representative,2
278,opportunities,1
279,centers,1
280,nonprofit,1
281,worker,1
282,advocacy,1
283,made,4
284,mostly,1
285,study,1
286,found,2
287,percent,1
288,workers,2
289,surveyed,1
290,reported,2
291,they,4
292,’d,5
293,sexually,3
294,harassed,2
295,thirds,1
296,them,1
297,managers,1
298,wake,1
299,appears,1
300,be,3
301,trying,1
302,change,2
303,monday,1
304,wine,2
305,magazine,1
306,best,1
307,featured,1
308,men,2
309,path,1
310,must,1
311,reckon,1
312,just,1
313,behaved,1
314,badly,1
315,invisible,1
316,category,1
317,were,4
318,sidelined,1
319,pushed,1
320,business,1
321,altogether,2
322,beth,1
323,lieberman,13
324,committed,1
325,started,3
326,server,6
327,momofuku,12
328,ko,1
329,david,1
330,chang,5
331,michelin,1
332,starred,1
333,east,1
334,village,2
335,climbed,1
336,ranks,1
337,become,1
338,beverage,6
339,director,4
340,october,1
341,promoted,1
342,overseeing,1
343,drink,1
344,menus,1
345,though,2
346,wanted,1
347,position,2
348,ms,28
349,surprised,1
350,timing,1
351,because,3
352,offer,2
353,third,1
354,trimester,1
355,planning,1
356,go,4
357,leave,4
358,employee,2
359,do,4
360,so,3
361,mid,1
362,december,1
363,weeks,1
364,before,4
365,baby,1
366,born,1
367,office,1
368,colleague,1
369,interrupted,1
370,comes,2
371,says,1
372,something,2
373,like,2
374,going,2
375,matter,1
376,what,4
377,you,2
378,guys,1
379,talking,1
380,pregnant,1
381,never,1
382,come,2
383,back,2
384,work’,1
385,well,2
386,n’t,7
387,really,1
388,choice,1
389,wo,1
390,eat’,1
391,through,1
392,did,5
393,recall,1
394,making,1
395,meeting,1
396,went,2
397,california,2
398,upon,1
399,return,2
400,rumors,1
401,discussed,1
402,jordan,1
403,salcito,5
404,deep,1
405,roots,1
406,world,4
407,asked,1
408,management,2
409,concern,2
410,being,2
411,replaced,1
412,paranoid,1
413,until,1
414,gave,1
415,birth,3
416,feb,1
417,began,1
418,days,1
419,coffee,1
420,became,2
421,clear,1
422,believed,1
423,same,1
424,job,6
425,this,2
426,contacted,2
427,lawyer,3
428,may,1
429,shortly,1
430,returning,2
431,got,2
432,description,1
433,title,1
434,unchanged,1
435,scope,1
436,diminished,1
437,vice,1
438,president,1
439,person,1
440,plenty,1
441,program,1
442,growing,1
443,loss,1
444,felt,1
445,tossed,1
446,aside,1
447,initially,1
448,inspiring,1
449,sue,2
450,negotiating,1
451,month,2
452,pay,1
453,severance,1
454,left,2
455,next,2
456,hired,3
457,assistant,1
458,reporting,1
459,story,1
460,learned,1
461,other,1
462,remained,2
463,giving,1
464,including,1
465,spoke,1
466,mentioned,1
467,high,3
468,ranking,1
469,alleged,3
470,discriminated,1
471,maternity,1
472,queries,1
473,these,1
474,heart,1
475,our,2
476,intentions,1
477,honorable,1
478,supporting,1
479,even,2
480,if,1
481,failures,1
482,communication,1
483,added,1
484,want,1
485,fair,1
486,equitable,1
487,everyone,1
488,today,1
489,works,2
490,real,1
491,estate,1
492,developers,1
493,opening,1
494,halls,1
495,took,3
496,fired,2
497,while,2
498,second,1
499,child,1
500,support,1
501,mother,1
502,changing,1
503,paths,1
504,lot,1
505,’m,1
506,still,2
507,angry,1
508,happened,1
509,phase,1
510,life,3
511,speak,1
512,powerful,1
513,bosses,2
514,general,1
515,risk,1
516,especially,2
517,fine,1
518,dining,1
519,blacklisting,1
520,concerns,1
