,term,count
0,on,12
1,tuesday,1
2,the,92
3,day,2
4,after,7
5,exciting,2
6,first,7
7,game,4
8,of,34
9,stanley,4
10,cup,4
11,finals,3
12,a,37
13,victory,1
14,for,23
15,plucky,1
16,vegas,3
17,golden,2
18,knights,2
19,over,3
20,veteran,1
21,washington,3
22,capitals,2
23,led,1
24,by,5
25,russian,11
26,star,1
27,alex,1
28,ovechkin,8
29,news,7
30,came,3
31,from,4
32,ukraine,3
33,that,21
34,journalist,3
35,who,9
36,had,18
37,fled,1
38,moscow,4
39,last,3
40,year,3
41,receiving,2
42,death,4
43,threats,2
44,been,9
45,shot,1
46,in,33
47,back,4
48,and,35
49,killed,5
50,while,2
51,returning,1
52,home,3
53,with,9
54,groceries,1
55,arkady,1
56,babchenko,14
57,served,1
58,army,2
59,both,1
60,chechen,3
61,wars,1
62,decades,1
63,ago,1
64,he,28
65,then,3
66,come,1
67,to,42
68,started,2
69,writing,3
70,about,8
71,what,1
72,it,13
73,was,22
74,like,3
75,chechnya,2
76,hired,4
77,as,4
78,kept,1
79,war,5
80,i,20
81,wrote,6
82,compulsively,1
83,recalled,1
84,my,4
85,way,5
86,work,1
87,metro,1
88,journalistic,1
89,assignments,1
90,at,5
91,night,1
92,needed,1
93,said,3
94,squeeze,1
95,out,5
96,system,1
97,these,5
98,writings,2
99,became,1
100,sad,1
101,humorous,1
102,brutal,1
103,book,2
104,stories,3
105,soldier,1
106,’s,15
107,which,2
108,english,1
109,helped,1
110,publish,1
111,magazine,1
112,other,2
113,veterans’,1
114,always,1
115,dreamed,2
116,children,1
117,but,9
118,years,3
119,already,2
120,’ve,1
121,written,1
122,bloated,1
123,corpses,1
124,heat,1
125,streets,1
126,ruined,1
127,cities,1
128,you,3
129,want,1
130,great,1
131,russia,7
132,here,2
133,she,2
134,is,14
135,harbored,1
136,no,2
137,illusions,1
138,president,4
139,boris,2
140,yeltsin,1
141,initiator,1
142,under,1
143,vladimir,1
144,putin,6
145,opposition,1
146,regime,3
147,its,3
148,supporters,1
149,hardened,1
150,late,1
151,facebook,2
152,pity,1
153,his,10
154,heart,1
155,red,2
156,choristers,1
157,perished,1
158,when,2
159,military,1
160,plane,1
161,crashed,1
162,into,2
163,black,1
164,sea,1
165,syria,1
166,where,6
167,they,4
168,were,2
169,sing,1
170,forces,1
171,recently,1
172,bombed,1
173,aleppo,1
174,post,1
175,harsh,1
176,uncompromising,1
177,turned,2
178,an,3
179,enemy,1
180,people,3
181,inside,1
182,months,1
183,later,1
184,left,1
185,moving,1
186,prague,1
187,israel,1
188,eventually,3
189,capital,1
190,kiev,2
191,promised,1
192,return,2
193,nato,1
194,tank,1
195,am,2
196,hockey,10
197,fan,1
198,particular,1
199,interest,1
200,complex,1
201,fate,1
202,wake,1
203,soviet,1
204,collapse,1
205,spent,3
206,morning,2
207,reading,3
208,up,4
209,read,1
210,charming,1
211,essay,1
212,evgeny,1
213,kuznetsov,3
214,brilliant,1
215,young,1
216,center,1
217,line,1
218,originally,1
219,industrial,1
220,city,2
221,chelyabinsk,1
222,near,1
223,ural,1
224,mountains,1
225,how,4
226,’d,1
227,boy,2
228,playing,2
229,national,1
230,league,1
231,got,2
232,older,1
233,maybe,3
234,old,2
235,finally,1
236,see,3
237,computer,1
238,time,1
239,youtube,1
240,everything,1
241,get,2
242,wayne,1
243,gretzky,1
244,plays,1
245,machine,1
246,play,3
247,alexei,1
248,kovalev,1
249,ilya,1
250,kovalchuk,1
251,ovi,2
252,nickname,1
253,watched,1
254,clip,1
255,canadian,1
256,writer,2
257,dave,1
