,term,count
0,remember,1
1,that,16
2,a,23
3,person,3
4,’s,8
5,name,14
6,is,13
7,to,18
8,the,24
9,sweetest,1
10,and,17
11,most,2
12,important,2
13,sound,2
14,in,24
15,any,1
16,language,1
17,so,4
18,said,3
19,dale,1
20,carnegie,1
21,his,3
22,self,1
23,improvement,1
24,classic,1
25,how,2
26,win,1
27,friends,1
28,influence,1
29,people,5
30,probably,3
31,true,1
32,for,6
33,majority,1
34,of,19
35,population,1
36,percent,4
37,like,5
38,their,4
39,names,8
40,according,2
41,survey,1
42,respondents,1
43,unfortunately,1
44,i,21
45,am,2
46,other,1
47,cringe,1
48,little,3
49,whenever,1
50,hear,2
51,someone,4
52,say,2
53,my,9
54,have,3
55,ever,1
56,since,3
57,was,7
58,child,1
59,earliest,1
60,memories,1
61,lady,2
62,department,1
63,store,1
64,asking,1
65,me,3
66,bursting,1
67,out,2
68,laughing,1
69,when,1
70,arthur,6
71,before,1
72,you,7
73,judge,1
74,let,1
75,acknowledge,1
76,it,12
77,actually,2
78,pretty,2
79,amusing,1
80,meet,2
81,kid,2
82,with,6
83,an,4
84,old,3
85,man,1
86,social,3
87,security,1
88,administration,1
89,maxed,1
90,popularity,3
91,back,1
92,’90s,1
93,has,3
94,fallen,1
95,rock,1
96,then,1
97,named,4
98,after,4
99,grandfather,1
100,even,2
101,he,1
102,complained,1
103,made,1
104,him,2
105,currently,1
106,does,1
107,n’t,3
108,crack,1
109,top,1
110,boys’,2
111,been,1
112,beaten,1
113,by,3
114,maximus,1
115,no,2
116,last,2
117,year,2
118,maverick,1
119,thing,1
120,constantly,1
121,from,4
122,first,2
123,time,3
124,imagined,2
125,as,2
126,being,1
127,much,1
128,older,1
129,do,2
130,take,1
131,this,4
132,flattery,1
133,because,2
134,at,3
135,’m,1
136,really,1
137,not,2
138,young,1
139,what,1
140,they,3
141,are,4
142,saying,1
143,about,6
144,years,2
145,why,1
146,tend,2
147,look,1
148,study,2
149,journal,2
150,personality,2
151,psychology,2
152,researchers,3
153,placed,1
154,images,1
155,unfamiliar,1
156,faces,1
157,front,1
158,participants,2
159,asked,2
160,them,1
161,guess,1
162,list,1
163,plausible,1
164,seeming,1
165,should,1
166,guessed,1
167,correctly,1
168,instead,1
169,got,1
170,right,1
171,found,2
172,similar,1
173,results,2
174,across,1
175,studies,2
176,case,2
177,wondering,1
178,fact,1
179,others,1
180,make,2
181,up,3
182,part,1
183,entire,1
184,field,1
185,called,2
186,onomastics,1
187,onomasticians,1
188,who,2
189,trained,1
190,various,1
191,scholarly,1
192,subdisciplines,1
193,proper,1
194,many,1
195,fascinating,1
196,favorite,1
197,onomastic,1
198,comes,1
199,economist,1
200,david,4
201,figlio,1
202,boys,2
203,more,3
204,feminine,1
205,sounding,1
206,misbehave,1
207,disproportionately,1
208,upon,1
209,entry,1
210,middle,1
211,school,1
212,compared,1
213,traditionally,1
214,masculine,1
215,if,1
216,your,2
217,son,1
218,trouble,1
219,beating,1
220,another,2
221,own,2
222,fault,1
223,naming,2
224,robin,1
225,victim,1
226,way,2
227,finding,1
228,note,1
229,published,1
230,gravitate,1
231,toward,1
232,places,1
233,residence,1
234,occupations,1
235,resemble,1
236,assert,1
237,higher,1
238,proportion,1
239,men,1
240,louis,2
241,live,1
242,st,1
243,than,1
244,would,2
245,occur,1
246,random,1
247,lot,2
248,dennis,1
249,or,1
250,denise,1
251,become,1
252,dentists,1
253,had,1
254,never,1
255,occurred,1
256,there,1
257,were,3
258,dark,1
259,forces,1
260,work,1
261,making,1
262,into,1
263,author,1
264,all,3
265,makes,1
266,sense,1
267,now,1
268,attenuate,1
269,impact,1
270,marry,1
271,somehow,1
272,offsets,1
273,yours,1
274,date,1
275,but,2
276,did,1
277,opposite,1
278,married,2
279,ester,1
280,common,1
281,her,3
282,native,1
283,barcelona,1
284,1960s,1
285,here,1
286,america,1
287,mostly,1
288,predates,1
289,world,1
290,war,1
291,matters,1
292,worse,2
293,we,3
294,our,1
295,home,1
296,boca,1
297,raton,1
298,fla,1
299,aggressively,1
300,pursued,1
301,telemarketers,1
302,burial,1
303,plots,1
304,medigap,1
305,insurance,1
306,once,1
307,heard,1
308,aversion,1
309,condition,1
310,nomomisia,1
311,suppose,1
312,suffer,1
313,autonomomisia,1
314,yes,1
315,autonomomisist,1
316,still,1
317,keep,1
318,things,1
319,perspective,1
320,everything,1
321,else,1
322,life,1
323,could,1
324,be,1
325,ago,1
326,mother,1
327,talking,1
328,second,3
329,choice,1
330,brooks,1
331,nice,1
332,ring,1
333,popular,1
334,decade,1
335,born,1
336,also,1
337,beloved,1
338,father,1
339,she,1
340,thought,3
341,minute,1
342,well,1
343,chester,1
344,know,1
345,on,1
346,bad,1
