,term,count
0,the,77
1,supreme,3
2,court,3
3,has,3
4,ruled,3
5,on,8
6,masterpiece,4
7,cake,2
8,case,2
9,and,24
10,surface,1
11,it,27
12,would,17
13,appear,1
14,to,24
15,be,19
16,a,22
17,loss,3
18,for,15
19,lgbtq,10
20,americans,8
21,justices,1
22,that,23
23,colorado,1
24,civil,2
25,rights,9
26,commission,2
27,violated,1
28,religious,3
29,freedom,2
30,of,43
31,baker,2
32,jack,1
33,phillips,1
34,when,5
35,sanctioned,1
36,him,1
37,refusing,1
38,make,3
39,wedding,1
40,gay,4
41,couple,1
42,charlie,1
43,craig,1
44,david,1
45,mullins,1
46,in,29
47,’s,7
48,hostility,1
49,was,5
50,inconsistent,1
51,with,6
52,first,2
53,amendment,10
54,guarantee,3
55,our,7
56,laws,1
57,applied,1
58,manner,1
59,is,13
60,neutral,1
61,toward,1
62,religion,1
63,justice,3
64,anthony,1
65,kennedy,2
66,wrote,2
67,majority,1
68,spite,2
69,this,9
70,ruling,1
71,relatively,1
72,narrow,1
73,outcome,1
74,cases,1
75,like,3
76,other,4
77,circumstances,1
78,must,2
79,await,1
80,further,1
81,elaboration,1
82,courts,1
83,all,4
84,context,1
85,recognizing,1
86,these,3
87,disputes,1
88,resolved,1
89,tolerance,1
90,without,3
91,undue,1
92,disrespect,1
93,sincere,1
94,beliefs,1
95,subjecting,1
96,persons,1
97,indignities,1
98,they,2
99,seek,1
100,goods,1
101,services,1
102,an,3
103,open,1
104,market,1
105,words,1
106,while,1
107,people,6
108,question,2
109,how,3
110,balance,1
111,queer,3
112,remains,1
113,unresolved,1
114,will,5
115,most,3
116,likely,1
117,continue,1
118,explored,1
119,debated,1
120,future,2
121,by,7
122,not,11
123,least,1
124,more,5
125,than,3
126,itself,1
127,greater,1
128,we,9
129,lose,1
130,are,3
131,considered,4
132,debatable,1
133,even,1
134,if,4
135,had,1
136,unanimously,1
137,against,2
138,fact,2
139,still,3
140,second,1
141,class,1
142,citizens,1
143,many,2
144,aspects,1
145,civic,2
146,life,2
147,can,5
148,legally,1
149,fired,1
150,or,4
151,denied,2
152,housing,1
153,states,5
154,anti,1
155,bills,1
156,have,6
157,been,3
158,introduced,1
159,past,2
160,years,6
161,oklahoma,1
162,lesbian,1
163,couples,1
164,ability,1
165,adopt,1
166,children,1
167,n’t,6
168,changed,1
169,any,3
170,just,7
171,as,12
172,obergefell,1
173,v,1
174,hodges,1
175,did,3
176,change,1
177,rescinding,1
178,military,1
179,do,3
180,ask,1
181,tell,1
182,policy,1
183,only,2
184,thing,1
185,truly,1
186,enshrine,2
187,equal,4
188,protection,2
189,under,3
190,law,4
191,including,1
192,constitution,3
193,call,1
194,dignity,4
195,text,1
196,might,1
197,read,1
198,equality,2
199,shall,1
200,abridged,2
201,united,1
202,state,3
203,account,1
204,sex,2
205,sexual,2
206,orientation,2
207,gender,2
208,identity,2
209,brainchild,1
210,sarah,1
211,kate,1
212,ellis,1
213,president,2
214,chief,1
215,executive,1
216,glaad,2
217,where,1
218,i,3
219,served,1
220,co,1
221,chairwoman,1
222,board,1
223,directors,1
224,treated,1
225,send,1
226,message,1
227,part,2
228,fabric,1
229,nation,1
230,taxpayers,1
231,participants,1
232,country,4
233,because,2
234,private,1
235,lives,2
236,clear,1
237,once,2
238,includes,1
239,everybody,1
240,what,1
241,turn,2
242,you,1
243,demand,2
244,bathrooms,1
245,coed,1
246,elide,1
247,differences,1
248,between,1
249,men,2
250,women,3
251,eliminate,1
252,child,1
253,support,1
254,force,1
255,pay,1
256,abortion,1
257,some,2
258,fears,1
259,sound,1
260,familiar,1
261,ridiculous,1
262,’re,1
263,among,2
264,canards,1
265,conservatives,1
266,inflicted,1
267,upon,1
268,us,2
269,regarding,1
270,unratified,1
271,over,4
272,yet,1
273,barrage,1
274,misinformation,1
275,era,4
276,given,1
277,up,1
278,dead,2
279,after,3
280,stalled,1
281,short,2
282,ratification,1
283,continued,1
284,progress,1
285,last,2
286,year,1
287,nevada,1
288,ratified,2
289,month,1
290,illinois,1
291,same,1
292,leaves,1
293,go,1
294,although,1
295,recent,1
296,time,2
297,limit,2
298,expired,1
299,were,2
300,pass,1
301,legal,1
302,showdown,1
303,ensue,1
304,good,1
305,reason,1
306,unique,1
307,having,2
308,imposed,1
309,27th,1
310,passed,1
311,michigan,1
312,james,1
313,madison,1
314,proposed,2
315,those,1
316,advocacy,1
317,watched,1
318,interest,1
319,presumed,1
320,revivified,1
321,changing,1
322,culture,1
323,metoo,1
324,movement,1
325,surely,1
326,another,1
327,critics,1
328,say,1
329,prevention,1
330,discrimination,2
331,basis,2
332,already,1
333,settled,1
334,addressed,1
335,statutes,1
336,14th,1
337,but,3
338,plenty,1
339,look,3
340,at,2
341,harvey,1
342,weinstein,1
343,trump,1
344,wonder,2
345,fairly,1
346,enough,1
347,equals,1
348,hold,1
349,sway,1
350,helped,2
351,passage,2
352,sure,2
353,act,2
354,addendum,1
355,provides,2
356,explicit,2
357,protections,1
358,neither,1
359,kind,1
360,incontrovertible,1
361,affirmation,1
362,things,1
363,dramatic,1
364,historic,1
365,actions,1
366,suggest,1
367,setting,1
368,humanity,1
369,into,1
370,stone,1
371,requires,1
372,nothing,1
373,less,2
374,back,2
375,their,1
376,history,1
377,sometimes,1
378,dismay,1
379,possible,1
380,authors,1
381,so,2
382,brilliant,1
383,ways,1
384,also,1
385,capable,1
386,counting,1
387,black,1
388,inhabitant,1
389,fifths,1
390,person,1
391,really,2
392,ago,2
393,fought,1
394,war,1
395,slavery,1
396,got,1
397,right,1
398,vote,1
399,believe,1
400,generations,1
401,reluctance,1
402,provide,1
403,similar,1
404,sense,2
405,astonishment,1
406,wo,1
407,take,1
408,long,1
409,either,1
410,percent,2
411,millennials,1
412,according,1
413,study,1
414,identify,1
415,consider,1
416,themselves,1
417,straight,1
418,allies,1
419,day,1
420,coming,1
421,describe,1
422,yourself,1
423,way,1
424,american,1
425,unexceptional,1
426,always,1
427,ought,1
428,meantime,1
429,defeat,4
430,qualified,1
431,may,1
432,well,1
433,revisited,1
434,bigger,1
435,citizen,1
436,challenged,1
437,discussed,1
438,put,1
439,forth,1
440,debate,1
441,place,1
442,matter,2
443,common,1
444,deliverance,1
