,term,count
0,jason,1
1,clark,1
2,has,5
3,lived,1
4,near,1
5,amity,1
6,in,29
7,the,75
8,southwestern,2
9,part,1
10,of,48
11,state,6
12,since,3
13,he,4
14,was,9
15,born,1
16,likes,1
17,to,33
18,call,2
19,urban,1
20,americans,6
21,hypocrites,1
22,at,8
23,’s,9
24,president,1
25,pork,1
26,association,1
27,washington,2
28,county,3
29,which,3
30,sits,1
31,edge,1
32,appalachia,4
33,city,1
34,dwellers,1
35,are,5
36,consumers,1
37,as,7
38,sees,1
39,it,9
40,they,10
41,gobble,1
42,up,3
43,resources,2
44,like,4
45,meat,1
46,and,47
47,coal,7
48,natural,4
49,gas,10
50,without,1
51,knowing,1
52,where,2
53,come,1
54,from,5
55,or,3
56,thinking,1
57,much,1
58,about,3
59,toll,2
60,that,15
61,rural,4
62,pay,3
63,supply,1
64,them,5
65,there,1
66,a,33
67,term,2
68,for,16
69,economists,1
70,resource,3
71,curse,2
72,paradox,1
73,plenty,1
74,political,3
75,scientists,1
76,development,1
77,experts,1
78,have,7
79,used,1
80,explain,1
81,why,1
82,countries,1
83,richest,1
84,fossil,1
85,fuels,1
86,tend,1
87,remain,1
88,poor,2
89,problem,1
90,contend,1
91,lies,1
92,toxic,2
93,impact,1
94,large,2
95,influxes,1
96,cash,2
97,easy,2
98,money,2
99,displaces,1
100,more,7
101,productive,1
102,economic,1
103,activity,1
104,fosters,1
105,weak,1
106,governments,1
107,typically,1
108,scholars,1
109,apply,1
110,poorer,1
111,continents,1
112,yet,2
113,affects,1
114,america,1
115,also,6
116,nowhere,2
117,so,2
118,than,4
119,oil,9
120,discovered,1
121,western,1
122,pennsylvania,10
123,1850s,1
124,century,1
125,companies,4
126,clear,1
127,cut,1
128,hollows,1
129,burrow,1
130,into,5
131,earth,1
132,below,1
133,corporations,2
134,influenced,1
135,local,3
136,politicians,1
137,owned,1
138,businesses,1
139,set,1
140,price,2
141,bread,1
142,number,1
143,hours,1
144,workday,1
145,time,2
146,these,5
147,supplied,1
148,jobs,2
149,by,9
150,extension,1
151,built,1
152,communities,2
153,churches,1
154,schools,1
155,grew,2
156,around,1
157,mines,1
158,education,1
159,n’t,2
160,really,2
161,focus,1
162,laborers,1
163,best,3
164,paid,2
165,positions,1
166,were,3
167,underground,1
168,required,1
169,high,1
170,levels,1
171,specialized,1
172,skill,1
173,learned,1
174,on,9
175,job,1
176,over,1
177,past,1
178,several,1
179,decades,1
180,market,1
181,forces,1
182,dwindling,1
183,supplies,1
184,pushed,1
185,bankruptcy,1
186,’ve,5
187,abandoned,2
188,towns,6
189,leaving,2
190,behind,1
191,ravages,1
192,slag,1
193,heaps,1
194,thousands,1
195,miles,1
196,streams,1
197,rivers,1
198,polluted,1
199,acid,1
200,mine,1
201,drainage,1
202,drive,1
203,along,2
204,border,1
205,between,1
206,west,1
207,virginia,1
208,you,1
209,’ll,1
210,see,2
211,waterways,1
212,bright,1
213,orange,1
214,hunters’,1
215,vests,1
216,neither,2
217,nor,1
218,can,3
219,afford,1
220,cleanup,1
221,costs,3
222,fracking,3
223,however,1
224,promised,1
225,be,3
226,different,1
227,when,1
228,boom,1
229,arrived,1
230,region,1
231,decade,1
232,ago,1
233,came,1
234,with,9
235,assurances,1
236,would,6
237,burn,1
238,cleaner,1
239,releasing,1
240,only,2
241,half,1
242,amount,1
243,carbon,1
244,atmosphere,1
245,its,5
246,proponents,1
247,argued,1
248,after,2
249,environmental,7
250,footprint,1
251,small,5
252,disappear,1
253,landscape,1
254,residents,1
255,who,7
256,’d,1
257,experienced,1
258,generations,1
259,mining,1
260,drilling,2
261,their,8
262,farms,2
263,well,1
264,versed,1
265,language,1
266,mineral,3
267,rights,8
268,brought,1
269,possibility,1
270,finally,1
271,profiting,1
272,off,2
273,land,3
274,signing,3
275,lucrative,2
276,leases,3
277,beneath,1
278,feet,1
279,years,1
280,i,4
281,spent,1
282,reporting,1
283,watched,1
284,industry,1
285,build,2
286,influence,1
287,buying,1
288,farm,3
289,livestock,1
290,competition,1
291,fair,1
292,placing,1
293,favorable,1
294,articles,1
295,papers,1
296,content,1
297,featured,1
298,shaleionaires,1
299,handful,1
300,farmers,1
301,profited,1
302,mightily,1
303,such,2
304,corporate,2
305,tactics,1
306,sow,1
307,discord,1
308,among,2
309,neighbors,2
310,find,1
311,themselves,3
312,winners,1
313,losers,1
314,lottery,1
315,driven,1
316,energy,4
317,markets,1
318,an,8
319,influx,1
320,some,1
321,larger,1
322,landowners,1
323,gotten,1
324,rich,1
