,term,count
0,first,3
1,donald,1
2,trump,21
3,remade,1
4,the,60
5,republican,2
6,party,1
7,in,28
8,his,15
9,own,4
10,image,1
11,and,39
12,now,4
13,he,4
14,is,10
15,trying,2
16,to,40
17,remake,1
18,america,3
19,same,1
20,way,3
21,into,2
22,a,22
23,selfish,1
24,dishonest,2
25,country,3
26,with,13
27,no,2
28,close,1
29,friends,1
30,totally,1
31,unpredictable,1
32,free,1
33,of,22
34,any,7
35,commitment,1
36,enduring,1
37,values,2
38,ready,2
39,stab,1
40,ally,2
41,back,3
42,on,13
43,twitter,1
44,if,12
45,it,16
46,does,2
47,n’t,7
48,do,4
49,our,8
50,bidding,1
51,much,2
52,more,14
53,comfortable,1
54,mafia,1
55,like,2
56,dictators,1
57,than,5
58,elected,1
59,democrats,1
60,god,1
61,forbid,1
62,we,13
63,become,1
64,united,1
65,states,2
66,that,18
67,would,4
68,threaten,1
69,future,1
70,stability,1
71,world,3
72,has,6
73,come,1
74,rely,1
75,an,2
76,often,2
77,not,6
78,been,1
79,pay,1
80,price,1
81,bear,1
82,burden,1
83,right,4
84,things,6
85,say,3
86,model,1
87,stand,1
88,for,12
89,when,1
90,others,1
91,were,1
92,unwilling,1
93,or,4
94,unable,1
95,so,5
96,all,4
97,tangible,1
98,intangible,1
99,benefits,1
100,flowing,1
101,from,2
102,global,3
103,order,1
104,generated,1
105,helped,1
106,make,3
107,us,6
108,richest,1
109,most,2
110,secure,9
111,respected,1
112,nation,2
113,history,1
114,need,4
115,prosperity,1
116,inclusive,1
117,but,5
118,becoming,1
119,ugly,1
120,will,9
121,only,2
122,insecure,1
123,fox,1
124,news,1
125,chorus,1
126,’s,14
127,awfully,1
128,churlish,1
129,friedman,1
130,after,3
131,may,1
132,deserve,1
133,nobel,2
134,peace,1
135,prize,3
136,denuclearization,2
137,deal,1
138,just,7
139,forged,1
140,north,2
141,korea,2
142,i,5
143,’m,1
144,glad,1
145,sat,1
146,down,1
147,jong,2
148,un,2
149,nothing,2
150,else,1
151,worked,1
152,better,2
153,at,5
154,breaking,1
155,making,1
156,such,2
157,chump,1
158,anyone,1
159,who,7
160,flatters,1
161,him,4
162,too,1
163,soon,1
164,what,3
165,be,4
166,implemented,1
167,out,3
168,this,4
169,singapore,1
170,fling,1
171,korean,1
172,peninsula,1
173,’ll,2
174,personally,1
175,nominate,2
176,let,3
177,see,2
178,’d,1
179,ignoble,1
180,given,1
181,leader,2
182,uses,1
183,presidential,1
184,prerogatives,1
185,undermine,2
186,personal,1
187,security,2
188,citizens,1
189,ways,1
190,year,1
191,before,1
192,tell,1
193,me,1
194,are,11
195,you,12
196,really,3
197,feeling,8
198,today,1
199,have,4
200,pre,4
201,existing,3
202,medical,2
203,condition,1
204,relying,1
205,obamacare,4
206,guarantee,2
207,your,1
208,treatment,1
209,change,7
210,health,4
211,insurers,1
212,case,3
213,missed,1
214,tumult,1
215,churned,1
216,up,3
217,lately,1
218,justice,1
219,department,1
220,quietly,1
221,indicated,1
222,last,4
223,week,2
224,defend,2
225,major,3
226,parts,1
227,affordable,1
228,care,3
229,act,1
230,pro,1
231,forces,1
232,having,1
233,failed,1
234,kill,2
235,congress,2
236,through,1
237,lower,1
238,courts,1
239,includes,1
240,requirement,1
241,insurance,3
242,companies,2
243,access,1
244,coverage,1
245,without,4
246,bias,1
247,against,2
248,people,2
249,conditions,2
250,implications,1
251,senator,1
252,susan,1
253,collins,1
254,maine,1
255,voted,1
256,repealing,1
257,put,1
258,best,1
259,decision,1
260,key,1
261,provisions,1
262,suit,1
263,filed,1
264,by,2
265,texas’,1
266,attorney,1
267,general,1
268,other,2
269,creates,1
270,further,1
271,uncertainty,1
272,could,1
273,ultimately,1
274,result,1
275,higher,2
276,costs,2
277,millions,1
278,americans,1
279,essential,1
280,protections,1
281,as,6
282,asthma,1
283,cancer,1
284,heart,1
285,disease,1
286,arthritis,1
287,diabetes,1
288,picked,1
289,fight,1
290,closest,1
291,nato,1
292,allies,3
293,including,2
294,canada,4
295,prime,1
296,minister,1
297,justin,1
298,trudeau,2
299,team,1
300,said,2
301,stabbed,2
302,mild,1
303,mannered,1
304,defense,1
305,trade,3
306,policy,1
307,dairy,1
308,imports,1
309,had,1
310,nary,1
311,word,1
312,censure,1
313,russia,2
314,president,5
315,vladimir,1
316,putin,2
317,chest,1
318,biggest,1
319,cyberattack,1
320,democracy,1
321,ever,2
322,happens,1
323,there,2
324,another,2
325,help,1
326,something,2
327,buying,1
328,milk,1
329,want,1
330,its,2
331,neighbor,1
332,compromised,1
333,rapidly,1
334,alienating,1
335,every,1
336,whom,2
337,confronted,1
338,nazism,1
339,communism,1
340,radical,1
341,islamism,1
342,years,3
343,times,2
344,reported,2
345,since,1
346,name,1
347,science,2
348,adviser,1
349,position,1
350,created,1
351,during,1
352,war,2
353,guide,1
354,oval,1
355,office,2
356,technical,1
357,matters,1
358,ranging,1
359,nuclear,2
360,warfare,1
361,pandemics,1
362,relies,1
363,instincts,3
364,instead,1
365,told,2
366,climate,8
367,hoax,2
368,even,4
369,was,1
370,chance,1
371,kim,1
372,launch,1
373,missile,1
374,must,1
375,everything,1
376,possible,1
377,buy,1
378,ca,1
379,happen,1
380,meant,1
381,emptive,1
382,where,1
383,overwhelming,1
384,majority,1
385,scientists,1
386,government,3
387,human,2
388,induced,1
389,percent,1
390,real,1
391,join,1
392,industrial,1
393,powers,1
394,paris,2
395,agreement,1
396,reduce,1
397,carbon,1
398,emissions,1
399,avoid,1
