,term,count
0,when,3
1,i,6
2,was,3
3,a,19
4,college,1
5,student,2
6,using,4
7,ai,2
8,powered,1
9,facial,15
10,detection,1
11,software,4
12,for,10
13,coding,1
14,project,2
15,the,57
16,robot,1
17,programmed,1
18,could,2
19,n’t,3
20,detect,1
21,my,6
22,dark,2
23,skinned,3
24,face,9
25,had,2
26,to,33
27,borrow,1
28,white,6
29,roommate,1
30,’s,12
31,finish,1
32,assignment,1
33,later,1
34,working,1
35,on,14
36,another,1
37,as,5
38,graduate,1
39,at,3
40,mit,1
41,media,1
42,lab,1
43,resorted,1
44,wearing,1
45,mask,1
46,have,4
47,presence,1
48,recognized,1
49,experience,1
50,is,10
51,reminder,1
52,that,20
53,artificial,2
54,intelligence,2
55,often,2
56,heralded,1
57,its,2
58,potential,2
59,change,1
60,world,1
61,can,7
62,actually,1
63,reinforce,1
64,bias,4
65,and,29
66,exclusion,1
67,even,4
68,it,10
69,used,8
70,in,21
71,most,1
72,well,2
73,intended,1
74,ways,2
75,systems,3
76,are,9
77,shaped,1
78,by,4
79,priorities,1
80,prejudices,1
81,conscious,1
82,unconscious,1
83,of,31
84,people,11
85,who,5
86,design,1
87,them,1
88,phenomenon,1
89,refer,1
90,coded,2
91,gaze,2
92,research,2
93,has,4
94,shown,1
95,automated,1
96,inform,1
97,decisions,3
98,about,1
99,sentencing,1
100,produce,1
101,results,2
102,biased,2
103,against,2
104,black,2
105,those,3
106,selecting,1
107,targets,1
108,online,1
109,advertising,1
110,discriminate,1
111,based,1
112,race,2
113,gender,4
114,specifically,1
115,comes,1
116,algorithmic,2
117,analysis,7
118,technology,19
119,area,1
120,focus,1
121,work,1
122,with,6
123,justice,1
124,league,1
125,google,1
126,photo,1
127,application,2
128,labeling,1
129,images,1
130,gorillas,1
131,works,1
132,men,2
133,but,5
134,less,2
135,so,2
136,everyone,1
137,else,1
138,infamous,1
139,examples,1
140,disturbing,2
141,they,3
142,do,5
143,not,6
144,fully,1
145,capture,1
146,risks,2
147,this,5
148,increasingly,2
149,being,3
150,law,4
151,enforcement,2
152,border,2
153,control,1
154,school,2
155,surveillance,1
156,hiring,6
157,products,1
158,company,2
159,called,1
160,hirevue,4
161,which,1
162,over,4
163,companies,4
164,including,1
165,nike,1
166,unilever,1
167,atlanta,1
168,public,2
169,schools,1
170,allow,1
171,employers,1
172,interview,1
173,job,1
174,applicants,2
175,camera,1
176,rate,3
177,videos,1
178,each,1
179,candidate,3
180,according,3
181,verbal,3
182,nonverbal,3
183,cues,3
184,aim,1
185,reduce,1
186,there,5
187,catch,1
188,system,2
189,ratings,1
190,business,1
191,insider,1
192,reporter,1
193,tested,3
194,discussed,1
195,chief,1
196,officer,1
197,reflect,1
198,previous,2
199,preferences,1
200,managers,1
201,if,4
202,more,2
203,males,1
204,generally,1
205,homogeneous,1
206,mannerisms,1
207,been,5
208,hired,1
209,past,1
210,possible,2
211,algorithms,1
212,will,2
213,be,5
214,trained,1
215,favorably,1
216,predominantly,1
217,fair,1
218,male,3
219,candidates,2
220,while,1
221,penalizing,1
222,women,4
223,color,1
224,exhibit,1
225,same,1
226,repeatedly,2
227,proven,1
228,apart,1
229,from,7
230,tend,1
231,make,2
232,favoring,1
233,all,3
234,other,1
235,things,1
236,equal,1
237,mind,1
238,instinct,1
239,hand,1
240,rating,1
241,employees,1
242,understandable,1
243,how,2
244,we,6
245,know,2
246,qualified,1
247,whose,1
248,tied,1
249,age,1
250,sexual,1
251,orientation,1
252,or,2
253,depart,1
254,high,1
255,performers,1
256,train,1
257,algorithm,1
258,scored,1
259,lower,1
260,than,3
261,similar,1
262,closely,1
263,resemblesthe,1
264,group,1
265,wo,1
266,test,1
267,tests,1
268,done,1
269,raise,1
270,concerns,1
271,collaboration,1
272,computer,1
273,vision,1
274,expert,1
275,timnit,1
276,gebru,1
277,investigated,1
278,accuracy,2
279,ibm,1
280,microsoft,1
281,simple,1
282,task,1
283,guessing,1
284,companies’,1
285,performed,1
286,better,1
287,faces,5
288,female,1
289,especially,1
290,struggled,1
291,african,1
292,worst,1
293,case,2
294,percent,2
295,accurate,2
296,given,1
297,susceptible,1
298,seems,1
299,recreating,1
300,racial,1
301,hope,1
302,increase,1
303,fairness,1
304,should,3
305,check,1
306,their,2
307,sure,1
308,amplifying,1
309,biases,1
310,informed,2
311,someday,1
312,lawsuits,1
313,charging,1
314,program,1
315,negative,1
316,disparate,1
317,impact,1
318,minority,1
319,violation,1
320,title,1
321,vii,1
322,civil,1
323,rights,1
324,act,1
325,extend,1
326,beyond,1
327,center,1
328,privacy,1
329,georgetown,2
330,half,1
331,adults,1
332,united,3
333,states,3
334,currently,1
335,recognition,8
336,database,1
337,networks,1
338,searched,1
339,police,5
340,departments,1
341,without,2
342,warrant,1
343,these,1
344,searches,1
345,reliant,1
346,different,1
347,groups,1
348,matters,1
349,because,1
350,misidentification,1
351,subject,1
352,innocent,2
353,scrutiny,1
354,erroneous,1
355,criminal,1
356,charges,1
357,south,1
358,wales,1
359,where,1
360,big,1
361,brother,1
362,watch,1
363,reports,1
364,between,1
365,may,1
366,march,1
367,misidentified,1
368,were,1
369,stored,1
370,department,3
371,consent,3
372,reported,1
373,false,2
374,positive,2
375,identification,1
376,important,1
377,remember,1
378,match,1
379,rates,1
380,improve,1
381,unfair,1
382,use,5
383,fixed,1
384,patch,1
385,baltimore,2
386,identify,1
387,arrest,1
388,attended,1
389,protests,1
390,misconduct,1
391,followed,1
392,freddie,1
393,gray,1
394,death,1
395,need,1
396,challenge,1
397,growing,1
398,some,1
399,progress,1
400,front,1
401,aclu,1
402,calling,1
403,amazon,2
404,stop,1
405,selling,1
406,contesting,1
407,car,1
408,vehicle,1
409,mexico,1
410,though,1
411,lawmakers,2
412,texas,1
413,illinois,1
414,california,1
415,made,1
416,legislative,1
417,efforts,1
418,regulate,1
419,no,1
420,federal,3
421,laws,1
422,yet,1
423,blueprint,1
424,report,1
425,proposed,1
426,model,1
427,legislation,1
428,policymakers,1
429,embrace,1
430,also,1
431,learn,1
432,international,1
433,models,1
434,unlike,1
435,canada,1
436,statute,1
437,governing,1
438,biometric,1
439,data,2
440,private,1
441,sector,1
442,like,1
443,facebook,1
444,must,2
445,obtain,1
446,collect,1
447,citizens’,1
448,unique,1
449,information,1
450,european,1
451,union,1
452,article,1
453,general,1
454,protection,1
455,regulation,1
456,requires,1
457,express,1
458,affirmative,1
459,collection,1
460,biometrics,1
461,citizens,1
462,everyday,1
463,support,1
464,activists,1
465,interest,1
466,technologists,1
467,demanding,1
468,transparency,1
469,equity,1
470,accountability,1
471,governs,1
472,our,2
473,lives,2
474,penetrating,1
475,still,1
476,time,1
477,prevent,1
478,worsening,1
479,social,1
480,inequalities,1
