,term,count
0,thursday,1
1,’s,6
2,supreme,4
3,court,6
4,decision,6
5,has,4
6,changed,1
7,how,2
8,states,10
9,can,4
10,tax,13
11,online,14
12,shopping,2
13,in,8
14,south,3
15,dakota,4
16,v,2
17,wayfair,1
18,inc,1
19,the,36
20,upheld,1
21,a,10
22,state,5
23,law,1
24,that,8
25,allows,1
26,officials,1
27,to,22
28,collect,2
29,sales,4
30,taxes,7
31,from,4
32,other,3
33,states’,1
34,businesses,7
35,sell,2
36,residents,1
37,is,7
38,loss,1
39,for,10
40,consumers,4
41,small,3
42,and,21
43,future,1
44,of,11
45,e,1
46,commerce,1
47,justices,1
48,overruled,1
49,quill,2
50,corporation,1
51,north,1
52,which,2
53,set,1
54,standard,1
55,purchases,2
56,until,1
57,now,5
58,could,2
59,only,2
60,have,3
61,physical,2
62,presence,2
63,like,4
64,stores,2
65,or,4
66,warehouses,1
67,their,7
68,this,9
69,huge,1
70,departure,1
71,legal,1
72,precedent,1
73,threatens,1
74,devastating,1
75,increase,1
76,compliance,3
77,costs,2
78,entrepreneurs,2
79,sellers,1
80,on,3
81,etsy,1
82,ebay,1
83,ruling,4
84,subjects,1
85,internet,2
86,based,3
87,taxation,1
88,without,1
89,representation,1
90,seller,2
91,must,2
92,calculate,1
93,remit,1
94,whichever,1
95,buyer,2
96,lives,1
97,including,1
98,those,1
99,no,4
100,employees,1
101,voting,1
102,power,1
103,political,2
104,voice,1
105,will,1
106,be,2
107,responsible,1
108,adhering,1
109,burden,1
110,audited,1
111,as,1
112,result,1
113,think,1
114,it,4
115,when,1
116,you,5
117,pull,1
118,into,1
119,gas,5
120,station,4
121,fill,1
122,up,1
123,attendant,2
124,does,2
125,not,2
126,check,1
127,your,4
128,license,2
129,plate,1
130,driver,1
131,order,1
132,charge,1
133,rate,1
134,home,1
135,address,1
136,send,1
137,off,1
138,payment,1
139,authorities,1
140,owner,1
141,calculates,1
142,location,1
143,collects,1
144,sends,1
145,his,1
146,local,1
147,authority,1
148,approach,1
149,preserves,1
150,healthy,1
151,competition,2
152,among,3
153,new,3
154,york,1
155,hike,1
156,so,1
157,high,2
158,before,1
159,everyone,1
160,starts,1
161,drive,1
162,across,1
163,border,1
164,jersey,1
165,unfortunately,1
166,away,1
167,with,4
168,competitive,1
169,system,1
170,people,2
171,who,2
172,buy,1
173,export,1
174,policies,1
175,reach,1
176,outside,1
177,borders,1
178,beneficial,1
179,rivalry,1
180,diminished,1
181,puts,1
182,both,2
183,entrepreneur,1
184,at,1
185,disadvantage,1
186,equivalent,1
187,calculating,1
188,where,2
189,live,1
190,are,2
191,pumping,1
192,means,1
193,longer,1
194,vote,1
195,wallets,1
196,by,3
197,taking,1
198,elsewhere,1
199,fewer,1
200,consequences,1
201,there,2
202,less,1
203,incentive,1
204,keep,1
205,rates,1
206,reasonable,1
207,spent,1
208,years,1
209,trying,1
210,reverse,1
211,persuade,1
212,congress,3
213,pass,1
214,supportive,1
215,legislation,1
216,problem,1
217,unpopular,1
218,voters,1
219,bills,1
220,marketplace,1
221,fairness,1
222,act,3
223,remote,1
224,transactions,1
225,parity,1
226,introduced,1
227,last,1
228,year,1
229,were,1
230,doomed,1
231,general,1
232,opposition,1
233,more,3
234,but,1
235,they,2
236,may,1
237,find,1
238,second,1
239,wind,1
240,after,1
241,underestimates,1
242,importance,1
243,preventing,1
244,regulating,1
245,taxing,1
246,business,2
247,owners,1
248,step,1
249,consider,1
250,plans,1
251,reforming,1
252,reduce,1
253,damage,1
254,legislators,1
255,should,2
256,clarify,1
257,reinforce,1
258,principles,1
259,presented,1
260,enormous,1
261,opportunities,1
262,dreamed,1
263,starting,1
264,own,1
265,american,1
266,reaped,1
267,reward,1
268,doubt,1
269,made,1
270,much,1
271,easier,1
272,convenient,1
273,busy,1
274,parents,1
275,rural,1
276,americans,1
277,get,2
278,items,1
279,need,1
280,families,1
281,quickly,1
282,work,1
283,protecting,1
284,progress,1
285,sake,1
286,all,1
