,term,count
0,the,38
1,turkish,4
2,air,2
3,force,2
4,took,1
5,delivery,3
6,of,20
7,its,4
8,first,1
9,f35a,1
10,stealth,1
11,plane,1
12,this,3
13,week,1
14,at,3
15,an,6
16,elaborate,1
17,rollout,1
18,ceremony,1
19,in,16
20,texas,1
21,that,15
22,featured,1
23,according,1
24,to,31
25,report,1
26,traditional,1
27,music,1
28,and,19
29,song,1
30,together,1
31,with,6
32,a,28
33,dancer,1
34,who,4
35,performed,1
36,while,1
37,wearing,1
38,pair,1
39,massive,1
40,leather,1
41,wings,1
42,if,4
43,performance,1
44,was,3
45,bizarre,1
46,underlying,1
47,politics,1
48,ranged,1
49,from,4
50,incompetent,1
51,perverse,1
52,word,1
53,trumpian,1
54,era,1
55,american,5
56,baby,1
57,prisons,1
58,melania,1
59,meta,1
60,messaging,1
61,it,12
62,can,4
63,be,6
64,difficult,1
65,pay,1
66,attention,1
67,things,1
68,used,1
69,matter,1
70,so,3
71,here,1
72,’s,12
73,quick,1
74,primer,1
75,on,4
76,our,1
77,former,1
78,ally,1
79,turkey,7
80,which,2
81,sunday,1
82,goes,2
83,polls,1
84,for,7
85,presidential,1
86,parliamentary,1
87,elections,1
88,economy,2
89,is,6
90,crisis,1
91,leader,1
92,major,1
93,opposition,2
94,party,2
95,prison,2
96,state,4
97,emergency,1
98,since,2
99,failed,1
100,military,3
101,coup,1
102,has,8
103,resulted,1
104,estimated,1
105,detention,1
106,nearly,4
107,people,2
108,closure,1
109,media,1
110,outlets,1
111,arrest,1
112,more,3
113,than,3
114,journalists,1
115,came,1
116,blows,1
117,last,1
118,year,1
119,us,3
120,forces,2
121,fighting,1
122,islamic,2
123,syria,1
124,also,2
125,intends,1
126,purchase,1
127,advanced,1
128,russian,3
129,antiaircraft,1
130,missiles,2
131,are,3
132,incompatible,1
133,nato,2
134,systems,1
135,pastor,2
136,andrew,1
137,brunson,2
138,been,5
139,held,1
140,years,3
141,hostage,1
142,government,1
143,efforts,1
144,extradite,1
145,dissident,1
146,cleric,1
147,fethullah,1
