,term,count
0,when,3
1,future,2
2,generations,1
3,look,1
4,back,2
5,to,37
6,the,67
7,first,2
8,weeks,1
9,in,28
10,june,1
11,summit,4
12,meeting,8
13,singapore,10
14,between,2
15,president,5
16,trump,13
17,and,36
18,north,10
19,korea,14
20,’s,27
21,kim,10
22,jong,1
23,un,1
24,may,4
25,well,1
26,be,6
27,remembered,1
28,not,6
29,so,4
30,much,1
31,for,10
32,its,8
33,impact,1
34,on,7
35,threat,1
36,of,32
37,nuclear,4
38,war,5
39,but,9
40,dissolution,1
41,west,9
42,as,11
43,a,28
44,unified,1
45,negotiating,1
46,team,1
47,driven,2
48,by,7
49,western,5
50,values,4
51,along,1
52,with,15
53,that,16
54,came,1
55,america,3
56,emergence,1
57,go,1
58,it,9
59,alone,2
60,superpower,1
61,those,3
62,set,1
63,aside,1
64,deference,1
65,russia,14
66,china,13
67,mr,28
68,has,1
69,now,2
70,secured,1
71,second,1
72,this,5
73,time,1
74,vladimir,2
75,putin,6
76,scheduled,1
77,july,2
78,after,4
79,nato,2
80,conference,2
81,is,13
82,bound,1
83,irritate,1
84,allies,2
85,even,2
86,some,3
87,his,6
88,own,3
89,advisers,1
90,site,1
91,helsinki,1
92,finland,1
93,about,2
94,miles,1
95,from,3
96,native,1
97,st,1
98,petersburg,1
99,agenda,1
100,unclear,1
101,course,2
102,offer,1
103,idea,2
104,path,1
105,neither,1
106,nor,1
107,was,11
108,party,1
109,talks,3
110,both,1
111,were,4
112,there,1
113,spirit,1
114,seems,1
115,have,4
116,followed,1
117,blueprint,1
118,resolution,1
119,korean,6
120,conflict,1
121,proposed,1
122,year,1
123,before,2
124,ensure,1
125,double,2
126,freeze,2
127,foreign,3
128,minister,1
129,sergey,1
130,lavrov,1
131,said,3
132,an,4
133,interview,1
134,nbc,1
135,moscow,3
136,suspends,1
137,all,4
138,their,2
139,launches,1
140,tests,2
141,response,1
142,us,1
143,south,8
144,reduce,1
145,scale,1
146,maneuvers,1
147,region,1
148,indeed,1
149,broad,1
150,design,1
151,agreement,3
152,does,2
153,match,1
154,had,6
155,been,2
156,preparing,1
157,accept,1
158,early,1
159,april,1
160,he,11
161,suspended,1
162,long,3
163,range,1
164,missile,1
165,completed,1
166,bargain,1
167,offering,1
168,apparently,1
169,surprise,1
170,suspend,1
171,annual,1
172,american,7
173,games,1
