,term,count
0,in,9
1,february,1
2,i,21
3,received,1
4,the,18
5,greatest,1
6,gift,1
7,of,11
8,my,11
9,life,5
10,birth,1
11,son,4
12,over,1
13,next,2
14,years,1
15,watched,1
16,him,3
17,grow,2
18,into,1
19,a,12
20,clever,1
21,energetic,1
22,and,14
23,humorous,1
24,little,1
25,boy,1
26,he,1
27,embodies,1
28,best,2
29,qualities,1
30,his,4
31,mother,3
32,father,3
33,all,1
34,ways,1
35,parent,4
36,dreams,1
37,even,2
38,though,1
39,have,2
40,primary,1
41,progressive,1
42,multiple,2
43,sclerosis,1
44,condition,1
45,did,2
46,n’t,1
47,hinder,1
48,ability,2
49,to,24
50,be,5
51,provided,1
52,loving,1
53,supportive,1
54,environment,1
55,then,1
56,separated,1
57,she,1
58,moved,1
59,austin,1
60,tex,1
61,while,2
62,remained,1
63,new,3
64,york,3
65,city,1
66,was,1
67,determined,1
68,move,3
69,there,2
70,too,3
71,co,1
72,our,1
73,so,1
74,went,1
75,texas,3
76,investigate,1
77,what,3
78,for,3
79,medicaid,3
80,dependent,1
81,person,1
82,with,5
83,disabilities,1
84,would,3
85,like,2
86,quickly,1
87,found,1
88,quality,1
89,health,2
90,care,5
91,not,1
92,come,1
93,close,1
94,receive,2
95,looked,1
96,at,1
97,surrounding,1
98,states,2
99,see,1
100,if,3
101,they,3
102,had,1
103,adequate,1
104,coverage,1
105,discovered,1
106,that,2
107,funding,1
108,varies,1
109,widely,1
110,by,1
111,state,2
112,creating,1
113,huge,1
114,hurdles,1
115,sick,1
116,disabled,4
117,people,4
118,myself,1
119,who,2
120,need,3
121,another,1
122,especially,1
123,those,1
124,us,1
125,home,2
126,round,1
127,clock,1
128,disparity,1
129,amounts,1
130,institutionalized,1
131,discrimination,2
132,against,2
133,aging,1
134,it,1
135,prevents,1
136,me,2
137,from,2
138,truly,1
139,having,2
140,choice,1
141,about,1
142,where,2
143,can,1
144,live,1
145,were,1
146,nursing,2
147,level,1
148,is,1
149,available,1
150,give,1
151,up,2
152,personal,2
153,aide,1
154,aides,1
155,homes,1
156,are,1
157,expected,1
158,help,2
159,simultaneously,1
160,most,2
161,basic,1
162,tasks,1
163,showering,1
164,shaving,1
165,food,1
166,preparation,1
167,eating,1
168,going,1
169,bathroom,1
170,checking,1
171,emails,1
172,answering,1
173,phone,1
174,calls,1
175,significantly,1
176,more,1
177,difficult,1
178,diminishing,1
179,independence,1
180,as,2
181,well,1
182,being,2
183,expectancy,1
184,because,2
185,on,2
186,am,1
187,able,1
188,keep,1
189,career,1
190,filmmaker,1
191,activist,1
192,has,2
193,presented,1
194,these,2
195,challenges,2
196,’m,1
197,strong,1
198,enough,1
199,endure,1
200,them,3
201,others,1
202,dealing,1
203,regardless,1
204,disability,2
205,each,1
206,day,1
207,strive,1
208,spread,1
209,awareness,1
210,damaging,1
211,population,1
212,united,1
213,despite,1
214,remember,1
215,’s,1
216,important,1
217,physical,1
218,infringed,1
219,right,2
220,fear,1
221,other,1
222,may,1
223,lose,1
224,their,1
225,get,1
226,families,1
227,love,1
