,term,count
0,in,26
1,cummins,9
2,began,1
3,operations,1
4,at,4
5,our,12
6,engine,4
7,plant,5
8,seymour,7
9,a,17
10,small,3
11,town,1
12,of,19
13,about,2
14,people,2
15,southern,1
16,indiana,1
17,the,38
18,now,2
19,produces,1
20,engines,4
21,for,14
22,equipment,2
23,like,5
24,locomotives,1
25,large,2
26,boats,1
27,and,38
28,power,1
29,generators,1
30,that,7
31,back,1
32,up,2
33,critical,1
34,infrastructure,1
35,data,1
36,centers,1
37,landmarks,1
38,wrigley,1
39,field,2
40,nearly,3
41,percent,3
42,products,6
43,makes,1
44,are,15
45,exported,2
46,other,9
47,words,1
48,existence,1
49,this,7
50,is,10
51,direct,1
52,result,2
53,company,3
54,’s,5
55,ability,2
56,to,19
57,access,2
58,global,1
59,markets,2
60,employs,2
61,we,14
62,have,2
63,invested,1
64,more,3
65,than,7
66,into,2
67,past,2
68,years,1
69,including,1
70,technical,1
71,center,1
72,hundreds,1
73,engineers,2
74,year,1
75,added,1
76,employees,2
77,while,1
78,towns,1
79,struggling,1
80,thriving,1
81,however,1
82,increased,2
83,supply,2
84,chain,2
85,costs,4
86,because,2
87,recent,2
88,tariffs,14
89,will,5
90,raise,1
91,price,1
92,from,3
93,may,1
94,also,2
95,face,2
96,retaliatory,2
97,which,2
98,could,2
99,lost,2
100,sales,1
101,restrict,1
102,or,2
103,reverse,1
104,growth,2
105,international,2
106,trade,6
107,has,2
108,been,2
109,single,1
110,most,2
111,important,1
112,contributor,1
113,hiring,1
114,decades,2
115,half,1
116,business,3
117,outside,1
118,united,7
119,states,7
120,jobs,3
121,america,1
122,directly,1
123,tied,1
124,when,2
125,growing,2
126,it,3
127,often,1
128,means,1
129,suppliers,4
130,let,1
131,be,6
132,clear,1
133,tariff,2
134,tax,3
135,plain,1
136,simple,1
137,impact,1
138,on,4
139,steel,1
140,aluminum,1
141,applied,1
142,bring,1
143,as,5
144,well,1
145,imposed,1
146,export,1
147,countries,1
148,difficult,2
149,mitigate,1
150,even,3
151,with,5
152,benefits,1
153,reform,1
154,does,2
155,not,6
156,take,1
157,account,1
158,latest,1
159,additional,1
160,proposed,1
161,nor,1
162,include,1
163,indirect,1
164,inevitably,1
165,passed,1
166,through,1
167,us,4
168,companies,4
169,by,3
170,developed,3
171,optimized,1
172,over,2
173,can,4
174,reorganized,1
175,short,2
176,order,1
177,rely,1
178,american,7
179,components,2
180,materials,1
181,but,3
182,certain,1
183,such,2
184,cylinder,1
185,blocks,1
186,connecting,1
187,rods,1
188,electronic,1
189,controls,1
190,there,2
191,very,2
192,few,1
193,anywhere,1
194,specialized,1
195,make,3
196,tractor,1
197,trailer,1
198,trucks,2
199,garbage,1
200,trains,1
201,construction,1
202,mining,1
203,among,2
204,things,1
205,much,1
206,smaller,1
207,auto,1
208,market,3
209,so,3
210,sometimes,1
211,look,1
212,beyond,1
213,backyard,1
214,model,1
215,example,1
216,was,1
217,manufactured,1
218,china,4
219,chinese,2
220,number,1
221,those,1
222,approximately,1
223,they,4
224,considered,1
225,subject,2
226,under,1
227,administration,1
228,actions,1
229,product,1
230,sold,1
231,an,2
232,faces,1
233,here,1
234,home,1
235,must,1
236,compete,2
237,against,1
238,european,1
239,asian,1
240,manufacturers,1
241,putting,2
242,sell,1
243,these,3
244,peril,1
245,given,1
246,its,3
247,size,1
248,standing,2
249,world,1
250,should,2
251,modernize,1
252,trading,2
253,practices,1
254,improve,2
255,intellectual,1
256,property,1
257,protection,1
258,issues,1
259,foreign,1
260,possible,1
261,allies,1
262,need,1
263,long,2
264,term,3
265,strategy,1
266,apply,1
267,joint,1
268,pressure,1
269,sustained,1
270,period,1
271,work,2
272,openly,1
273,transparently,1
274,government,1
275,businesses,2
276,unilateral,1
277,escalating,1
278,answer,1
279,put,1
280,worse,1
281,position,1
282,started,1
283,negotiations,1
284,concerned,1
285,no,4
286,end,1
287,sight,1
288,uncertainty,1
289,ours,1
290,still,1
291,unclear,1
292,how,1
293,where,2
294,invest,1
295,imperfect,1
296,deal,3
297,one,1
298,gets,1
299,bit,1
300,closer,1
301,level,1
302,playing,1
303,better,2
304,implementing,1
305,real,2
306,dilemma,1
307,absorb,1
308,do,1
309,pass,1
310,consumers,1
311,see,1
312,upside,1
313,implementation,1
314,risky,1
315,proposition,1
316,entering,1
317,war,2
318,slow,1
319,down,1
320,economy,1
321,barriers,1
322,partners,1
323,europe,1
324,cause,1
325,losses,1
326,share,1
327,resulting,1
328,mere,1
329,threat,1
330,results,1
331,significant,1
332,recovered,1
333,leader,1
334,i,1
335,am,1
336,charged,1
337,providing,1
338,opportunities,1
339,shareholders,1
340,customers,1
341,communities,2
342,working,1
343,policymakers,1
344,create,1
345,healthy,1
346,climate,1
347,what,2
348,stake,1
349,just,1
350,profits,1
351,rocky,1
352,mount,1
353,nc,1
354,jamestown,1
355,ny,1
356,concerns,1
357,me,1
358,workers,1
359,their,1
360,families,1
361,casualties,1
