,term,count
0,have,5
1,you,28
2,felt,1
3,less,1
4,popular,1
5,lately,1
6,than,2
7,once,1
8,were,4
9,are,9
10,people,9
11,avoiding,1
12,your,11
13,party,2
14,invitations,2
15,getting,2
16,lost,2
17,in,9
18,the,30
19,mail,2
20,maybe,3
21,it,11
22,’s,10
23,breath,2
24,or,4
25,just,4
26,because,1
27,ca,1
28,n’t,5
29,stop,2
30,talking,5
31,about,14
32,politics,24
33,that,12
34,impossible,2
35,say,2
36,sure,1
37,i,6
38,talk,2
39,a,19
40,lot,2
41,and,17
42,strong,1
43,opinions,2
44,but,7
45,all,3
46,my,2
47,friends,5
48,agree,2
49,with,8
50,me,1
51,turns,1
52,out,2
53,does,1
54,matter,1
55,many,2
56,studies,1
57,of,16
58,late,1
59,found,2
60,partisan,1
61,rancor,1
62,is,9
63,increasing,1
64,how,7
65,do,8
66,we,3
67,feel,5
68,on,7
69,our,1
70,own,3
71,side,1
72,who,4
73,question,1
74,addressed,1
75,by,1
76,political,3
77,scientists,1
78,new,1
79,study,2
80,journal,1
81,public,1
82,opinion,2
83,quarterly,1
84,using,1
85,feeling,2
86,thermometers,1
87,quantitative,1
88,measure,1
89,warmly,1
90,toward,1
91,others,1
92,researchers,1
93,care,1
94,much,3
95,for,6
96,rabid,1
97,partisans,1
98,even,1
99,if,6
100,them,2
101,why,1
102,their,6
103,words,1
104,although,1
105,some,1
106,americans,2
107,politically,1
108,polarized,1
109,more,7
110,simply,1
111,want,4
112,to,25
113,avoid,2
114,bad,2
115,has,3
116,become,1
117,they,2
118,write,1
119,not,6
120,child,1
121,marry,1
122,someone,1
123,from,5
124,hypothetical,1
125,law,1
126,discuss,2
127,frequently,1
128,so,2
129,free,1
130,go,1
131,cat,1
132,forever,1
133,what,2
134,start,1
135,cleanse,3
136,weeks,3
137,over,5
138,august,1
139,vacation,1
140,resolve,2
141,read,1
142,watch,1
143,listen,2
144,anything,1
145,anyone,1
146,when,1
147,find,2
148,yourself,2
149,thinking,1
150,distract,1
151,something,2
152,else,1
153,bach,1
154,cantatas,1
155,everybody,1
156,this,4
157,hard,1
158,course,1
159,plan,1
160,ahead,1
161,stand,1
162,firm,1
163,think,2
164,as,2
165,ideological,2
166,veganism,1
167,hand,2
168,will,3
169,’re,1
170,little,2
171,wacky,1
172,other,1
173,’ll,4
174,superior,1
175,discussing,1
176,proposal,1
177,colleagues,1
178,detect,1
179,an,1
180,inchoate,1
181,fear,1
182,goes,1
183,like,7
184,tune,1
185,may,1
186,be,1
187,happier,1
188,irresponsible,1
189,fascists,1
190,conservative,1
191,here,3
192,communists,1
193,run,1
194,across,1
195,country,1
196,abandon,1
197,version,1
198,john,1
199,stuart,1
200,mill,1
201,maxim,1
202,men,2
203,need,2
204,nothing,4
205,compass,1
206,ends,1
207,good,1
208,should,1
209,look,1
210,truth,1
211,couple,2
212,change,2
213,except,1
214,might,1
215,get,1
216,invited,1
217,again,1
218,parties,1
219,lose,1
220,loneliness,1
221,besides,1
222,whether,1
223,know,2
224,probably,2
225,break,1
226,afterward,1
227,bit,1
228,perspective,1
229,can,6
230,come,2
231,back,3
232,current,1
233,events,1
234,predictions,1
235,first,1
236,daytime,1
237,soap,1
238,opera,1
239,where,1
240,skip,1
241,without,2
242,losing,1
243,track,1
244,plot,1
245,see,2
246,outrage,1
247,industrial,1
248,complex,1
249,media,2
250,clearly,1
251,bunch,1
252,powerful,1
253,keep,2
254,wound,1
255,up,1
256,profit,1
257,third,1
258,any,1
259,reformed,1
260,addict,2
261,time,1
262,wasting,1
263,neglecting,1
264,things,1
265,truly,1
266,love,1
267,after,2
268,falling,1
269,into,1
270,old,1
271,patterns,1
272,pay,1
273,attention,1
274,ideas,8
275,same,1
276,thing,1
277,climate,4
278,whereas,1
279,weather,4
280,cultures,1
281,nations,1
282,years,1
283,decades,1
284,while,2
285,changes,1
286,moment,2
287,obscure,1
288,truths,1
289,make,1
290,harder,1
291,understand,1
292,require,2
293,thought,1
294,observations,1
295,no,2
296,expertise,1
297,at,1
298,world,2
299,full,1
300,ersatz,1
301,forecasters,1
302,needs,1
303,thoughtful,1
304,perhaps,1
305,most,1
306,important,1
307,creates,1
308,animus,1
309,contempt,1
310,generally,1
311,disagree,1
312,bitterness,1
313,reuters,1
314,ipsos,1
315,poll,1
316,finds,1
317,nearly,1
318,stopped,2
319,family,2
320,close,1
321,millions,1
322,distancing,1
323,themselves,1
324,differences,1
325,curating,1
326,news,1
327,social,1
328,disagreement,1
329,one,1
330,member,1
331,disagreements,1
332,merits,1
333,idea,1
334,universal,1
335,basic,1
336,income,1
337,lonely,1
338,formula,1
339,improve,1
340,life,1
341,then,2
342,focus,1
343,still,1
344,arthur,2
345,c,1
346,brooks,2
347,president,1
348,american,1
349,enterprise,1
350,institute,1
351,contributing,1
352,writer,1
353,host,1
354,podcast,1
355,show,1
