,term,count
0,year,5
1,old,3
2,rudy,24
3,giuliani,14
4,is,9
5,caught,1
6,by,5
7,his,5
8,mother,1
9,with,5
10,hand,1
11,in,12
12,the,40
13,cookie,4
14,jar,1
15,and,15
16,crumbs,1
17,around,1
18,mouth,1
19,mrs,8
20,i,23
21,told,2
22,you,26
23,not,7
24,to,20
25,eat,7
26,cookies,5
27,said,3
28,do,7
29,n’t,17
30,did,8
31,say,3
32,that,12
33,just,1
34,admitted,2
35,’re,6
36,adding,1
37,sentences,1
38,make,2
39,them,2
40,mean,2
41,opposite,2
42,laughs,4
43,boisterously,3
44,’ve,1
45,listened,1
46,hundreds,1
47,of,9
48,maternal,1
49,statements,1
50,it,8
51,was,10
52,until,1
53,third,1
54,time,1
55,replayed,1
56,what,5
57,my,8
58,mind,1
59,because,1
60,there,3
61,’s,5
62,no,4
63,way,1
64,easily,1
65,record,1
66,conversations,1
67,current,1
68,heard,1
69,even,3
70,if,3
71,your,7
72,original,1
73,statement,1
74,could,1
75,actually,1
76,prove,1
77,ate,3
78,multiple,1
79,but,2
80,beside,1
81,being,1
82,eating,5
83,a,20
84,single,2
85,federal,3
86,crime,3
87,correct,1
88,we,3
89,moving,1
90,goal,1
91,posts,1
92,from,2
93,which,2
94,who,1
95,tipped,1
96,off,3
97,alleged,1
98,theft,1
99,cousin,4
100,michael,1
101,been,1
102,known,1
103,liar,1
104,tattler,1
105,for,8
106,years,2
107,days,1
108,ago,1
109,when,4
110,he,4
111,swore,1
112,finish,1
113,apple,1
114,pie,4
115,cooling,1
116,on,6
117,window,3
118,sill,3
119,an,1
120,honest,1
121,honorable,1
122,before,1
123,made,1
124,these,1
125,ridiculous,1
126,allegations,1
127,kind,1
128,scoundrel,1
129,watches,1
130,so,4
131,confessing,1
132,hypothetically,1
133,fact,1
134,also,2
135,never,2
136,or,2
137,enters,1
138,classroom,1
139,teacher,7
140,think,2
141,cheated,1
142,math,1
143,test,3
144,dog,6
145,homework,4
146,does,2
147,have,5
148,cheating,4
149,’ll,2
150,ask,1
151,except,1
152,refuses,1
153,speak,1
154,pauses,1
155,another,2
156,involved,1
157,how,2
158,many,1
159,family,1
160,own,2
161,bonks,1
162,head,1
163,fist,1
164,several,1
165,times,2
166,dogs,3
167,are,1
168,odds,1
169,still,1
170,see,1
171,has,2
172,anything,1
173,well,1
174,now,2
175,discussing,1
176,different,1
177,cases,1
178,here,1
179,present,1
180,at,1
181,participate,1
182,took,1
183,place,1
184,’m,1
185,sending,1
186,principal,2
187,office,1
188,submit,1
189,list,1
190,questions,1
191,me,5
192,approve,1
193,scope,1
194,can,1
195,give,1
196,him,1
197,minutes,2
198,between,1
199,lunch,1
200,recess,1
201,trouble,1
202,get,2
203,up,4
204,rules,1
205,meeting,1
206,cornered,1
207,school,1
208,bathroom,1
209,bully,6
210,saw,1
211,talkin’,1
212,girlfriend,3
213,deny,1
214,nothin’,1
215,cream,1
216,ya,1
217,scared,1
218,ready,1
219,knuckle,1
220,sandwich,1
221,first,1
222,spoke,1
223,as,7
224,myself,1
225,then,1
226,quickly,1
227,dressed,1
228,would,3
229,look,2
230,like,3
231,talking,1
232,her,1
233,why,1
234,dress,1
235,joke,1
236,such,1
237,rigidly,1
238,constructed,1
239,gender,3
240,roles,2
241,wearing,1
242,clothes,1
243,sex,1
244,produces,1
245,subversive,1
246,comic,1
247,tension,1
248,contemporary,1
249,movie,1
250,some,1
251,hot,1
252,instance,1
253,refer,1
254,surname,1
255,bullies,1
256,1950s,1
257,tend,1
258,were,1
259,female,1
260,dis,1
261,funny,1
262,idea,1
263,others,1
264,seem,1
265,guess,1
266,will,3
267,be,3
268,humorous,1
269,while,1
270,national,1
271,political,1
272,figures,1
273,about,2
274,our,1
275,views,1
276,evolve,1
277,cross,1
278,dressing,1
279,longer,1
280,shocking,1
281,played,1
282,cheap,1
283,may,1
284,regarded,1
285,offensive,1
286,trynta,1
287,distract,1
288,givin’,1
289,lickin’,1
290,theorizin’,1
291,fashion,1
292,society,1
293,gets,1
294,beaten,1
295,teddy,1
296,wayne,1
297,author,1
298,most,1
299,recently,1
300,loner,1
301,follow,1
302,new,1
303,york,1
304,opinion,2
305,section,1
306,facebook,1
307,twitter,1
308,nytopinion,1
309,sign,1
310,today,1
311,newsletter,1
