,term,count
0,in,11
1,hollywood,4
2,it,12
3,’s,14
4,never,3
5,lonely,1
6,at,4
7,the,45
8,top,3
9,is,15
10,where,2
11,everyone,2
12,wants,2
13,to,20
14,be,4
15,your,2
16,pal,1
17,that,20
18,why,2
19,industry,2
20,silence,3
21,surrounding,1
22,allegations,2
23,of,24
24,sexual,9
25,harassment,8
26,against,2
27,cbs,3
28,chairman,1
29,and,30
30,chief,1
31,executive,2
32,leslie,1
33,moonves,8
34,strange,1
35,i,12
36,’m,1
37,sure,1
38,mr,7
39,phone,1
40,filled,1
41,with,8
42,got,1
43,back,1
44,buddy,1
45,texts,1
46,but,6
47,so,4
48,far,2
49,his,6
50,only,1
51,boldfaced,1
52,public,2
53,support,1
54,has,6
55,come,1
56,from,7
57,lynda,1
58,carter,1
59,sharon,1
60,osbourne,1
61,thirds,1
62,a,23
63,tic,1
64,tac,1
65,toe,1
66,line,2
67,on,7
68,squares,1
69,stephen,2
70,colbert,2
71,few,1
72,high,1
73,profile,1
74,men,2
75,address,1
76,subject,1
77,head,1
78,host,1
79,desk,1
80,late,1
81,show,2
82,he,7
83,recognized,2
84,debt,1
85,overlord,1
86,while,3
87,maintaining,1
88,accountability,1
89,meaningless,1
90,unless,1
91,for,13
92,everybody,1
93,was,4
94,an,5
95,admirable,1
96,sentiment,1
97,especially,1
98,coming,1
99,same,1
100,stage,1
101,david,1
102,letterman,2
103,announced,1
104,have,11
105,had,4
106,sex,1
107,women,6
108,who,5
109,work,3
110,me,1
111,this,4
112,admission,1
113,greeted,1
114,applause,1
115,laughter,1
116,shows,1
117,progress,1
118,workplace,1
119,being,6
120,taken,1
121,more,2
122,seriously,1
123,definitely,1
124,improvement,1
125,over,4
126,giddy,1
127,approval,1
128,tremendous,1
129,power,2
130,wielded,1
131,by,7
132,explains,1
133,many,4
134,kept,1
135,their,4
136,condemnations,1
137,whisper,1
138,others,2
139,enjoyed,1
140,working,1
141,him,3
142,decades,3
143,say,2
144,they,2
145,are,10
146,stunned,1
147,revelations,1
148,still,1
149,processing,1
150,there,4
151,another,1
152,reason,1
153,quiet,1
154,no,2
155,one,2
156,will,2
157,admit,1
158,believe,1
159,entertainment,2
160,staying,1
161,mum,1
162,because,1
163,these,1
164,charges,1
165,hit,1
166,too,6
167,close,1
168,home,1
169,harvey,1
170,weinstein,1
171,bill,1
172,cosby,1
173,stories,1
174,were,3
175,grotesque,1
176,accusations,1
177,went,2
178,beyond,1
179,rape,1
180,criminal,1
181,offense,1
182,set,1
183,bar,2
184,bad,1
185,behavior,2
186,low,1
187,could,1
188,step,1
189,story,1
190,comparison,1
191,tamer,1
192,accused,2
193,making,4
194,unwanted,1
195,advances,4
196,forcible,1
197,touching,1
198,or,11
199,kissing,1
200,during,3
201,business,2
202,meetings,1
203,professional,1
204,retaliation,1
205,after,1
206,those,2
207,rebuffed,1
208,admits,1
209,may,2
210,made,2
211,uncomfortable,2
212,moved,1
213,higher,1
214,easier,1
215,trip,1
216,’ve,1
217,heard,1
218,grumbling,1
219,colleagues,1
220,male,3
221,female,2
222,rules,2
223,confusing,1
224,ago,2
225,ca,1
226,n’t,5
227,viewed,1
228,through,2
229,today,1
230,prism,1
231,actually,1
232,laws,2
233,clear,1
234,been,3
235,place,1
236,almost,1
237,violation,1
238,title,1
239,vii,1
240,civil,2
241,rights,1
242,act,1
243,as,5
244,equal,1
245,employment,2
246,opportunity,1
247,commission,1
248,affirmed,1
249,supreme,1
250,court,1
251,if,3
252,someone,1
253,hire,1
254,fire,1
255,makes,1
256,advance,1
257,not,4
258,crossed,1
259,law,3
260,broken,1
261,what,2
262,about,2
263,gray,1
264,areas,1
265,like,3
266,teasing,2
267,offhand,2
268,comments,2
269,eeoc,1
270,website,1
271,deals,1
272,although,1
273,does,3
274,prohibit,1
275,simple,1
276,isolated,1
