,term,count
0,london,1
1,if,2
2,you,2
3,have,3
4,over,4
5,the,57
6,last,1
7,years,1
8,arranged,1
9,a,25
10,pro,3
11,palestinian,2
12,event,1
13,of,36
14,any,4
15,significant,1
16,size,1
17,in,12
18,united,1
19,kingdom,1
20,chances,1
21,are,5
22,that,8
23,jeremy,1
24,corbyn,16
25,was,1
26,there,2
27,either,1
28,as,8
29,speaker,1
30,or,4
31,audience,1
32,mr,14
33,who,1
34,is,20
35,now,1
36,leader,1
37,labour,10
38,party,12
39,an,4
40,avid,1
41,and,23
42,unwavering,1
43,supporter,2
44,cause,1
45,while,2
46,not,4
47,all,1
48,british,3
49,criticism,3
50,israeli,1
51,government,2
52,anti,11
53,semitic,4
54,it,9
55,has,4
56,tendency,1
57,to,24
58,blur,1
59,into,2
60,at,3
61,fringes,2
62,backbencher,1
63,shared,1
64,platforms,1
65,with,4
66,likes,1
67,raed,1
68,salah,1
69,convicted,1
70,semite,1
71,he,13
72,praised,1
73,hamas,1
74,those,3
75,former,2
76,associations,1
77,been,3
78,dogging,1
79,since,1
80,took,1
81,’s,12
82,leadership,5
83,this,2
84,summer,1
85,semitism,5
86,problem,2
87,once,1
88,again,1
89,dominating,1
90,headlines,1
91,press,1
92,dividing,1
93,much,1
94,everyone,1
95,would,1
96,like,3
97,does,3
98,n’t,7
99,look,1
100,will,2
101,go,1
102,away,1
103,time,2
104,soon,1
105,understand,2
106,why,1
107,what,3
108,cares,1
109,about,3
110,for,10
111,most,2
112,part,1
113,legislators,1
114,far,1
115,more,2
116,interested,1
117,domestic,1
118,matters,1
119,national,1
120,health,1
121,service,1
122,tax,2
123,reform,1
124,education,1
125,basically,1
126,anything,1
127,than,1
128,world,2
129,outside,1
130,britain,4
131,however,1
132,few,1
133,exceptions,1
134,foreign,4
135,policy,2
136,his,10
137,passion,2
138,members,6
139,parliament,2
140,refer,1
141,other,2
142,side,1
143,english,1
144,channel,1
145,longtime,1
146,euroskeptic,1
147,whose,1
148,heart,1
149,never,1
150,strayed,1
151,from,6
152,opposition,1
153,european,4
154,union,3
155,but,6
156,bulk,2
157,colleagues,1
158,regard,1
159,genuinely,1
160,abroad,1
161,no,1
162,means,1
163,developing,1
164,especially,1
165,its,2
166,left,2
167,wing,2
168,movements,1
169,liberation,1
170,struggles,1
171,charge,1
172,against,1
173,spent,1
174,so,3
175,long,1
176,palestine,3
177,movement,1
178,be,2
179,unable,1
180,distinguish,1
181,between,1
182,legitimate,2
183,criticisms,1
184,israel,5
185,hate,1
186,speech,1
187,toward,1
188,jews,2
189,when,4
190,hears,1
191,adding,1
192,some,4
193,loudest,1
194,supporters,2
195,on,4
196,social,2
197,media,1
198,local,1
199,parties,1
200,frequently,1
201,repeat,1
202,tropes,1
203,many,2
204,whom,2
205,seeing,1
206,fringe,1
207,figure,1
208,opposed,1
209,beginning,1
210,unwilling,1
211,countenance,1
212,they,2
213,feel,1
214,tolerance,1
215,issue,1
216,moral,1
217,one,1
218,themes,1
219,semites,1
220,must,1
221,called,1
222,out,3
223,even,2
224,result,2
225,loud,1
226,destabilizing,1
227,civil,1
228,war,1
229,distracts,1
230,goals,1
231,conflict,2
232,runs,1
233,circle,1
234,association,1
235,past,1
236,present,2
237,day,2
238,misstep,1
239,reopens,1
240,collapses,1
241,infighting,1
242,makes,1
243,minor,1
244,concession,1
245,row,2
246,quelled,1
247,current,1
248,iteration,1
249,triggered,1
250,by,3
251,blunder,1
252,order,1
253,put,1
254,end,2
255,controversy,1
256,remark,1
257,ally,1
258,adolf,1
259,hitler,1
260,had,1
261,zionism,1
262,pledged,1
263,adopt,2
264,international,1
265,holocaust,1
266,remembrance,1
267,alliance,1
268,working,1
269,definition,4
270,includes,1
271,number,2
272,examples,2
273,behavior,1
274,which,1
275,fears,1
276,place,1
277,excessive,1
278,limits,1
279,allay,1
280,concerns,1
281,modified,1
282,removing,1
283,changing,1
284,relating,1
285,did,1
286,without,2
287,consulting,1
288,mainstream,1
289,jewish,2
290,organizations,1
291,official,1
292,body,1
293,another,1
294,outbreak,1
295,internal,1
296,warfare,1
297,coming,1
298,prime,1
299,minister,1
300,theresa,1
301,may,1
302,deeply,1
303,unpopular,1
304,rived,1
305,own,1
306,divisions,1
307,brexit,1
308,negotiations,1
309,limbo,1
310,worrying,1
311,deadlines,1
312,loom,1
313,only,2
314,person,1
315,power,1
316,bring,1
317,fight,1
318,could,1
319,ihra,1
320,full,1
321,amendments,1
322,publicly,1
323,condemn,1
324,unnamed,1
325,allies,1
326,engaging,1
327,language,1
328,moves,1
329,wo,1
330,contrary,1
331,picture,1
332,detractors,1
333,paint,1
334,him,2
335,image,1
336,hold,1
337,wholly,1
338,inflexible,1
339,can,2
340,compromise,1
341,needs,1
342,done,1
343,issues,1
344,security,1
345,cuts,1
346,breaks,1
347,relationship,1
348,comes,1
349,do,1
350,expect,1
351,wavering,1
352,affairs,1
353,red,1
354,line,1
355,cross,1
356,puts,1
357,loggerheads,1
358,reassuring,1
359,intentions,1
360,forget,1
361,agreeing,1
362,disagree,1
363,warring,1
364,tribes,1
365,ca,1
366,agree,1
367,divides,1
368,them,1
369,stephen,1
370,bush,1
371,stephenkb,1
372,special,1
373,correspondent,1
374,new,1
375,statesman,1
376,columnist,1
377,independent,1
