,term,count
0,nashville,2
1,on,9
2,thursday,2
3,morning,1
4,the,58
5,knoxville,1
6,news,1
7,sentinel,1
8,published,1
9,a,23
10,front,1
11,page,1
12,story,1
13,by,1
14,matt,1
15,lakin,1
16,about,2
17,imminent,1
18,execution,8
19,of,25
20,billy,3
21,ray,3
22,irick,8
23,inmate,4
24,had,2
25,been,1
26,death,10
27,row,2
28,since,2
29,year,1
30,after,2
31,he,7
32,confessed,1
33,to,19
34,raping,1
35,and,14
36,murdering,1
37,7year,1
38,old,1
39,child,1
40,left,1
41,in,22
42,his,5
43,care,1
44,little,3
45,girl,3
46,was,6
47,named,1
48,paula,4
49,dyer,4
50,she,1
51,called,1
52,her,5
53,murderer,1
54,uncle,1
55,bill,1
56,print,1
57,headline,1
58,read,1
59,’s,10
60,last,2
61,day,2
62,earth,2
63,first,2
64,tennessee,5
65,physical,1
66,evidence,1
67,against,2
68,him,3
69,incontrovertible,1
70,no,1
71,one,3
72,is,19
73,questioning,1
74,guilt,1
75,but,5
76,there,2
77,are,6
78,big,1
79,questions,1
80,whether,1
81,should,1
82,have,3
83,executed,1
84,as,1
85,scene,1
86,steven,1
87,hale,2
88,has,2
89,reported,1
90,depth,1
91,mr,4
92,apparently,1
93,suffered,1
94,from,5
95,severe,1
96,mental,1
97,illness,1
98,spent,1
99,much,1
100,childhood,1
101,home,1
102,for,10
103,abused,1
104,troubled,1
105,children,1
106,told,1
107,people,4
108,devil,1
109,giving,1
110,orders,1
111,chased,1
112,another,2
113,down,1
114,street,1
115,with,3
116,machete,1
117,based,1
118,post,1
119,trial,2
120,affidavits,1
121,stepfamily,1
122,psychologist,1
123,who,5
124,pronounced,1
125,fit,2
126,stand,1
127,later,1
128,questioned,1
129,that,11
130,judgment,1
131,combination,1
132,words,1
133,writes,1
134,like,2
135,so,2
136,many,1
137,lexicon,1
138,penalty,6
139,twists,1
140,english,1
141,language,1
142,into,1
143,peculiar,1
144,shape,1
145,it,9
146,crucial,1
147,united,2
148,states,2
149,executing,1
150,an,5
151,insane,1
152,person,2
153,unconstitutional,1
154,problem,1
155,this,4
156,new,2
157,protocol,1
158,lethal,1
159,injection,1
160,drug,1
161,administered,1
162,supposed,1
163,put,1
164,sleep,1
165,ca,1
166,n’t,4
167,feel,2
168,effects,2
169,other,1
170,drugs,2
171,causes,1
172,paralysis,1
173,stops,1
174,heart,1
175,midazolam,1
176,sedative,1
177,cocktail,1
178,does,1
179,always,2
180,render,1
181,complete,1
182,unconsciousness,1
183,possible,1
184,next,1
185,what,1
186,feels,1
187,akin,1
188,being,2
189,suffocated,1
190,burned,1
191,alive,1
192,at,2
193,same,1
194,time,1
195,supreme,1
196,court,2
197,declined,1
198,delay,1
199,justice,3
200,sonia,1
201,sotomayor,3
202,strongly,1
203,dissented,1
204,refusing,1
205,grant,1
206,stay,1
207,today,2
208,turns,1
209,blind,1
210,eye,1
211,proven,1
212,likelihood,1
213,state,3
214,verge,1
215,inflicting,1
216,several,1
217,minutes,2
218,torturous,1
219,pain,1
220,its,4
221,custody,1
222,wrote,1
223,if,3
224,law,1
225,permits,1
226,go,1
227,forward,1
228,spite,1
229,horrific,1
230,final,1
231,may,1
232,well,1
233,experience,1
234,then,2
235,we,5
236,stopped,1
237,civilized,2
238,nation,2
239,accepted,1
240,barbarism,1
241,unvarying,1
242,pattern,1
243,cases,2
244,arguments,3
245,favor,2
246,lenience,1
