,term,count
0,let,2
1,’s,12
2,take,2
3,a,36
4,moment,2
5,for,12
6,stormy,2
7,daniels,14
8,on,7
9,tuesday,1
10,michael,1
11,d,1
12,cohen,2
13,pleaded,1
14,guilty,1
15,to,38
16,breaking,1
17,campaign,1
18,finance,1
19,laws,1
20,charges,1
21,stemming,1
22,from,4
23,payments,2
24,he,4
25,made,2
26,women,14
27,of,22
28,them,2
29,ms,14
30,with,7
31,whom,1
32,trump,19
33,is,24
34,said,3
35,have,4
36,had,1
37,an,9
38,affair,2
39,mr,22
40,former,1
41,lawyer,1
42,says,1
43,the,45
44,at,5
45,direction,1
46,president,3
47,in,15
48,effort,1
49,influence,1
50,election,1
51,it,9
52,extraordinary,2
53,admission,1
54,and,33
55,political,3
56,not,6
57,just,2
58,because,2
59,what,4
60,means,1
61,marks,1
62,unanticipated,1
63,feminist,3
64,turning,1
65,point,1
66,adult,1
67,film,1
68,star,3
69,like,6
70,unapologetic,1
71,self,4
72,promoter,1
73,hers,1
74,female,3
75,archetype,1
76,that,7
77,has,6
78,historically,1
79,garnered,1
80,much,3
81,respect,4
82,trust,1
83,or,11
84,sympathy,1
85,yet,1
86,here,2
87,she,11
88,imperfect,4
89,entirely,2
90,possessed,1
91,woman,14
92,telling,1
93,her,20
94,story,2
95,clarity,1
96,without,1
97,shame,3
98,we,5
99,are,8
100,actually,3
101,listening,1
102,own,1
103,incompetence,1
104,inexperience,1
105,misogyny,1
106,did,1
107,n’t,7
108,stop,1
109,his,2
110,ascent,1
111,white,1
112,house,1
113,neither,1
114,could,3
115,who,19
116,spent,1
117,life,2
118,cultivating,1
119,capability,1
120,expertise,1
121,pedigree,1
122,usual,2
123,rules,2
124,do,5
125,seem,1
126,apply,1
127,under,2
128,so,8
129,thoroughly,1
130,breaks,1
131,norms,1
132,decorum,1
133,propriety,1
134,would,5
135,be,12
136,shamed,1
137,into,2
138,silence,1
139,which,2
140,why,1
141,there,3
142,power,2
143,fact,1
144,does,1
145,believe,1
146,job,1
147,involvement,1
148,payoff,1
149,carry,1
150,wants,1
151,him,1
152,held,2
153,accountable,1
154,justice,1
155,system,1
156,stepping,1
157,refusing,1
158,slink,1
159,away,1
160,despite,1
161,being,1
162,paid,1
163,exactly,2
164,pattern,1
165,’ve,1
166,seen,2
167,too,1
168,many,5
169,times,4
170,influential,1
171,men,8
172,seeking,1
173,maintain,1
174,their,8
175,dominance,2
176,avoid,1
177,responsibility,1
178,sex,4
179,worker,1
180,making,1
181,kind,1
182,bad,2
183,scorned,1
184,work,2
185,often,1
186,believed,2
187,when,1
188,indicts,1
189,powerful,2
190,man,3
191,this,2
192,protectors,1
193,banking,1
194,daniels’,1
195,lack,1
196,about,3
197,line,2
198,led,1
199,right,1
200,wing,1
201,escalation,1
202,conservative,1
203,media,1
204,outlets,1
205,hounding,1
206,as,10
207,prostitute,1
208,once,2
209,they,2
210,realized,1
211,meet,1
212,porn,2
213,shrug,1
214,rudy,1
215,giuliani,5
216,lawyers,2
217,june,1
218,although,1
219,respects,1
220,all,3
221,human,4
222,beings,3
223,apparently,1
224,exception,1
225,i,2
226,way,1
227,career,1
228,substance,2
229,great,2
230,herself,1
231,person,2
232,going,2
233,sell,1
234,body,1
235,sexual,4
236,exploitation,1
237,you,2
238,want,1
239,bring,1
240,case,1
241,me,1
242,cross,2
243,examine,1
244,threat,1
245,done,1
246,centuries,1
247,particular,1
248,rape,1
249,victims,1
250,humiliate,1
251,witness,1
252,stand,1
253,by,3
254,suggesting,1
255,histories,1
256,render,1
257,testimony,1
258,unreliable,1
259,credibility,1
260,questionable,1
261,contrasted,1
262,beautiful,3
263,classy,2
264,married,3
265,perfectly,2
266,encapsulating,1
267,profoundly,1
268,misogynist,1
269,virgin,2
270,whore,1
271,dichotomy,1
272,imposed,1
273,where,1
274,can,1
275,only,1
276,good,1
277,behaved,1
278,thrice,1
279,prone,1
280,radio,1
281,brag,1
282,promiscuity,1
283,leaking,1
284,sordid,1
285,details,1
286,tabloids,1
287,unlikely,1
288,fall,1
289,category,1
290,but,8
291,navigate,1
292,these,2
293,poles,1
294,hard,1
295,invent,1
296,people,1
297,better,1
298,encompass,1
299,longest,1
300,standing,1
301,sexist,2
302,double,1
303,standards,1
304,than,3
305,also,2
306,undercuts,1
307,liberal,1
308,impulses,1
309,turn,1
310,oversimplified,1
311,hero,1
312,vastly,1
313,any,1
314,standard,1
315,brave,1
316,venal,1
317,obviously,2
318,admirable,1
319,interested,1
320,complications,1
321,course,1
322,exist,1
323,most,3
324,survive,1
325,scrutiny,1
326,nor,1
327,deftly,1
328,dodge,1
329,efforts,1
330,simplistic,1
331,caricature,1
332,incredible,1
333,see,2
334,embody,1
335,extremes,1
336,boldness,1
337,flaws,1
338,taboos,1
339,broken,1
340,nonetheless,1
341,acted,1
342,upon,1
343,built,1
344,image,1
345,gold,2
346,plated,1
347,decadence,1
348,acts,1
349,degradation,1
350,society,1
351,money,1
352,continue,1
353,blunt,1
354,masculine,1
355,equivalents,1
356,more,2
